classifier_name,dataset_name,accuracy
ResNet,0,73.96
ResNet,1,82.89
ResNet,2,84.46
ResNet,3,75.33
ResNet,4,85
ResNet,5,88.5
ResNet,6,92.5
ResNet,7,84.36
ResNet,8,82.61
ResNet,9,99.5
ResNet,10,100
ResNet,11,81.48
ResNet,12,79.13
ResNet,13,80.33
ResNet,14,81.15
ResNet,15,30.13
ResNet,16,71.65
ResNet,17,77.1
ResNet,18,66.47
ResNet,19,71.15
ResNet,20,87.4
ResNet,21,93.42
ResNet,22,97.48
ResNet,23,72.91
ResNet,24,95.45
ResNet,25,83.88
ResNet,26,95.47
ResNet,27,97.94
ResNet,28,92.05
ResNet,29,91.31
ResNet,30,99.07
ResNet,31,75.71
ResNet,32,91.11
ResNet,33,51.88
ResNet,34,61.88
ResNet,35,37.31
ResNet,36,50.65
ResNet,37,96.3
ResNet,38,89.97
ResNet,39,77.05
ResNet,40,84.52
ResNet,41,97.16
ResNet,42,96.83
ResNet,43,77.03
ResNet,44,56.88
ResNet,45,80.89
ResNet,46,48.44
ResNet,47,92.76
ResNet,48,94.54
ResNet,49,94.61
ResNet,50,83
ResNet,51,97.85
ResNet,52,83.9
ResNet,53,33.43
ResNet,54,100
ResNet,55,85.32
ResNet,56,92.13
ResNet,57,78.05
ResNet,58,52.53
ResNet,59,62.16
ResNet,60,77.94
ResNet,61,92.13
ResNet,62,78.61
ResNet,63,95.81
ResNet,64,97.78
ResNet,65,97.18
ResNet,66,98.05
ResNet,67,95.63
ResNet,68,90.64
ResNet,69,96.27
ResNet,70,90.62
ResNet,71,100
ResNet,72,100
ResNet,73,99.99
ResNet,74,85.95
ResNet,75,78.05
ResNet,76,67.01
ResNet,77,75.01
ResNet,78,74.44
ResNet,79,62.24
ResNet,80,79.09
ResNet,81,74.68
ResNet,82,99.83
ResNet,83,99.86
ResNet,84,87.02
InceptionTime,0,84.18
InceptionTime,1,83.63
InceptionTime,2,82.86
InceptionTime,3,70
InceptionTime,4,85
InceptionTime,5,95
InceptionTime,6,90
InceptionTime,7,87.53
InceptionTime,8,85.14
InceptionTime,9,99.89
InceptionTime,10,100
InceptionTime,11,81.2
InceptionTime,12,86.67
InceptionTime,13,85.13
InceptionTime,14,85.9
InceptionTime,15,93.14
InceptionTime,16,72.66
InceptionTime,17,79.35
InceptionTime,18,67.63
InceptionTime,19,74.1
InceptionTime,20,91
InceptionTime,21,94.09
InceptionTime,22,100
InceptionTime,23,72.27
InceptionTime,24,96.59
InceptionTime,25,80.41
