,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1782061,94.90238428115845,0.09091687202453613,94.99330115318298,52.71 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,653121,49.39682483673096,0.09837675094604492,49.495201587677,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1127613,47.99308776855469,0.08889102935791016,48.0819787979126,89.58 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,679685,35.471200942993164,0.0737922191619873,35.54499316215515,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,874707,44.72389221191406,0.08974337577819824,44.81363558769226,9.82 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,451796,24.654924869537354,0.08552289009094238,24.740447759628296,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,141763,24.567627906799316,0.0889432430267334,24.65657114982605,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1687979,69.15017366409302,0.085784912109375,69.23595857620239,132.51 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1457156,50.45156478881836,0.07521486282348633,50.526779651641846,41.46 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,50957,16.717815399169922,0.08248496055603027,16.800300359725952,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,306388,17.068469524383545,0.07437634468078613,17.14284586906433,10.49 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2278273,102.80724763870239,0.11748957633972168,102.92473721504211,66.87 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1325151,53.13230752944946,0.07468032836914062,53.2069878578186,105.02 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,597887,19.580078125,0.04973959922790527,19.629817724227905,47.17 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,834855,52.22790241241455,0.1018991470336914,52.32980155944824,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,148219,26.360368728637695,0.09462141990661621,26.45499014854431,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,272972,11.035335063934326,0.05251765251159668,11.087852716445923,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,576022,15.351629257202148,0.04373311996459961,15.395362377166748,46.83 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1315426,113.22323083877563,0.19600844383239746,113.41923928260803,14.32 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,167307,10.712802410125732,0.052077531814575195,10.764879941940308,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,799817,77.67646312713623,0.14086675643920898,77.81732988357544,8.74 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2072313,74.90297555923462,0.09607362747192383,74.99904918670654,60.36 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,140716,10.805308818817139,0.053220510482788086,10.858529329299927,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,238825,10.071909427642822,0.05177640914916992,10.123685836791992,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,471464,8.755218982696533,0.04595518112182617,8.80117416381836,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2276423,94.98639106750488,0.11707639694213867,95.10346746444702,22.42 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,659050,19.43225860595703,0.04829049110412598,19.480549097061157,51.84 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1149377,48.745131492614746,0.09685420989990234,48.84198570251465,35.07 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,183992,16.982030868530273,0.07226014137268066,17.054291009902954,6.46 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,452093,15.699350833892822,0.06363916397094727,15.76298999786377,13.47 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1523701,52.699363231658936,0.1328136920928955,52.83217692375183,123.74 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1770453,50.32932758331299,0.07210612297058105,50.40143370628357,50.08 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,76327,17.593741416931152,0.08173704147338867,17.67547845840454,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,217153,24.560987949371338,0.08902597427368164,24.65001392364502,18.24 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2012693,67.44654178619385,0.08667445182800293,67.53321623802185,157.7 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,566435,36.33608818054199,0.07702493667602539,36.41311311721802,46.91 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,118561,16.485142707824707,0.07041311264038086,16.555555820465088,4.04 MMac
37,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,308962,20.219647884368896,0.08229637145996094,20.301944255828857,25.59 MMac
38,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,45,1506927,78.9726734161377,0.1070718765258789,79.07974529266357,43.84 MMac
39,"['rerp', 'trrp']",3,2,23,415321,28.807461261749268,0.10602474212646484,28.913486003875732,11.94 MMac
40,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,67,1085470,39.54668045043945,0.10112357139587402,39.64780402183533,89.81 MMac
41,"['rp', 'trrp', 'regas', 'regad', 'remk', 'ctwav']",3,2,32,738197,49.257540702819824,0.09459638595581055,49.352137088775635,22.39 MMac
42,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk']",2,3,94,2021905,74.73782300949097,0.0905756950378418,74.82839870452881,160.06 MMac
43,"['rp', 'gas', 'regas', 'gad', 'regad', 'mk', 'ctwav']",3,2,53,2074959,77.60270833969116,0.09716629981994629,77.69987463951111,61.03 MMac
44,"['rp', 'gad', 'trmk']",2,2,81,1091661,34.28242206573486,0.07029247283935547,34.35271453857422,84.74 MMac
45,"['rerp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",3,3,19,406662,32.628798484802246,0.11310100555419922,32.741899490356445,12.91 MMac
46,"['rp', 'trrp', 'gad', 'regad', 'trgad', 'mk', 'trmk']",2,3,48,542737,42.963552474975586,0.08772492408752441,43.05127739906311,44.57 MMac
47,"['rp', 'gas', 'regad', 'trgad', 'remk', 'trmk']",4,1,27,1406442,67.00758934020996,0.08937239646911621,67.09696173667908,14.81 MMac
48,"['rerp', 'trrp', 'regas', 'trgas', 'gad', 'mk', 'ctwav']",2,3,68,1072142,47.70214557647705,0.08950471878051758,47.79165029525757,86.4 MMac
49,"['rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trmk']",4,1,14,360309,18.643784523010254,0.08154606819152832,18.725330591201782,4.48 MMac
50,"['rerp', 'trgas', 'regad', 'mk', 'remk', 'trmk']",2,2,35,223075,17.60958433151245,0.07128691673278809,17.68087124824524,18.72 MMac
51,"['rp', 'rerp', 'regad', 'mk', 'ctwav']",3,1,44,847114,32.19430446624756,0.07036328315734863,32.26466774940491,25.04 MMac
52,"['regas', 'trgas', 'trgad', 'mk', 'trmk']",2,2,66,718281,36.15293502807617,0.07370638847351074,36.22664141654968,57.22 MMac
53,"['rp', 'rerp', 'trrp', 'gas', 'gad', 'regad', 'remk', 'ctwav']",3,3,22,490905,33.000028133392334,0.1153419017791748,33.11537003517151,15.65 MMac
54,"['gas', 'trgas', 'regad', 'trgad', 'ctwav']",3,2,15,190157,25.261783599853516,0.0957021713256836,25.3574857711792,6.13 MMac
55,"['rp', 'rerp', 'trrp', 'regas', 'gad', 'mk', 'remk', 'trmk']",2,1,59,368422,8.262097835540771,0.04658365249633789,8.30868148803711,31.14 MMac
56,"['trrp', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",3,1,36,576568,32.37473964691162,0.058551788330078125,32.4332914352417,18.59 MMac
