,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1770127,42.49230623245239,0.028353214263916016,42.52065944671631,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645947,4.539752006530762,0.026173114776611328,4.565925121307373,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120439,4.327726364135742,0.02404642105102539,4.351772785186768,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,673123,3.817629814147949,0.017613649368286133,3.8352434635162354,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863453,5.551481246948242,0.023044109344482422,5.574525356292725,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447274,3.12042236328125,0.020693302154541016,3.141115665435791,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139281,3.0889272689819336,0.021824359893798828,3.1107516288757324,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1679173,8.364808559417725,0.02667069435119629,8.391479253768921,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1443318,7.084894180297852,0.02557539939880371,7.110469579696655,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49291,2.4407505989074707,0.0340573787689209,2.4748079776763916,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,300166,2.397489547729492,0.027114391326904297,2.4246039390563965,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266815,16.836833953857422,0.047957658767700195,16.884791612625122,66.86 MMac
