,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1770829,41.99023246765137,0.00815892219543457,41.9983913898468,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,646369,2.544689178466797,0.005606651306152344,2.550295829772949,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120861,2.226567268371582,0.0045642852783203125,2.2311315536499023,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,673509,1.6097307205200195,0.003500223159790039,1.6132309436798096,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,864115,2.60162353515625,0.0054967403411865234,2.6071202754974365,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447540,1.1605620384216309,0.005380868911743164,1.165942907333374,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139427,1.600968837738037,0.005733489990234375,1.6067023277282715,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1679691,4.904043674468994,0.005791425704956055,4.90983510017395,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1444132,3.5565733909606934,0.004783153533935547,3.561356544494629,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49389,1.219642162322998,0.009443044662475586,1.2290852069854736,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,300532,1.2404084205627441,0.005372285842895508,1.2457807064056396,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2267489,6.682133674621582,0.01039576530456543,6.6925294399261475,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1316479,3.6075353622436523,0.0061054229736328125,3.613640785217285,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,590367,1.8160104751586914,0.004492044448852539,1.820502519607544,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,827207,3.3635377883911133,0.00809478759765625,3.3716325759887695,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,145051,2.3648858070373535,0.007946014404296875,2.3728318214416504,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267948,0.9539484977722168,0.004471778869628906,0.9584202766418457,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568694,1.6620159149169922,0.004912137985229492,1.6669280529022217,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1306754,12.38250732421875,0.014130592346191406,12.396637916564941,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163435,0.8698463439941406,0.0044596195220947266,0.8743059635162354,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,793065,5.827569961547852,0.011168479919433594,5.838738441467285,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2060185,4.875075817108154,0.007033109664916992,4.882108926773071,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137228,0.8429288864135742,0.00452876091003418,0.8474576473236084,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,234185,0.6162166595458984,0.00380706787109375,0.6200237274169922,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,464904,0.9629130363464355,0.005812168121337891,0.9687252044677734,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2262951,10.245752334594727,0.010081291198730469,10.255833625793457,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,651146,1.7189979553222656,0.00444483757019043,1.723442792892456,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1140385,4.720497131347656,0.008472442626953125,4.728969573974609,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179480,1.6086220741271973,0.0063228607177734375,1.6149449348449707,6.45 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,444893,1.1354804039001465,0.005627870559692383,1.1411082744598389,13.46 MMac
