,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1769776,113.04291486740112,0.020497560501098633,113.06341242790222,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645736,4.4310808181762695,0.010312318801879883,4.441393136978149,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120228,4.026889801025391,0.007258892059326172,4.034148693084717,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,672930,2.6958465576171875,0.005749225616455078,2.7015957832336426,54.74 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863122,4.656791687011719,0.007816791534423828,4.664608478546143,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447141,2.6144027709960938,0.006978273391723633,2.6213810443878174,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139208,2.128458023071289,0.0069544315338134766,2.1354124546051025,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1678914,5.184566974639893,0.006979227066040039,5.191546201705933,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1442911,4.266965389251709,0.005364656448364258,4.272330045700073,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49242,1.3832330703735352,0.0064890384674072266,1.3897221088409424,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,299983,1.4241695404052734,0.007879972457885742,1.4320495128631592,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266478,10.726797580718994,0.010373592376708984,10.737171173095703,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315666,5.039048194885254,0.005975008010864258,5.045023202896118,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589662,1.9097328186035156,0.004357337951660156,1.9140901565551758,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826490,3.948187828063965,0.00845479965209961,3.9566426277160645,25.92 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144754,2.388012409210205,0.007949113845825195,2.3959615230560303,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267477,0.8760809898376465,0.004007101058959961,0.8800880908966064,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568007,2.143383026123047,0.0042400360107421875,2.147623062133789,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1305941,12.354898452758789,0.013688325881958008,12.368586778640747,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163072,0.9663939476013184,0.003973960876464844,0.9703679084777832,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792432,6.255888938903809,0.012721776962280273,6.268610715866089,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2059048,5.843353271484375,0.008557558059692383,5.851910829544067,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,136901,1.0877132415771484,0.004362344741821289,1.0920755863189697,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,233750,0.8398532867431641,0.004272937774658203,0.8441262245178223,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,464289,0.947105884552002,0.005072355270385742,0.9521782398223877,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2261688,7.666146755218506,0.01003718376159668,7.6761839389801025,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,650405,1.8720388412475586,0.00403285026550293,1.8760716915130615,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1139542,4.2328596115112305,0.007782459259033203,4.240642070770264,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179057,1.5526890754699707,0.005568265914916992,1.5582573413848877,6.45 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,444218,1.3041138648986816,0.005222320556640625,1.3093361854553223,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1513586,3.6897897720336914,0.008446693420410156,3.6982364654541016,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1754738,4.582607746124268,0.005278825759887695,4.587886571884155,50.07 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,74192,1.2652039527893066,0.006502389907836914,1.2717063426971436,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,213968,1.9710540771484375,0.006933689117431641,1.9779877662658691,18.24 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2002788,6.365382671356201,0.006979465484619141,6.37236213684082,157.69 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,560310,2.6609420776367188,0.005996227264404297,2.666938304901123,46.9 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,114606,1.2554526329040527,0.0053958892822265625,1.2608485221862793,4.04 MMac
37,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,305147,2.031064033508301,0.006886005401611328,2.037950038909912,25.58 MMac
38,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,45,1495622,7.2927117347717285,0.0078887939453125,7.300600528717041,43.83 MMac
39,"['rerp', 'trrp']",3,2,23,409406,2.2612810134887695,0.007245063781738281,2.268526077270508,11.93 MMac
40,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,67,1078295,3.553128242492676,0.00855112075805664,3.5616793632507324,89.81 MMac
41,"['rp', 'trrp', 'regas', 'regad', 'remk', 'ctwav']",3,2,32,730322,4.44340705871582,0.007766246795654297,4.451173305511475,22.38 MMac
42,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk']",2,3,94,2012000,6.02567195892334,0.007260560989379883,6.03293251991272,160.05 MMac
43,"['rp', 'gas', 'regas', 'gad', 'regad', 'mk', 'ctwav']",3,2,53,2061694,6.769216060638428,0.008015632629394531,6.777231693267822,61.02 MMac
44,"['rp', 'gad', 'trmk']",2,2,81,1083016,2.4361133575439453,0.0055582523345947266,2.44167160987854,84.74 MMac
45,"['rerp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",3,3,19,401727,2.951836585998535,0.00973820686340332,2.9615747928619385,12.9 MMac
46,"['rp', 'trrp', 'gad', 'regad', 'trgad', 'mk', 'trmk']",2,3,48,537662,3.168964385986328,0.007161617279052734,3.176126003265381,44.57 MMac
47,"['rp', 'gas', 'regad', 'trgad', 'remk', 'trmk']",4,1,27,1391707,5.5428385734558105,0.0072498321533203125,5.550088405609131,14.79 MMac
48,"['rerp', 'trrp', 'regas', 'trgas', 'gad', 'mk', 'ctwav']",2,3,68,1064967,3.615593910217285,0.007506608963012695,3.623100519180298,86.39 MMac
49,"['rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trmk']",4,1,14,352924,1.5773773193359375,0.007245779037475586,1.584623098373413,4.47 MMac
50,"['rerp', 'trgas', 'regad', 'mk', 'remk', 'trmk']",2,2,35,219260,1.5064239501953125,0.0056056976318359375,1.5120296478271484,18.72 MMac
51,"['rp', 'rerp', 'regad', 'mk', 'ctwav']",3,1,44,836299,2.6677608489990234,0.005623579025268555,2.673384428024292,25.03 MMac
52,"['regas', 'trgas', 'trgad', 'mk', 'trmk']",2,2,66,711316,2.570676803588867,0.005769491195678711,2.576446294784546,57.21 MMac
53,"['rp', 'rerp', 'trrp', 'gas', 'gad', 'regad', 'remk', 'ctwav']",3,3,22,485480,3.012967109680176,0.010011434555053711,3.0229785442352295,15.64 MMac
54,"['gas', 'trgas', 'regad', 'trgad', 'ctwav']",3,2,15,186202,1.6897797584533691,0.007528543472290039,1.6973083019256592,6.13 MMac
55,"['rp', 'rerp', 'trrp', 'regas', 'gad', 'mk', 'remk', 'trmk']",2,1,59,362087,0.8448123931884766,0.004461526870727539,0.8492739200592041,31.13 MMac
56,"['trrp', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",3,1,36,567713,2.617931365966797,0.0059087276458740234,2.623840093612671,18.58 MMac
57,"['rp', 'rerp', 'regas', 'gad', 'regad', 'trgad', 'remk', 'trmk']",2,1,28,85647,0.9974956512451172,0.004563093185424805,1.002058744430542,8.39 MMac
58,"['trgas', 'gad', 'remk', 'ctwav']",2,1,93,845884,1.5729665756225586,0.003971576690673828,1.5769381523132324,65.96 MMac
59,"['trrp', 'regas', 'trgas', 'regad', 'trmk']",2,1,20,43357,0.9572267532348633,0.0039446353912353516,0.9611713886260986,4.14 MMac
60,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'trgad', 'mk']",2,1,16,30302,0.9644031524658203,0.004290342330932617,0.9686934947967529,3.28 MMac
61,"['rerp', 'gas', 'regas', 'gad', 'mk', 'remk']",2,1,25,72093,1.0204076766967773,0.004147768020629883,1.0245554447174072,6.78 MMac
62,"['rp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,87,768836,2.408933639526367,0.005525350570678711,2.414458990097046,64.76 MMac
63,"['rp', 'trgas', 'mk', 'trmk', 'ctwav']",3,2,21,347810,2.3172855377197266,0.00784158706665039,2.325127124786377,10.93 MMac
64,"['rerp', 'trrp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'remk']",2,1,63,410034,0.9236693382263184,0.0043239593505859375,0.9279932975769043,34.96 MMac
65,"['rp', 'trrp', 'gas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",3,1,42,768843,3.7062644958496094,0.00608515739440918,3.7123496532440186,24.52 MMac
66,"['rerp', 'gas', 'trgad', 'trmk', 'ctwav']",3,1,51,1164321,2.3813247680664062,0.005489826202392578,2.386814594268799,34.28 MMac
67,"['rp', 'gas', 'regas', 'trgas', 'regad']",2,2,71,844526,2.937006950378418,0.005665302276611328,2.9426722526550293,67.58 MMac
68,"['rerp', 'trrp', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",3,3,29,894578,5.983185768127441,0.010315656661987305,5.993501424789429,27.74 MMac
