,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1769776,46.155452728271484,0.009383678436279297,46.164836406707764,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645736,3.404521942138672,0.009189844131469727,3.4137117862701416,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120228,2.824521064758301,0.006875753402709961,2.8313968181610107,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,672930,2.15303897857666,0.005804538726806641,2.158843517303467,54.74 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863122,2.9140472412109375,0.00738215446472168,2.921429395675659,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447141,1.7052412033081055,0.006175518035888672,1.7114167213439941,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139208,1.6458749771118164,0.0067975521087646484,1.652672529220581,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1678914,4.110503196716309,0.005632162094116211,4.116135358810425,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1442911,2.9228925704956055,0.00429224967956543,2.927184820175171,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49242,1.58766508102417,0.0051767826080322266,1.5928418636322021,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,299983,1.3551115989685059,0.007504701614379883,1.3626163005828857,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266478,10.14246940612793,0.00972890853881836,10.152198314666748,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315666,4.760026931762695,0.005496025085449219,4.7655229568481445,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589662,1.628732681274414,0.004049062728881836,1.632781744003296,47.16 MMac
