,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1770127,35.23256778717041,0.12703180313110352,35.359599590301514,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645947,2.263975143432617,0.13286972045898438,2.3968448638916016,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120439,2.4288177490234375,0.15223073959350586,2.5810484886169434,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,673123,2.084970474243164,0.1210782527923584,2.2060487270355225,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863453,2.7562618255615234,0.15623044967651367,2.912492275238037,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447274,1.457679271697998,0.1520388126373291,1.6097180843353271,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139281,1.6771793365478516,0.18243885040283203,1.8596181869506836,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1679173,4.742431640625,0.13019442558288574,4.872626066207886,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1443318,4.111433029174805,0.13235807418823242,4.243791103363037,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49291,1.134657859802246,0.15084171295166016,1.2854995727539062,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,300166,1.164686679840088,0.14447855949401855,1.3091652393341064,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266815,9.649980068206787,0.2520616054534912,9.902041673660278,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315937,2.918672561645508,0.12214159965515137,3.040814161300659,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589897,1.3076305389404297,0.0831763744354248,1.3908069133758545,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826729,4.201412200927734,0.1756439208984375,4.377056121826172,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144853,2.0682930946350098,0.16953039169311523,2.237823486328125,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267634,0.8913278579711914,0.08189225196838379,0.9732201099395752,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568236,1.6701698303222656,0.08748292922973633,1.757652759552002,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1306212,10.833370685577393,0.36157965660095215,11.194950342178345,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163193,0.7664680480957031,0.08248162269592285,0.848949670791626,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792643,7.043719291687012,0.2866017818450928,7.3303210735321045,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2059427,6.6336750984191895,0.17348837852478027,6.80716347694397,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137010,0.6830334663391113,0.08981847763061523,0.7728519439697266,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,233895,0.5314826965332031,0.06842947006225586,0.599912166595459,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,464494,0.7542133331298828,0.08795356750488281,0.8421669006347656,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2262109,6.240677833557129,0.14889311790466309,6.389570951461792,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,650652,1.1658906936645508,0.0651085376739502,1.230999231338501,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1139823,3.241133689880371,0.173905611038208,3.415039300918579,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179198,1.0676026344299316,0.11934614181518555,1.1869487762451172,6.45 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,444443,1.0326743125915527,0.11365532875061035,1.146329641342163,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1513875,3.178739547729492,0.1533372402191162,3.3320767879486084,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1755187,2.6233434677124023,0.11237502098083496,2.7357184886932373,50.07 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,74253,1.3625502586364746,0.14644980430603027,1.5090000629425049,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,214059,1.8170833587646484,0.1555790901184082,1.9726624488830566,18.24 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2003071,3.1008124351501465,0.13576245307922363,3.23657488822937,157.69 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,560485,1.9437789916992188,0.09158158302307129,2.03536057472229,46.9 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,114719,0.9080410003662109,0.08188915252685547,0.9899301528930664,4.04 MMac
37,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,305256,1.6289710998535156,0.10508322715759277,1.7340543270111084,25.58 MMac
38,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,45,1495945,5.1514506340026855,0.17824339866638184,5.329694032669067,43.83 MMac
39,"['rerp', 'trrp']",3,2,23,409575,1.916182041168213,0.16142535209655762,2.0776073932647705,11.93 MMac
40,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,67,1078500,3.1133413314819336,0.1913316249847412,3.304672956466675,89.81 MMac
41,"['rp', 'trrp', 'regas', 'regad', 'remk', 'ctwav']",3,2,32,730547,3.155064582824707,0.17756080627441406,3.332625389099121,22.38 MMac
42,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk']",2,3,94,2012283,3.640902042388916,0.1575772762298584,3.7984793186187744,160.05 MMac
43,"['rp', 'gas', 'regas', 'gad', 'regad', 'mk', 'ctwav']",3,2,53,2062073,5.565798282623291,0.17478299140930176,5.740581274032593,61.02 MMac
44,"['rp', 'gad', 'trmk']",2,2,81,1083263,1.856851577758789,0.11190485954284668,1.9687564373016357,84.74 MMac
45,"['rerp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",3,3,19,401868,2.6995301246643066,0.23080992698669434,2.930340051651001,12.9 MMac
46,"['rp', 'trrp', 'gad', 'regad', 'trgad', 'mk', 'trmk']",2,3,48,537807,2.837371826171875,0.1540236473083496,2.9913954734802246,44.57 MMac
47,"['rp', 'gas', 'regad', 'trgad', 'remk', 'trmk']",4,1,27,1392128,3.1770944595336914,0.15105199813842773,3.328146457672119,14.79 MMac
48,"['rerp', 'trrp', 'regas', 'trgas', 'gad', 'mk', 'ctwav']",2,3,68,1065172,2.501797676086426,0.15816378593444824,2.659961462020874,86.39 MMac
49,"['rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trmk']",4,1,14,353135,1.5270471572875977,0.15119266510009766,1.6782398223876953,4.47 MMac
50,"['rerp', 'trgas', 'regad', 'mk', 'remk', 'trmk']",2,2,35,219369,1.3226628303527832,0.11675047874450684,1.43941330909729,18.72 MMac
51,"['rp', 'rerp', 'regad', 'mk', 'ctwav']",3,1,44,836608,2.0180225372314453,0.11455941200256348,2.132581949234009,25.03 MMac
52,"['regas', 'trgas', 'trgad', 'mk', 'trmk']",2,2,66,711515,2.3252010345458984,0.1188197135925293,2.4440207481384277,57.21 MMac
53,"['rp', 'rerp', 'trrp', 'gas', 'gad', 'regad', 'remk', 'ctwav']",3,3,22,485635,2.6518821716308594,0.22577714920043945,2.877659320831299,15.64 MMac
54,"['gas', 'trgas', 'regad', 'trgad', 'ctwav']",3,2,15,186315,1.8644928932189941,0.15939784049987793,2.023890733718872,6.13 MMac
55,"['rp', 'rerp', 'trrp', 'regas', 'gad', 'mk', 'remk', 'trmk']",2,1,59,362268,0.6642341613769531,0.07535195350646973,0.7395861148834229,31.13 MMac
56,"['trrp', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",3,1,36,567966,1.8635749816894531,0.11921048164367676,1.9827854633331299,18.58 MMac
57,"['rp', 'rerp', 'regas', 'gad', 'regad', 'trgad', 'remk', 'trmk']",2,1,28,85732,0.7417798042297363,0.06381559371948242,0.8055953979492188,8.39 MMac
58,"['trgas', 'gad', 'remk', 'ctwav']",2,1,93,846167,1.4461994171142578,0.06496047973632812,1.511159896850586,65.96 MMac
59,"['trrp', 'regas', 'trgas', 'regad', 'trmk']",2,1,20,43418,0.7539153099060059,0.05685281753540039,0.8107681274414062,4.14 MMac
60,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'trgad', 'mk']",2,1,16,30351,0.7782816886901855,0.062467336654663086,0.8407490253448486,3.28 MMac
