,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1770478,44.08982992172241,0.009956121444702148,44.099786043167114,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,646158,4.348540306091309,0.00855875015258789,4.3570990562438965,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120650,4.10761833190918,0.008259296417236328,4.115877628326416,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,673316,3.5762548446655273,0.006833076477050781,3.583087921142578,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863784,6.098699569702148,0.011456966400146484,6.110156536102295,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447407,3.510737419128418,0.012967586517333984,3.523705005645752,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139354,3.088057041168213,0.007569313049316406,3.0956263542175293,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1679432,10.664498805999756,0.012350320816040039,10.676849126815796,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1443725,8.800077438354492,0.010888099670410156,8.810965538024902,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49340,2.538919448852539,0.011430740356445312,2.5503501892089844,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,300349,2.9286623001098633,0.012384653091430664,2.941046953201294,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2267152,16.152262687683105,0.01987600326538086,16.172138690948486,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1316208,7.80869722366333,0.011610746383666992,7.820307970046997,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,590132,3.3115148544311523,0.00817251205444336,3.3196873664855957,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826968,9.39798355102539,0.016214370727539062,9.41419792175293,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144952,4.709136486053467,0.015498638153076172,4.724635124206543,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267791,1.9137144088745117,0.008225202560424805,1.9219396114349365,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568465,3.433561325073242,0.0074367523193359375,3.440998077392578,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1306483,36.052608489990234,0.028199434280395508,36.08080792427063,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163314,1.7168283462524414,0.008611917495727539,1.725440263748169,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792854,12.537288665771484,0.025228023529052734,12.562516689300537,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2059806,10.539078712463379,0.013604164123535156,10.552682876586914,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137119,1.7570853233337402,0.0077381134033203125,1.7648234367370605,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,234040,1.4622092247009277,0.010080814361572266,1.4722900390625,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,464699,1.9364356994628906,0.011812686920166016,1.9482483863830566,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2262530,19.33887004852295,0.01923990249633789,19.358109951019287,22.4 MMac
