,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1770127,101.17349624633789,0.5358273983001709,101.70932364463806,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645947,58.17849636077881,0.7333328723907471,58.911829233169556,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120439,50.4878044128418,0.6745414733886719,51.16234588623047,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,673123,40.62066078186035,0.5185286998748779,41.13918948173523,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863453,54.83424663543701,0.667320966720581,55.50156760215759,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447274,30.01418113708496,0.6288769245147705,30.64305806159973,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139281,30.365705490112305,0.6641302108764648,31.02983570098877,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1679173,77.85905599594116,0.6357865333557129,78.49484252929688,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1443318,57.48556852340698,0.35503244400024414,57.84060096740723,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49291,15.483319759368896,0.5406606197357178,16.023980379104614,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,300166,15.150189399719238,0.524787187576294,15.674976587295532,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266815,111.38101816177368,0.9507131576538086,112.33173131942749,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315937,62.7018928527832,0.530024528503418,63.23191738128662,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589897,24.18990135192871,0.36427831649780273,24.554179668426514,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826729,59.32796001434326,0.7587649822235107,60.08672499656677,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144853,31.789422035217285,0.7404966354370117,32.5299186706543,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267634,12.042534351348877,0.35529351234436035,12.397827863693237,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568236,24.28717613220215,0.37784242630004883,24.665018558502197,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1306212,119.02080774307251,1.0822370052337646,120.10304474830627,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163193,12.448334693908691,0.3052098751068115,12.753544569015503,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792643,82.6944351196289,0.8143961429595947,83.5088312625885,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2059427,91.47648811340332,0.7405767440795898,92.21706485748291,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137010,9.315478801727295,0.36190128326416016,9.677380084991455,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,233895,11.61414384841919,0.36866259574890137,11.98280644416809,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,464494,8.6228609085083,0.35887694358825684,8.981737852096558,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2262109,97.91972637176514,0.6316044330596924,98.55133080482483,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,650652,22.53894805908203,0.27963876724243164,22.818586826324463,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1139823,57.91976451873779,0.5294911861419678,58.44925570487976,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179198,18.993687629699707,0.37926816940307617,19.372955799102783,6.45 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,444443,18.10903549194336,0.35419392585754395,18.463229417800903,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1513875,48.783087730407715,0.5382132530212402,49.321300983428955,123.73 MMac
