,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1770478,102.55429744720459,0.31211423873901367,102.8664116859436,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,646158,7.636356353759766,0.27919554710388184,7.9155519008636475,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120650,6.983041763305664,0.23999881744384766,7.223040580749512,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,673316,5.126094818115234,0.18736648559570312,5.3134613037109375,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863784,6.960511207580566,0.24360108375549316,7.20411229133606,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447407,3.7326574325561523,0.2260909080505371,3.9587483406066895,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139354,3.7270426750183105,0.23599457740783691,3.9630372524261475,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1679432,8.205842971801758,0.23053669929504395,8.436379671096802,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1443725,8.947885036468506,0.17776203155517578,9.125647068023682,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49340,1.9791126251220703,0.22716331481933594,2.2062759399414062,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,300349,1.7726659774780273,0.19009017944335938,1.9627561569213867,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2267152,10.79624891281128,0.3451552391052246,11.141404151916504,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1316208,5.898857116699219,0.1855170726776123,6.084374189376831,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,590132,2.507328987121582,0.12941932678222656,2.6367483139038086,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826968,5.438041687011719,0.1916494369506836,5.629691123962402,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144952,2.0308852195739746,0.18007874488830566,2.2109639644622803,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267791,1.2454628944396973,0.12187552452087402,1.3673384189605713,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568465,2.482318878173828,0.13054561614990234,2.6128644943237305,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1306483,52.68305540084839,0.5016787052154541,53.18473410606384,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163314,1.2981176376342773,0.12578701972961426,1.4239046573638916,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792854,9.067201614379883,0.43445467948913574,9.501656293869019,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2059806,7.0534586906433105,0.1837916374206543,7.237250328063965,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137119,1.078176498413086,0.09660124778747559,1.1747777462005615,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,234040,0.9681105613708496,0.09959030151367188,1.0677008628845215,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,464699,1.4621376991271973,0.13498830795288086,1.5971260070800781,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2262530,12.32525110244751,0.34935832023620605,12.674609422683716,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,650899,2.9475927352905273,0.12494301795959473,3.072535753250122,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1140104,7.474017143249512,0.26506900787353516,7.739086151123047,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179339,1.8050909042358398,0.1756730079650879,1.9807639122009277,6.45 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,444668,2.501380443572998,0.16907262802124023,2.6704530715942383,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1514164,5.9079766273498535,0.22269010543823242,6.130666732788086,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1755636,5.298113822937012,0.16938567161560059,5.467499494552612,50.07 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,74314,1.825106143951416,0.21948885917663574,2.0445950031280518,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,214150,2.266097068786621,0.2312312126159668,2.497328281402588,18.24 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2003354,10.12941598892212,0.2277390956878662,10.357155084609985,157.69 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,560660,4.646968841552734,0.19364047050476074,4.840609312057495,46.9 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,114832,2.320992946624756,0.17493891716003418,2.49593186378479,4.04 MMac
37,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,305365,3.553128242492676,0.23087286949157715,3.784001111984253,25.58 MMac
38,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,45,1496268,10.970163345336914,0.2588667869567871,11.229030132293701,43.83 MMac
39,"['rerp', 'trrp']",3,2,23,409744,3.72389554977417,0.24062633514404297,3.964521884918213,11.93 MMac
40,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,67,1078705,5.52523136138916,0.30695462226867676,5.832185983657837,89.81 MMac
41,"['rp', 'trrp', 'regas', 'regad', 'remk', 'ctwav']",3,2,32,730772,7.336521148681641,0.2551558017730713,7.591676950454712,22.38 MMac
42,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk']",2,3,94,2012566,11.309480667114258,0.2600376605987549,11.569518327713013,160.05 MMac
43,"['rp', 'gas', 'regas', 'gad', 'regad', 'mk', 'ctwav']",3,2,53,2062452,10.06990671157837,0.2653942108154297,10.335300922393799,61.02 MMac
44,"['rp', 'gad', 'trmk']",2,2,81,1083510,4.112005233764648,0.17389249801635742,4.285897731781006,84.74 MMac
45,"['rerp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",3,3,19,402009,5.243837833404541,0.3453536033630371,5.589191436767578,12.9 MMac
46,"['rp', 'trrp', 'gad', 'regad', 'trgad', 'mk', 'trmk']",2,3,48,537952,6.301760673522949,0.23589205741882324,6.5376527309417725,44.57 MMac
47,"['rp', 'gas', 'regad', 'trgad', 'remk', 'trmk']",4,1,27,1392549,7.7316999435424805,0.22892236709594727,7.960622310638428,14.79 MMac
48,"['rerp', 'trrp', 'regas', 'trgas', 'gad', 'mk', 'ctwav']",2,3,68,1065377,5.861568450927734,0.23455452919006348,6.096122980117798,86.39 MMac
49,"['rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trmk']",4,1,14,353346,2.2621631622314453,0.22976899147033691,2.4919321537017822,4.47 MMac
50,"['rerp', 'trgas', 'regad', 'mk', 'remk', 'trmk']",2,2,35,219478,2.5543928146362305,0.1755504608154297,2.72994327545166,18.72 MMac
51,"['rp', 'rerp', 'regad', 'mk', 'ctwav']",3,1,44,836917,3.4059762954711914,0.11924505233764648,3.525221347808838,25.03 MMac
52,"['regas', 'trgas', 'trgad', 'mk', 'trmk']",2,2,66,711714,4.230237007141113,0.12951922416687012,4.359756231307983,57.21 MMac
53,"['rp', 'rerp', 'trrp', 'gas', 'gad', 'regad', 'remk', 'ctwav']",3,3,22,485790,4.803729057312012,0.2558736801147461,5.059602737426758,15.64 MMac
54,"['gas', 'trgas', 'regad', 'trgad', 'ctwav']",3,2,15,186428,3.3562064170837402,0.19945454597473145,3.5556609630584717,6.13 MMac
55,"['rp', 'rerp', 'trrp', 'regas', 'gad', 'mk', 'remk', 'trmk']",2,1,59,362449,1.3034939765930176,0.09585285186767578,1.3993468284606934,31.13 MMac
56,"['trrp', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",3,1,36,568219,4.871249198913574,0.20347237586975098,5.074721574783325,18.58 MMac
57,"['rp', 'rerp', 'regas', 'gad', 'regad', 'trgad', 'remk', 'trmk']",2,1,28,85817,1.741480827331543,0.15383124351501465,1.8953120708465576,8.39 MMac
58,"['trgas', 'gad', 'remk', 'ctwav']",2,1,93,846450,2.921175956726074,0.12650227546691895,3.047678232192993,65.96 MMac
59,"['trrp', 'regas', 'trgas', 'regad', 'trmk']",2,1,20,43479,1.7524242401123047,0.13410735130310059,1.8865315914154053,4.14 MMac
60,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'trgad', 'mk']",2,1,16,30400,1.831984519958496,0.16934967041015625,2.0013341903686523,3.28 MMac
