,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1769776,41.293394565582275,0.0059354305267333984,41.29932999610901,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645736,2.6143550872802734,0.006770133972167969,2.6211252212524414,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120228,2.252650260925293,0.005311489105224609,2.2579617500305176,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,672930,1.9920110702514648,0.004717111587524414,1.9967281818389893,54.74 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863122,2.2721052169799805,0.0067596435546875,2.278864860534668,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447141,1.4834880828857422,0.005552530288696289,1.4890406131744385,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139208,1.6970515251159668,0.00564265251159668,1.7026941776275635,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1678914,4.684638977050781,0.005822420120239258,4.6904613971710205,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1442911,4.626739025115967,0.004795551300048828,4.631534576416016,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49242,1.524364948272705,0.005471944808959961,1.529836893081665,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,299983,1.5596985816955566,0.00509953498840332,1.56479811668396,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266478,9.452426433563232,0.00859379768371582,9.461020231246948,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315666,4.792499542236328,0.0048635005950927734,4.797363042831421,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589662,1.9684553146362305,0.0034024715423583984,1.9718577861785889,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826490,3.9039134979248047,0.007088422775268555,3.9110019207000732,25.92 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144754,2.1470069885253906,0.006537199020385742,2.1535441875457764,5.18 MMac
