,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1769776,65.84519147872925,0.05645632743835449,65.9016478061676,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645736,23.39315414428711,0.03570413589477539,23.428858280181885,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120228,22.892260551452637,0.05110931396484375,22.94336986541748,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,672930,18.137454986572266,0.04264116287231445,18.18009614944458,54.74 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863122,26.93305015563965,0.05660581588745117,26.9896559715271,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447141,14.34783935546875,0.0560760498046875,14.403915405273438,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139208,14.734399318695068,0.05500221252441406,14.789401531219482,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1678914,34.43044424057007,0.04219317436218262,34.47263741493225,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1442911,23.12096357345581,0.03179812431335449,23.152761697769165,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49242,9.424591064453125,0.04325532913208008,9.467846393585205,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,299983,9.345030784606934,0.041782379150390625,9.386813163757324,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266478,63.825345039367676,0.07509040832519531,63.90043544769287,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315666,32.74061679840088,0.044281959533691406,32.78489875793457,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589662,12.699460983276367,0.029373884201049805,12.728834867477417,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826490,28.808140754699707,0.05916786193847656,28.867308616638184,25.92 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144754,14.982080459594727,0.05932927131652832,15.041409730911255,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267477,5.739641189575195,0.023092269897460938,5.762733459472656,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568007,52.850914001464844,0.031328439712524414,52.88224244117737,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1305941,79.98898029327393,0.11910700798034668,80.10808730125427,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163072,6.322038173675537,0.02668929100036621,6.348727464675903,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792432,43.470096588134766,0.08704185485839844,43.557138442993164,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2059048,42.75795221328735,0.05862689018249512,42.81657910346985,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,136901,6.716978549957275,0.030475139617919922,6.747453689575195,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,233750,5.869078636169434,0.029462337493896484,5.89854097366333,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,464289,5.452215671539307,0.033499956130981445,5.485715627670288,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2261688,58.45377445220947,0.07283186912536621,58.52660632133484,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,650405,11.81478500366211,0.028598546981811523,11.843383550643921,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1139542,30.43544292449951,0.06253170967102051,30.497974634170532,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179057,9.546208381652832,0.043297767639160156,9.589506149291992,6.45 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,444218,8.57459306716919,0.03765082359313965,8.612243890762329,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1513586,22.541141510009766,0.042098045349121094,22.583239555358887,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1754738,29.139018058776855,0.04187631607055664,29.180894374847412,50.07 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,74192,9.931647777557373,0.045682430267333984,9.977330207824707,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,213968,13.401377201080322,0.0532376766204834,13.454614877700806,18.24 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2002788,40.827226638793945,0.05431699752807617,40.88154363632202,157.69 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,560310,21.33316993713379,0.04628300666809082,21.37945294380188,46.9 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,114606,10.147237777709961,0.04291129112243652,10.190149068832397,4.04 MMac
37,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,305147,14.095056056976318,0.05460476875305176,14.14966082572937,25.58 MMac
38,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,45,1495622,47.16242551803589,0.05988502502441406,47.2223105430603,43.83 MMac
39,"['rerp', 'trrp']",3,2,23,409406,15.597760677337646,0.05971026420593262,15.657470941543579,11.93 MMac
40,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,67,1078295,21.547222137451172,0.055844783782958984,21.60306692123413,89.81 MMac
41,"['rp', 'trrp', 'regas', 'regad', 'remk', 'ctwav']",3,2,32,730322,27.21695899963379,0.056943416595458984,27.273902416229248,22.38 MMac
42,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk']",2,3,94,2012000,43.6540961265564,0.05639529228210449,43.7104914188385,160.05 MMac
43,"['rp', 'gas', 'regas', 'gad', 'regad', 'mk', 'ctwav']",3,2,53,2061694,45.25187015533447,0.06118607521057129,45.313056230545044,61.02 MMac
44,"['rp', 'gad', 'trmk']",2,2,81,1083016,20.2683687210083,0.04202413558959961,20.3103928565979,84.74 MMac
45,"['rerp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",3,3,19,401727,19.935333728790283,0.07183289527893066,20.007166624069214,12.9 MMac
46,"['rp', 'trrp', 'gad', 'regad', 'trgad', 'mk', 'trmk']",2,3,48,537662,28.302359580993652,0.0561213493347168,28.35848093032837,44.57 MMac
47,"['rp', 'gas', 'regad', 'trgad', 'remk', 'trmk']",4,1,27,1391707,41.96455478668213,0.05770277976989746,42.022257566452026,14.79 MMac
48,"['rerp', 'trrp', 'regas', 'trgas', 'gad', 'mk', 'ctwav']",2,3,68,1064967,30.185341835021973,0.05598592758178711,30.24132776260376,86.39 MMac
49,"['rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trmk']",4,1,14,352924,11.647605895996094,0.050914764404296875,11.69852066040039,4.47 MMac
50,"['rerp', 'trgas', 'regad', 'mk', 'remk', 'trmk']",2,2,35,219260,8.703207969665527,0.03937697410583496,8.742584943771362,18.72 MMac
51,"['rp', 'rerp', 'regad', 'mk', 'ctwav']",3,1,44,836299,19.42734718322754,0.04155230522155762,19.468899488449097,25.03 MMac
52,"['regas', 'trgas', 'trgad', 'mk', 'trmk']",2,2,66,711316,16.463685035705566,0.03546571731567383,16.49915075302124,57.21 MMac
53,"['rp', 'rerp', 'trrp', 'gas', 'gad', 'regad', 'remk', 'ctwav']",3,3,22,485480,19.39646005630493,0.07278132438659668,19.46924138069153,15.64 MMac
54,"['gas', 'trgas', 'regad', 'trgad', 'ctwav']",3,2,15,186202,15.053164958953857,0.05913400650024414,15.112298965454102,6.13 MMac
55,"['rp', 'rerp', 'trrp', 'regas', 'gad', 'mk', 'remk', 'trmk']",2,1,59,362087,5.032622814178467,0.026714086532592773,5.05933690071106,31.13 MMac
56,"['trrp', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",3,1,36,567713,19.78309154510498,0.042604923248291016,19.82569646835327,18.58 MMac
57,"['rp', 'rerp', 'regas', 'gad', 'regad', 'trgad', 'remk', 'trmk']",2,1,28,85647,6.7642927169799805,0.029551029205322266,6.793843746185303,8.39 MMac
58,"['trgas', 'gad', 'remk', 'ctwav']",2,1,93,845884,11.232185363769531,0.026564598083496094,11.258749961853027,65.96 MMac
59,"['trrp', 'regas', 'trgas', 'regad', 'trmk']",2,1,20,43357,6.483578681945801,0.026836633682250977,6.510415315628052,4.14 MMac
