,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1773286,96.63616418838501,0.09395217895507812,96.73011636734009,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,647846,50.193190574645996,0.09762024879455566,50.29081082344055,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1122338,45.900702476501465,0.08842134475708008,45.989123821258545,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,674860,36.05222702026367,0.07388710975646973,36.12611413002014,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,866432,46.41387462615967,0.08965706825256348,46.50353169441223,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,448471,25.726807117462158,0.08843445777893066,25.81524157524109,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139938,24.75295066833496,0.08806943893432617,24.841020107269287,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1681504,74.10221099853516,0.08699941635131836,74.18921041488647,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1446981,51.42245292663574,0.07275938987731934,51.49521231651306,41.45 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49732,12.459003925323486,0.07167840003967285,12.53068232536316,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,301813,11.933934688568115,0.06228470802307129,11.996219396591187,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2269848,98.34651947021484,0.11644864082336426,98.46296811103821,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1318376,54.28962707519531,0.07443547248840332,54.364062547683716,105.02 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,592012,22.957468032836914,0.05146193504333496,23.00892996788025,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,828880,52.92530059814453,0.09941530227661133,53.02471590042114,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,145744,27.660691738128662,0.09859633445739746,27.75928807258606,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,269047,10.721242427825928,0.05088496208190918,10.772127389907837,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,570297,21.03426456451416,0.05243992805480957,21.08670449256897,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1308651,113.35340738296509,0.16051578521728516,113.51392316818237,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,164282,10.832858085632324,0.05133867263793945,10.884196758270264,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,794542,81.83021545410156,0.14621448516845703,81.97642993927002,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2062838,73.88627529144287,0.0957942008972168,73.98206949234009,60.35 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137991,11.204314231872559,0.05378842353820801,11.258102655410767,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,235200,10.711956024169922,0.05315732955932617,10.765113353729248,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,466339,8.456754684448242,0.05301332473754883,8.509768009185791,39.87 MMac
