,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1773286,104.37358617782593,0.0900411605834961,104.46362733840942,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,647846,57.8716516494751,0.11381244659423828,57.985464096069336,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1122338,54.23178672790527,0.0981142520904541,54.32990097999573,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,674860,44.71721649169922,0.08601665496826172,44.80323314666748,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,866432,48.03352355957031,0.0867147445678711,48.120238304138184,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,448471,23.68319034576416,0.06858587265014648,23.751776218414307,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139938,28.38073968887329,0.10403275489807129,28.484772443771362,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1681504,95.5770492553711,0.11029767990112305,95.68734693527222,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1446981,60.96510887145996,0.08713531494140625,61.05224418640137,41.45 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49732,23.913991451263428,0.1132960319519043,24.027287483215332,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,301813,18.857944011688232,0.09145951271057129,18.949403524398804,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2269848,126.39952898025513,0.15649008750915527,126.55601906776428,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1318376,69.94671821594238,0.09333181381225586,70.04005002975464,105.02 MMac
