,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1773286,122.99909591674805,0.13717317581176758,123.13626909255981,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,647846,59.28030014038086,0.13125228881835938,59.41155242919922,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1122338,50.98588466644287,0.09925293922424316,51.085137605667114,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,674860,33.87479782104492,0.058715105056762695,33.933512926101685,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,866432,45.058250427246094,0.09845590591430664,45.1567063331604,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,448471,28.1499981880188,0.09377694129943848,28.243775129318237,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139938,27.429628372192383,0.09980654716491699,27.5294349193573,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1681504,84.5071792602539,0.09678435325622559,84.60396361351013,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1446981,50.679802894592285,0.06903529167175293,50.74883818626404,41.45 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49732,15.023720264434814,0.08361530303955078,15.107335567474365,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,301813,19.45943832397461,0.08592009544372559,19.545358419418335,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2269848,103.34919691085815,0.14254522323608398,103.49174213409424,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1318376,56.34430646896362,0.08400177955627441,56.4283082485199,105.02 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,592012,22.126269340515137,0.05832648277282715,22.184595823287964,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,828880,57.18131065368652,0.11757159233093262,57.298882246017456,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,145744,25.62025785446167,0.12706494331359863,25.74732279777527,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,269047,10.676813125610352,0.040883779525756836,10.717696905136108,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,570297,26.162219047546387,0.06428766250610352,26.22650671005249,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1308651,137.3362898826599,0.18831634521484375,137.52460622787476,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,164282,9.2765212059021,0.050821781158447266,9.327342987060547,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,794542,86.67244911193848,0.1823885440826416,86.85483765602112,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2062838,68.58687400817871,0.08814692497253418,68.67502093315125,60.35 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137991,12.92351484298706,0.06731820106506348,12.990833044052124,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,235200,12.134158611297607,0.05803060531616211,12.19218921661377,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,466339,11.795425415039062,0.08498001098632812,11.88040542602539,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2265898,105.53451776504517,0.1452031135559082,105.67972087860107,22.41 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,652875,23.52461814880371,0.06060051918029785,23.58521866798401,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1142352,57.87465572357178,0.11359143257141113,57.98824715614319,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,180467,18.515324592590332,0.07106924057006836,18.5863938331604,6.46 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,446468,19.491636753082275,0.10058116912841797,19.592217922210693,13.46 MMac
