,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1777498,1728.326404094696,3.4525320529937744,1731.7789361476898,52.71 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,650378,1151.5206575393677,3.323803424835205,1154.8444609642029,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1124870,1046.1604356765747,2.860948085784912,1049.0213837623596,89.58 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,677176,744.2771196365356,2.2615668773651123,746.5386865139008,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,870404,963.7545108795166,3.3205208778381348,967.0750317573547,9.82 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,450067,520.0595736503601,2.7662525177001953,522.8258261680603,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,140814,517.0295000076294,2.844420909881592,519.873920917511,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1684612,1606.5844058990479,2.5136349201202393,1609.098040819168,132.51 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1451865,1144.2356586456299,2.352883815765381,1146.5885424613953,41.45 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,50320,863.5854005813599,3.0434606075286865,866.6288611888885,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,304009,258.2884669303894,2.270704746246338,260.55917167663574,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2273892,1960.8473181724548,4.63528847694397,1965.4826066493988,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1321628,1146.7661261558533,2.2523598670959473,1149.0184860229492,105.02 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,594832,545.4857349395752,1.5551092624664307,547.0408442020416,47.17 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,831748,1140.5220031738281,3.7596051692962646,1144.2816083431244,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,146932,559.3593120574951,3.4951651096343994,562.8544771671295,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,270931,270.7714080810547,1.5462532043457031,272.3176612854004,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,573045,543.116307258606,1.6233060359954834,544.7396132946014,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1311903,2171.7039942741394,6.271219253540039,2177.9752135276794,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,165734,269.7969436645508,1.5658683776855469,271.3628120422363,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,797074,1445.910358428955,5.348013162612915,1451.258371591568,8.74 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2067386,1735.728406906128,2.462965726852417,1738.1913726329803,60.35 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,139299,274.9120235443115,1.619964838027954,276.5319883823395,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,236940,275.20408630371094,1.7231528759002686,276.9272391796112,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,468799,216.90971851348877,1.8634870052337646,218.77320551872253,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2270950,2009.7135543823242,4.108008623123169,2013.8215630054474,22.41 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,655839,536.849045753479,1.5663034915924072,538.4153492450714,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1145724,1148.1931686401367,3.2604429721832275,1151.45361161232,35.07 MMac
