,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1770127,92.65036582946777,0.044121742248535156,92.69448757171631,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645947,46.515536308288574,0.04342937469482422,46.5589656829834,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120439,53.12478542327881,0.044463396072387695,53.169248819351196,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,673123,41.307950019836426,0.03933382034301758,41.34728384017944,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863453,51.1829137802124,0.04880094528198242,51.231714725494385,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447274,27.166199684143066,0.045809030532836914,27.212008714675903,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139281,21.21105194091797,0.039800405502319336,21.250852346420288,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1679173,81.70655965805054,0.04402446746826172,81.7505841255188,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1443318,56.38918876647949,0.035082101821899414,56.42427086830139,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49291,15.408933162689209,0.036162376403808594,15.445095539093018,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,300166,18.87565851211548,0.0389714241027832,18.91462993621826,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266815,120.37889957427979,0.061568260192871094,120.44046783447266,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315937,62.59886026382446,0.041542768478393555,62.640403032302856,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589897,24.494409561157227,0.02733135223388672,24.521740913391113,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826729,51.66325569152832,0.0473637580871582,51.71061944961548,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144853,25.077998638153076,0.04526686668395996,25.123265504837036,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267634,9.522426128387451,0.018877744674682617,9.541303873062134,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568236,26.186656951904297,0.02672100067138672,26.213377952575684,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1306212,148.51044416427612,0.09061527252197266,148.6010594367981,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163193,11.814725399017334,0.0236966609954834,11.838422060012817,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792643,84.19008255004883,0.07200145721435547,84.26208400726318,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2059427,84.44817066192627,0.04996037483215332,84.49813103675842,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137010,12.52448558807373,0.028010129928588867,12.55249571800232,12.76 MMac
