,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1769776,231.75122737884521,0.08020973205566406,231.83143711090088,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645736,83.97195339202881,0.0799102783203125,84.05186367034912,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120228,77.35204696655273,0.07255887985229492,77.42460584640503,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,672930,58.002328872680664,0.06033134460449219,58.062660217285156,54.74 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863122,67.06016063690186,0.07345747947692871,67.13361811637878,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447141,39.716947078704834,0.07081031799316406,39.787757396698,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139208,38.498079776763916,0.07214856147766113,38.57022833824158,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1678914,112.02921867370605,0.07197880744934082,112.1011974811554,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1442911,79.79239225387573,0.06134462356567383,79.8537368774414,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49242,28.998827934265137,0.06833338737487793,29.067161321640015,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,299983,27.034056186676025,0.06243562698364258,27.096491813659668,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266478,150.93212127685547,0.09015488624572754,151.0222761631012,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315666,82.98836946487427,0.06125307083129883,83.04962253570557,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589662,33.50505828857422,0.04537177085876465,33.55043005943298,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826490,82.07762241363525,0.07993268966674805,82.157555103302,25.92 MMac
