,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1771180,92.95810461044312,0.04357171058654785,93.00167632102966,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,646580,45.806169509887695,0.04401993751525879,45.850189447402954,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1121072,52.03561782836914,0.03940773010253906,52.07502555847168,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,673702,37.03618049621582,0.03937530517578125,37.0755558013916,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,864446,48.38752746582031,0.05028367042541504,48.43781113624573,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447673,22.882139682769775,0.04055905342102051,22.922698736190796,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139500,26.448071002960205,0.049250125885009766,26.497321128845215,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1679950,71.70195579528809,0.042285919189453125,71.74424171447754,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1444539,52.94119119644165,0.03482937812805176,52.9760205745697,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49438,15.400755405426025,0.03496193885803223,15.435717344284058,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,300715,15.103769302368164,0.03423309326171875,15.138002395629883,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2267826,102.1788239479065,0.05853605270385742,102.23736000061035,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1316750,61.23436689376831,0.038129329681396484,61.27249622344971,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,590602,26.01797580718994,0.028645753860473633,26.046621561050415,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,827446,61.97786331176758,0.05331850051879883,62.03118181228638,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,145150,30.129599571228027,0.03880596160888672,30.168405532836914,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,268105,11.332166194915771,0.021906137466430664,11.354072332382202,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568923,22.432661056518555,0.027357101440429688,22.460018157958984,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1307025,139.89286422729492,0.0881805419921875,139.9810447692871,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163556,11.216175556182861,0.02113199234008789,11.23730754852295,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,793276,71.09527587890625,0.05992603302001953,71.15520191192627,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2060564,86.4930510520935,0.050768136978149414,86.54381918907166,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137337,13.170814514160156,0.02869272232055664,13.199507236480713,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,234330,12.876105308532715,0.028036832809448242,12.904142141342163,20.36 MMac
