,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1769776,57.34362602233887,0.03406047821044922,57.377686500549316,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645736,12.235760688781738,0.024761199951171875,12.26052188873291,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120228,11.858940124511719,0.021048784255981445,11.8799889087677,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,672930,8.611345291137695,0.016867399215698242,8.628212690353394,54.74 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863122,14.473867416381836,0.025684595108032227,14.499552011489868,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447141,7.367730140686035,0.022750139236450195,7.390480279922485,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139208,6.7467451095581055,0.025320768356323242,6.772065877914429,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1678914,21.359968185424805,0.022860050201416016,21.38282823562622,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1442911,16.285014152526855,0.01869058609008789,16.303704738616943,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49242,6.791269779205322,0.0241701602935791,6.815439939498901,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,299983,5.889785289764404,0.023145198822021484,5.912930488586426,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266478,37.38377094268799,0.0460667610168457,37.429837703704834,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315666,19.03764009475708,0.023912429809570312,19.06155252456665,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589662,7.998299598693848,0.01734328269958496,8.015642881393433,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826490,19.78020668029785,0.03211545944213867,19.81232213973999,25.92 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144754,8.996069431304932,0.03073430061340332,9.026803731918335,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267477,3.8229823112487793,0.015265941619873047,3.8382482528686523,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568007,7.321429252624512,0.016494274139404297,7.337923526763916,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1305941,43.62004995346069,0.05413174629211426,43.67418169975281,14.31 MMac
