,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1769776,40.88609218597412,0.12079858779907227,41.00689077377319,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645736,2.38649845123291,0.11938118934631348,2.5058796405792236,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120228,2.1638870239257812,0.10892844200134277,2.272815465927124,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,672930,1.8335580825805664,0.08867740631103516,1.9222354888916016,54.74 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863122,2.4912357330322266,0.11221623420715332,2.60345196723938,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447141,1.388239860534668,0.0941932201385498,1.4824330806732178,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139208,1.2913227081298828,0.10003352165222168,1.3913562297821045,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1678914,3.8117408752441406,0.12201571464538574,3.9337565898895264,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1442911,3.2867789268493652,0.1111750602722168,3.397953987121582,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49242,1.1229515075683594,0.14551115036010742,1.2684626579284668,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,299983,1.1078953742980957,0.12151956558227539,1.229414939880371,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266478,7.255268096923828,0.24058890342712402,7.495857000350952,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315666,3.503572940826416,0.1143956184387207,3.6179685592651367,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589662,1.4818906784057617,0.07873058319091797,1.5606212615966797,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826490,3.410029411315918,0.16645002365112305,3.576479434967041,25.92 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144754,1.5255093574523926,0.16038060188293457,1.6858899593353271,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267477,0.7315754890441895,0.09371042251586914,0.8252859115600586,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568007,1.481175422668457,0.08719062805175781,1.5683660507202148,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1305941,11.619365215301514,0.33445310592651367,11.953818321228027,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163072,0.8547782897949219,0.08123779296875,0.9360160827636719,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792432,5.583548545837402,0.2755756378173828,5.859124183654785,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2059048,6.496596336364746,0.17004847526550293,6.666644811630249,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,136901,0.7670402526855469,0.0882563591003418,0.8552966117858887,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,233750,0.6835103034973145,0.0864861011505127,0.7699964046478271,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,464289,0.8278727531433105,0.10180020332336426,0.9296729564666748,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2261688,8.589613437652588,0.24948549270629883,8.839098930358887,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,650405,1.7644643783569336,0.10928916931152344,1.873753547668457,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1139542,3.549957275390625,0.2324662208557129,3.782423496246338,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179057,1.3985157012939453,0.1310749053955078,1.5295906066894531,6.45 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,444218,1.2084245681762695,0.10695123672485352,1.315375804901123,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1513586,3.259885311126709,0.14867448806762695,3.408559799194336,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1754738,2.899467945098877,0.10690927505493164,3.0063772201538086,50.07 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,74192,1.3751983642578125,0.13563132286071777,1.5108296871185303,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,213968,1.8086910247802734,0.14686822891235352,1.955559253692627,18.24 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2002788,6.128883361816406,0.14755940437316895,6.276442766189575,157.69 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,560310,2.1871566772460938,0.1279921531677246,2.3151488304138184,46.9 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,114606,1.425611972808838,0.1529238224029541,1.578535795211792,4.04 MMac
37,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,305147,1.8177032470703125,0.1913905143737793,2.009093761444092,25.58 MMac
38,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,45,1495622,5.229699611663818,0.16671013832092285,5.396409749984741,43.83 MMac
39,"['rerp', 'trrp']",3,2,23,409406,1.5684247016906738,0.17499589920043945,1.7434206008911133,11.93 MMac
40,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,67,1078295,2.9553651809692383,0.18990302085876465,3.145268201828003,89.81 MMac
41,"['rp', 'trrp', 'regas', 'regad', 'remk', 'ctwav']",3,2,32,730322,2.640509605407715,0.16226792335510254,2.8027775287628174,22.38 MMac
42,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk']",2,3,94,2012000,3.717505931854248,0.14638423919677734,3.8638901710510254,160.05 MMac
43,"['rp', 'gas', 'regas', 'gad', 'regad', 'mk', 'ctwav']",3,2,53,2061694,4.149806499481201,0.16521000862121582,4.315016508102417,61.02 MMac
44,"['rp', 'gad', 'trmk']",2,2,81,1083016,1.7867326736450195,0.1047356128692627,1.8914682865142822,84.74 MMac
45,"['rerp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",3,3,19,401727,1.8903374671936035,0.2091512680053711,2.0994887351989746,12.9 MMac
46,"['rp', 'trrp', 'gad', 'regad', 'trgad', 'mk', 'trmk']",2,3,48,537662,2.454853057861328,0.14625811576843262,2.6011111736297607,44.57 MMac
47,"['rp', 'gas', 'regad', 'trgad', 'remk', 'trmk']",4,1,27,1391707,3.3124208450317383,0.14302992820739746,3.4554507732391357,14.79 MMac
48,"['rerp', 'trrp', 'regas', 'trgas', 'gad', 'mk', 'ctwav']",2,3,68,1064967,2.391958236694336,0.1469411849975586,2.5388994216918945,86.39 MMac
49,"['rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trmk']",4,1,14,352924,1.0525107383728027,0.14232587814331055,1.1948366165161133,4.47 MMac
50,"['rerp', 'trgas', 'regad', 'mk', 'remk', 'trmk']",2,2,35,219260,0.872039794921875,0.11547040939331055,0.9875102043151855,18.72 MMac
51,"['rp', 'rerp', 'regad', 'mk', 'ctwav']",3,1,44,836299,2.3832082748413086,0.1089472770690918,2.4921555519104004,25.03 MMac
52,"['regas', 'trgas', 'trgad', 'mk', 'trmk']",2,2,66,711316,2.3050308227539062,0.11189866065979004,2.4169294834136963,57.21 MMac
53,"['rp', 'rerp', 'trrp', 'gas', 'gad', 'regad', 'remk', 'ctwav']",3,3,22,485480,2.895379066467285,0.26949620246887207,3.1648752689361572,15.64 MMac
54,"['gas', 'trgas', 'regad', 'trgad', 'ctwav']",3,2,15,186202,2.244448661804199,0.20494294166564941,2.4493916034698486,6.13 MMac
55,"['rp', 'rerp', 'trrp', 'regas', 'gad', 'mk', 'remk', 'trmk']",2,1,59,362087,0.9590983390808105,0.0972137451171875,1.056312084197998,31.13 MMac
56,"['trrp', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",3,1,36,567713,1.6408920288085938,0.08251690864562988,1.7234089374542236,18.58 MMac
57,"['rp', 'rerp', 'regas', 'gad', 'regad', 'trgad', 'remk', 'trmk']",2,1,28,85647,0.7575392723083496,0.060858726501464844,0.8183979988098145,8.39 MMac
58,"['trgas', 'gad', 'remk', 'ctwav']",2,1,93,845884,1.611161231994629,0.09124135971069336,1.7024025917053223,65.96 MMac
59,"['trrp', 'regas', 'trgas', 'regad', 'trmk']",2,1,20,43357,0.85601806640625,0.07730746269226074,0.9333255290985107,4.14 MMac
60,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'trgad', 'mk']",2,1,16,30302,0.7370471954345703,0.08916592597961426,0.8262131214141846,3.28 MMac
61,"['rerp', 'gas', 'regas', 'gad', 'mk', 'remk']",2,1,25,72093,0.8443474769592285,0.08160924911499023,0.9259567260742188,6.78 MMac
62,"['rp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,87,768836,1.4429569244384766,0.09827589988708496,1.5412328243255615,64.76 MMac
63,"['rp', 'trgas', 'mk', 'trmk', 'ctwav']",3,2,21,347810,1.4361262321472168,0.1703333854675293,1.606459617614746,10.93 MMac
64,"['rerp', 'trrp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'remk']",2,1,63,410034,0.6036281585693359,0.08810091018676758,0.6917290687561035,34.96 MMac
65,"['rp', 'trrp', 'gas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",3,1,42,768843,2.01566219329834,0.12106180191040039,2.1367239952087402,24.52 MMac
