,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1769776,81.47131204605103,0.04123878479003906,81.51255083084106,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645736,37.18867301940918,0.042012691497802734,37.23068571090698,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120228,36.335206031799316,0.039653778076171875,36.37485980987549,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,672930,32.254695892333984,0.030385971069335938,32.28508186340332,54.74 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863122,47.07679748535156,0.05580592155456543,47.13260340690613,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447141,23.052406311035156,0.04208660125732422,23.09449291229248,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139208,23.136281967163086,0.04357624053955078,23.179858207702637,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1678914,56.909966468811035,0.03996443748474121,56.949930906295776,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1442911,44.26581859588623,0.03299975395202637,44.29881834983826,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49242,14.19525146484375,0.03525996208190918,14.23051142692566,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,299983,16.126978397369385,0.04038858413696289,16.167366981506348,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266478,104.76232767105103,0.0573270320892334,104.81965470314026,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315666,51.152586936950684,0.036862850189208984,51.18944978713989,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589662,21.7923641204834,0.02711629867553711,21.819480419158936,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826490,46.290040016174316,0.04863166809082031,46.33867168426514,25.92 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144754,24.554193019866943,0.04632759094238281,24.600520610809326,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267477,9.535825252532959,0.021442413330078125,9.557267665863037,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568007,19.51310634613037,0.023379087448120117,19.53648543357849,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1305941,102.87094116210938,0.08960723876953125,102.9605484008789,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163072,10.357749462127686,0.025014638900756836,10.382764101028442,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792432,74.61874485015869,0.0678408145904541,74.68658566474915,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2059048,61.369407176971436,0.04254937171936035,61.411956548690796,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,136901,9.768843650817871,0.023552894592285156,9.792396545410156,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,233750,11.734426021575928,0.02868485450744629,11.763110876083374,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,464289,8.417987823486328,0.02728104591369629,8.445268869400024,39.87 MMac
