,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1771531,1894.629406929016,2.2864465713500977,1896.9158535003662,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,646791,1271.9878673553467,2.3781139850616455,1274.3659813404083,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1121283,1269.521713256836,1.4027338027954102,1270.9244470596313,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,673895,967.5019979476929,0.7376563549041748,968.239654302597,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,864777,1143.335509300232,1.302990436553955,1144.638499736786,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447806,630.6635499000549,1.232698678970337,631.8962485790253,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139573,637.4271988868713,1.3019578456878662,638.7291567325592,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1680209,1904.2411923408508,1.2583906650543213,1905.4995830059052,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1444946,1426.3232231140137,0.9678957462310791,1427.2911188602448,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49487,482.77885913848877,2.0637333393096924,484.84259247779846,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,300898,455.8680772781372,2.360835552215576,458.2289128303528,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2268163,2186.0915064811707,2.972180128097534,2189.063686609268,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1317021,1254.9660801887512,1.4654064178466797,1256.431486606598,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,590837,594.662618637085,1.1598563194274902,595.8224749565125,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,827685,1128.2043933868408,1.899099349975586,1130.1034927368164,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,145249,583.5681915283203,1.8943324089050293,585.4625239372253,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,268262,321.10536098480225,0.706958532333374,321.8123195171356,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,569152,691.0522699356079,0.7536828517913818,691.8059527873993,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1307296,2644.682013988495,2.855123281478882,2647.5371372699738,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163677,306.3825726509094,0.7305233478546143,307.11309599876404,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,793487,1722.1139192581177,2.398526906967163,1724.5124461650848,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2060943,1979.1183829307556,1.4569716453552246,1980.5753545761108,60.34 MMac
