,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1773988,124.5084285736084,0.3381824493408203,124.84661102294922,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,648268,73.28739166259766,0.347034215927124,73.63442587852478,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1122760,71.9552755355835,0.30591273307800293,72.2611882686615,89.58 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,675246,50.26111602783203,0.24615693092346191,50.50727295875549,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,867094,67.06020832061768,0.3100290298461914,67.37023735046387,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,448737,36.347246170043945,0.2957017421722412,36.64294791221619,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,140084,35.64838171005249,0.306563138961792,35.95494484901428,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1682022,101.34433507919312,0.30226778984069824,101.64660286903381,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1447795,75.05861520767212,0.23504352569580078,75.29365873336792,41.45 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49830,20.145797729492188,0.2933032512664795,20.439100980758667,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,302179,23.62757921218872,0.2505991458892822,23.878178358078003,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2270522,140.76493978500366,0.43758416175842285,141.20252394676208,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1318918,77.88326740264893,0.2503793239593506,78.13364672660828,105.02 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,592482,31.998133659362793,0.1786355972290039,32.1767692565918,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,829358,75.95925331115723,0.34580397605895996,76.30505728721619,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,145942,38.608670234680176,0.3404045104980469,38.94907474517822,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,269361,15.143263339996338,0.17156195640563965,15.314825296401978,22.18 MMac
