,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1770478,38.46842050552368,0.016966819763183594,38.485387325286865,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,646158,2.281928062438965,0.01503610610961914,2.296964168548584,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120650,2.211642265319824,0.013492345809936523,2.2251346111297607,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,673316,1.7012834548950195,0.011317014694213867,1.7126004695892334,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863784,2.319455146789551,0.013056755065917969,2.3325119018554688,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447407,1.2610673904418945,0.01146554946899414,1.2725329399108887,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139354,1.3723969459533691,0.011740922927856445,1.3841378688812256,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1679432,3.9417028427124023,0.013157367706298828,3.954860210418701,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1443725,2.886521816253662,0.011363029479980469,2.8978848457336426,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49340,0.9721755981445312,0.014886617660522461,0.9870622158050537,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,300349,0.9399771690368652,0.012032747268676758,0.952009916305542,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2267152,9.169936180114746,0.02613377571105957,9.196069955825806,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1316208,2.974426746368408,0.013843059539794922,2.988269805908203,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,590132,1.416015625,0.009752750396728516,1.4257683753967285,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826968,3.5761356353759766,0.020322799682617188,3.5964584350585938,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144952,2.13240385055542,0.01931619644165039,2.1517200469970703,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267791,0.7216215133666992,0.007794618606567383,0.7294161319732666,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568465,1.6274452209472656,0.01173090934753418,1.6391761302947998,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1306483,10.656559467315674,0.03716301918029785,10.693722486495972,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163314,0.723111629486084,0.010504961013793945,0.7336165904998779,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792854,7.938694953918457,0.038300275802612305,7.976995229721069,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2059806,7.543802261352539,0.026237010955810547,7.57003927230835,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137119,0.8875846862792969,0.014084339141845703,0.9016690254211426,12.76 MMac
