,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1773988,65.56094884872437,0.396956205368042,65.95790505409241,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,648268,21.78521156311035,0.4002807140350342,22.185492277145386,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1122760,23.019886016845703,0.34633374214172363,23.366219758987427,89.58 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,675246,17.807459831237793,0.27466654777526855,18.08212637901306,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,867094,23.11556339263916,0.3513309955596924,23.466894388198853,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,448737,12.592148780822754,0.3336811065673828,12.925829887390137,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,140084,12.320482730865479,0.3465847969055176,12.667067527770996,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1682022,36.45493984222412,0.33982276916503906,36.79476261138916,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1447795,25.69148540496826,0.25870728492736816,25.95019268989563,41.45 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49830,7.39140510559082,0.34212422370910645,7.733529329299927,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,302179,6.448662281036377,0.27532339096069336,6.72398567199707,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2270522,41.2186861038208,0.5167734622955322,41.73545956611633,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1318918,23.740732669830322,0.27882933616638184,24.019562005996704,105.02 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,592482,11.107039451599121,0.19017863273620605,11.297218084335327,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,829358,26.753640174865723,0.40369677543640137,27.157336950302124,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,145942,13.432705402374268,0.38364338874816895,13.816348791122437,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,269361,4.724681377410889,0.14823198318481445,4.872913360595703,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,570755,8.691596984863281,0.15546274185180664,8.847059726715088,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1309193,65.5918836593628,0.6065044403076172,66.19838809967041,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,164524,4.12907600402832,0.1464085578918457,4.275484561920166,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,794964,41.77870750427246,0.6455230712890625,42.42423057556152,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2063596,38.883841037750244,0.3921473026275635,39.27598834037781,60.35 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,138209,5.670022964477539,0.194122314453125,5.864145278930664,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,235490,5.158352851867676,0.19060230255126953,5.348955154418945,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,466749,5.468893051147461,0.22758793830871582,5.696480989456177,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2266740,52.07294225692749,0.5058538913726807,52.57879614830017,22.41 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,653369,10.106110572814941,0.18357586860656738,10.289686441421509,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1142914,27.243781089782715,0.39815807342529297,27.641939163208008,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,180749,8.389103412628174,0.2696561813354492,8.658759593963623,6.46 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,446918,8.311331272125244,0.2626948356628418,8.574026107788086,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1517054,22.563207149505615,0.35486888885498047,22.918076038360596,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1760126,22.411859035491943,0.25595903396606445,22.667818069458008,50.07 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,74924,7.428097724914551,0.3264477252960205,7.754545450210571,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,215060,9.021973609924316,0.35508203506469727,9.377055644989014,18.24 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2006184,30.92336654663086,0.34747862815856934,31.27084517478943,157.69 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,562410,17.98691749572754,0.298170804977417,18.285088300704956,46.9 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,115962,8.53646993637085,0.26108670234680176,8.797556638717651,4.04 MMac
37,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,306455,12.551736831665039,0.3448951244354248,12.896631956100464,25.59 MMac
38,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,45,1499498,41.27647876739502,0.3956723213195801,41.6721510887146,43.84 MMac
39,"['rerp', 'trrp']",3,2,23,411434,12.336993217468262,0.370164155960083,12.707157373428345,11.94 MMac
40,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,67,1080755,19.413447380065918,0.46042823791503906,19.873875617980957,89.81 MMac
41,"['rp', 'trrp', 'regas', 'regad', 'remk', 'ctwav']",3,2,32,733022,23.566532135009766,0.3991260528564453,23.96565818786621,22.38 MMac
42,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk']",2,3,94,2015396,35.8004093170166,0.3612520694732666,36.16166138648987,160.05 MMac
43,"['rp', 'gas', 'regas', 'gad', 'regad', 'mk', 'ctwav']",3,2,53,2066242,36.07381582260132,0.3993675708770752,36.473183393478394,61.02 MMac
44,"['rp', 'gad', 'trmk']",2,2,81,1085980,17.4285888671875,0.2570180892944336,17.685606956481934,84.74 MMac
