,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1786624,115.57034254074097,0.11529302597045898,115.68563556671143,52.72 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,655864,63.069701194763184,0.12372422218322754,63.19342541694641,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1130356,54.54726219177246,0.10964751243591309,54.656909704208374,89.58 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,682194,46.51153087615967,0.10063695907592773,46.612167835235596,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,879010,62.19196319580078,0.12475442886352539,62.31671762466431,9.82 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,453525,32.514357566833496,0.11584615707397461,32.63020372390747,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,142712,32.77468681335449,0.1214141845703125,32.896100997924805,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1691346,98.15225601196289,0.11978745460510254,98.272043466568,132.51 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1462447,71.29955291748047,0.10042142868041992,71.39997434616089,41.46 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,51594,17.490029335021973,0.10628199577331543,17.596311330795288,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,308767,22.102081775665283,0.10639095306396484,22.208472728729248,10.49 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2282654,129.1764736175537,0.15984153747558594,129.3363151550293,66.87 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1328674,71.43641710281372,0.0998983383178711,71.53631544113159,105.03 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,600942,29.320240020751953,0.07177948951721191,29.392019510269165,47.17 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,837962,65.37318229675293,0.13206958770751953,65.50525188446045,25.94 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,149506,31.25253915786743,0.12003898620605469,31.372578144073486,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,275013,13.697052001953125,0.06911087036132812,13.766162872314453,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,578999,29.63094711303711,0.07305169105529785,29.703998804092407,46.83 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1318949,152.90143489837646,0.20871853828430176,153.11015343666077,14.32 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,168880,13.756072521209717,0.06434392929077148,13.820416450500488,14.28 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,802560,94.30592060089111,0.16455602645874023,94.47047662734985,8.74 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2077240,89.87799882888794,0.11122298240661621,89.98922181129456,60.36 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,142133,13.474321365356445,0.06933736801147461,13.54365873336792,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,240710,13.432466983795166,0.07057404518127441,13.50304102897644,20.37 MMac
