,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1771531,64.54746723175049,0.03964042663574219,64.58710765838623,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,646791,19.19569969177246,0.044377803802490234,19.24007749557495,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1121283,15.769171714782715,0.039992570877075195,15.80916428565979,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,673895,10.785770416259766,0.030036211013793945,10.81580662727356,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,864777,21.74084186553955,0.04030275344848633,21.781144618988037,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447806,10.224378108978271,0.036238670349121094,10.260616779327393,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139573,9.322535991668701,0.03457307815551758,9.357109069824219,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1680209,31.51381015777588,0.032097578048706055,31.545907735824585,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1444946,20.101404190063477,0.025982379913330078,20.127386569976807,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49487,7.229137420654297,0.03548383712768555,7.264621257781982,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,300898,7.507085800170898,0.02778792381286621,7.534873723983765,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2268163,46.12301588058472,0.05356621742248535,46.1765820980072,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1317021,22.6834774017334,0.029502391815185547,22.712979793548584,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,590837,10.644149780273438,0.02101421356201172,10.66516399383545,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,827685,24.161148071289062,0.044452667236328125,24.20560073852539,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,145249,11.878359317779541,0.04259204864501953,11.92095136642456,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,268262,4.7920942306518555,0.018327713012695312,4.810421943664551,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,569152,9.563088417053223,0.019354581832885742,9.582442998886108,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1307296,61.74377202987671,0.07454252243041992,61.81831455230713,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163677,5.581176280975342,0.023780107498168945,5.604956388473511,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,793487,43.15502643585205,0.07190108299255371,43.226927518844604,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2060943,37.593019008636475,0.046405792236328125,37.6394248008728,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137446,6.160986423492432,0.030554771423339844,6.1915411949157715,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,234475,4.3549299240112305,0.023540019989013672,4.378469944000244,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,465314,5.181241035461426,0.0367588996887207,5.2179999351501465,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2263793,43.333590030670166,0.051160335540771484,43.38475036621094,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,651640,10.604047775268555,0.02681112289428711,10.630858898162842,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1140947,27.562928199768066,0.04494738578796387,27.60787558555603,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179762,7.676875591278076,0.02966785430908203,7.706543445587158,6.46 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,445343,7.408130168914795,0.025143146514892578,7.4332733154296875,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1515031,20.717275142669678,0.03499579429626465,20.752270936965942,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1756983,15.581202507019043,0.025098085403442383,15.606300592422485,50.07 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,74497,8.172202110290527,0.03565359115600586,8.207855701446533,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,214423,10.960793495178223,0.039461612701416016,11.000255107879639,18.24 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2004203,32.36045837402344,0.03741097450256348,32.397869348526,157.69 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,561185,14.852404594421387,0.03720402717590332,14.88960862159729,46.9 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,115171,8.73042345046997,0.0343928337097168,8.764816284179688,4.04 MMac
37,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,305692,12.496554851531982,0.0457768440246582,12.54233169555664,25.58 MMac
38,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,45,1497237,33.4376335144043,0.044550180435180664,33.48218369483948,43.83 MMac
39,"['rerp', 'trrp']",3,2,23,410251,8.646214008331299,0.038228750228881836,8.68444275856018,11.93 MMac
40,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,67,1079320,20.656657218933105,0.04111671447753906,20.697773933410645,89.81 MMac
41,"['rp', 'trrp', 'regas', 'regad', 'remk', 'ctwav']",3,2,32,731447,20.03042697906494,0.038654327392578125,20.06908130645752,22.38 MMac
42,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk']",2,3,94,2013415,28.73629331588745,0.03786015510559082,28.774153470993042,160.05 MMac
43,"['rp', 'gas', 'regas', 'gad', 'regad', 'mk', 'ctwav']",3,2,53,2063589,30.403339862823486,0.04005718231201172,30.443397045135498,61.02 MMac
44,"['rp', 'gad', 'trmk']",2,2,81,1084251,13.273477554321289,0.02570343017578125,13.29918098449707,84.74 MMac
45,"['rerp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",3,3,19,402432,15.119445323944092,0.053389549255371094,15.172834873199463,12.9 MMac
46,"['rp', 'trrp', 'gad', 'regad', 'trgad', 'mk', 'trmk']",2,3,48,538387,20.696425437927246,0.04108858108520508,20.73751401901245,44.57 MMac
47,"['rp', 'gas', 'regad', 'trgad', 'remk', 'trmk']",4,1,27,1393812,26.797735691070557,0.0384981632232666,26.836233854293823,14.79 MMac
48,"['rerp', 'trrp', 'regas', 'trgas', 'gad', 'mk', 'ctwav']",2,3,68,1065992,20.68464756011963,0.039803266525268555,20.724450826644897,86.4 MMac
49,"['rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trmk']",4,1,14,353979,9.427011013031006,0.037129878997802734,9.464140892028809,4.47 MMac
50,"['rerp', 'trgas', 'regad', 'mk', 'remk', 'trmk']",2,2,35,219805,7.813453674316406,0.02893805503845215,7.842391729354858,18.72 MMac
51,"['rp', 'rerp', 'regad', 'mk', 'ctwav']",3,1,44,837844,11.8560791015625,0.024250507354736328,11.880329608917236,25.03 MMac
52,"['regas', 'trgas', 'trgad', 'mk', 'trmk']",2,2,66,712311,11.836886405944824,0.026531457901000977,11.863417863845825,57.21 MMac
