,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1769776,848.1143116950989,0.3491332530975342,848.4634449481964,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645736,591.9538021087646,0.3904397487640381,592.3442418575287,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120228,559.067177772522,0.3111090660095215,559.3782868385315,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,672930,381.93039894104004,0.2851407527923584,382.2155396938324,54.74 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863122,478.25517654418945,0.3292732238769531,478.5844497680664,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447141,270.5824136734009,0.33138060569763184,270.9137942790985,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139208,274.0999102592468,0.34281420707702637,274.44272446632385,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1678914,840.4240965843201,0.26753902435302734,840.6916356086731,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1442911,592.29576587677,0.23839831352233887,592.5341641902924,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49242,204.97742891311646,0.24361896514892578,205.22104787826538,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,299983,188.28424215316772,0.2675323486328125,188.55177450180054,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266478,953.2393097877502,0.44281530380249023,953.6821250915527,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315666,561.911129951477,0.2650315761566162,562.1761615276337,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589662,223.75612258911133,0.18129944801330566,223.93742203712463,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826490,504.931640625,0.40600085258483887,505.33764147758484,25.92 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144754,261.24457120895386,0.36139988899230957,261.60597109794617,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267477,111.39582395553589,0.14707374572753906,111.54289770126343,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568007,266.09816551208496,0.20200467109680176,266.30017018318176,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1305941,1231.3388586044312,0.6670835018157959,1232.005942106247,14.31 MMac
