,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1769776,45.19221782684326,0.035294532775878906,45.22751235961914,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645736,5.316567420959473,0.036423683166503906,5.352991104125977,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120228,5.667853355407715,0.028075218200683594,5.695928573608398,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,672930,4.280495643615723,0.022271156311035156,4.302766799926758,54.74 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863122,5.725574493408203,0.029238462448120117,5.754812955856323,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447141,2.8931021690368652,0.03154635429382324,2.9246485233306885,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139208,3.0263423919677734,0.029263973236083984,3.0556063652038574,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1678914,10.244894027709961,0.028319358825683594,10.273213386535645,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1442911,6.0875773429870605,0.02172684669494629,6.109304189682007,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49242,2.8464913368225098,0.027446746826171875,2.8739380836486816,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,299983,2.5694847106933594,0.02350783348083496,2.5929925441741943,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266478,14.855575561523438,0.041008949279785156,14.896584510803223,66.86 MMac
