,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1769776,86.36369705200195,0.036422014236450195,86.4001190662384,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645736,13.036632537841797,0.028859615325927734,13.065492153167725,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120228,13.890671730041504,0.025285005569458008,13.915956735610962,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,672930,9.892702102661133,0.01775836944580078,9.910460472106934,54.74 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863122,14.195036888122559,0.026384830474853516,14.221421718597412,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447141,7.633674144744873,0.025708913803100586,7.659383058547974,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139208,7.576167583465576,0.025139808654785156,7.601307392120361,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1678914,20.74105739593506,0.024994373321533203,20.766051769256592,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1442911,15.633988380432129,0.019980669021606445,15.653969049453735,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49242,4.896748065948486,0.02405381202697754,4.920801877975464,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,299983,4.290926456451416,0.02072453498840332,4.311650991439819,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266478,26.57829523086548,0.036276817321777344,26.614572048187256,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315666,13.227403163909912,0.020406007766723633,13.247809171676636,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589662,6.890416145324707,0.014318704605102539,6.90473484992981,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826490,16.014432907104492,0.03188276290893555,16.046315670013428,25.92 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144754,5.839169025421143,0.019665002822875977,5.8588340282440186,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267477,3.041660785675049,0.010557174682617188,3.052217960357666,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568007,8.00771713256836,0.014576911926269531,8.022294044494629,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1305941,45.09247541427612,0.05224204063415527,45.14471745491028,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163072,3.42942476272583,0.013336896896362305,3.4427616596221924,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792432,26.897549629211426,0.04400134086608887,26.941550970077515,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2059048,24.531662464141846,0.028493642807006836,24.560156106948853,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,136901,3.659820556640625,0.01475977897644043,3.6745803356170654,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,233750,3.4031271934509277,0.013944625854492188,3.41707181930542,20.36 MMac
