,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1769776,247.54754304885864,0.11853861808776855,247.6660816669464,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645736,159.48452949523926,0.10403180122375488,159.588561296463,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120228,142.30408668518066,0.10421276092529297,142.40829944610596,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,672930,110.13171672821045,0.08892655372619629,110.22064328193665,54.74 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863122,128.3517360687256,0.11189723014831543,128.4636332988739,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447141,74.00221824645996,0.10079550743103027,74.10301375389099,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139208,74.21654462814331,0.10284137725830078,74.31938600540161,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1678914,201.68884992599487,0.09009408950805664,201.77894401550293,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1442911,152.36377716064453,0.08491802215576172,152.4486951828003,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49242,47.020137310028076,0.08413887023925781,47.104276180267334,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,299983,53.62207889556885,0.08858680725097656,53.710665702819824,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266478,274.81802701950073,0.13100695610046387,274.9490339756012,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315666,165.32764434814453,0.08655810356140137,165.41420245170593,105.01 MMac
