,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1769776,47.506821155548096,0.014202594757080078,47.521023750305176,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645736,5.315613746643066,0.013111591339111328,5.328725337982178,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120228,5.222868919372559,0.011264562606811523,5.23413348197937,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,672930,4.363656044006348,0.00905609130859375,4.372712135314941,54.74 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863122,6.226134300231934,0.011482477188110352,6.237616777420044,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447141,3.509509563446045,0.01096034049987793,3.520469903945923,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139208,3.624880313873291,0.011476755142211914,3.636357069015503,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1678914,8.97982120513916,0.011188507080078125,8.991009712219238,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1442911,7.1952223777771,0.008826732635498047,7.204049110412598,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49242,2.6204586029052734,0.012908458709716797,2.6333670616149902,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,299983,2.4549484252929688,0.011080265045166016,2.4660286903381348,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266478,17.047977447509766,0.018947839736938477,17.066925287246704,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315666,7.737672328948975,0.010740280151367188,7.748412609100342,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589662,3.161954879760742,0.007668495178222656,3.169623374938965,47.16 MMac
