,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1771531,65.59227705001831,0.13107872009277344,65.72335577011108,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,646791,12.765789031982422,0.12024354934692383,12.886032581329346,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1121283,13.054776191711426,0.10192251205444336,13.15669870376587,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,673895,10.633492469787598,0.07836055755615234,10.71185302734375,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,864777,14.78259563446045,0.10481548309326172,14.887411117553711,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447806,7.4247002601623535,0.0989224910736084,7.523622751235962,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139573,7.609152793884277,0.10414958000183105,7.713302373886108,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1680209,22.4611759185791,0.1015310287475586,22.56270694732666,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1444946,12.941551208496094,0.07872748374938965,13.020278692245483,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49487,5.338478088378906,0.09997773170471191,5.438455820083618,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,300898,5.229794979095459,0.0803537368774414,5.3101487159729,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2268163,27.745378017425537,0.1615903377532959,27.906968355178833,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1317021,14.538323879241943,0.08025693893432617,14.61858081817627,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,590837,6.282806396484375,0.05862998962402344,6.341436386108398,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,827685,16.594433784484863,0.11824369430541992,16.712677478790283,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,145249,8.192026615142822,0.11438632011413574,8.306412935256958,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,268262,3.5908937454223633,0.058751821517944336,3.6496455669403076,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,569152,5.112671852111816,0.05847620964050293,5.171148061752319,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1307296,35.228097438812256,0.23235130310058594,35.46044874191284,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163677,218.25355291366577,0.056787729263305664,218.31034064292908,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,793487,27.881693840026855,0.23472237586975098,28.116416215896606,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2060943,19.74477767944336,0.14231324195861816,19.887090921401978,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137446,2.7977585792541504,0.05949878692626953,2.85725736618042,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,234475,2.533078193664551,0.06061744689941406,2.593695640563965,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,465314,2.76639461517334,0.06746172904968262,2.8338563442230225,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2263793,30.507731437683105,0.16779327392578125,30.675524711608887,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,651640,6.421756744384766,0.08412575721740723,6.505882501602173,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1140947,17.15836524963379,0.17210674285888672,17.330471992492676,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179762,5.601894855499268,0.11775994300842285,5.71965479850769,6.46 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,445343,4.874324798583984,0.08392000198364258,4.958244800567627,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1515031,14.987754821777344,0.10331392288208008,15.091068744659424,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1756983,13.23155164718628,0.07923412322998047,13.31078577041626,50.07 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,74497,4.368293285369873,0.08943700790405273,4.457730293273926,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,214423,6.436264514923096,0.09976601600646973,6.536030530929565,18.24 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2004203,22.050511837005615,0.11379814147949219,22.164309978485107,157.69 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,561185,10.85207462310791,0.08349061012268066,10.93556523323059,46.9 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,115171,5.021512508392334,0.07396292686462402,5.095475435256958,4.04 MMac
37,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,305692,7.152795791625977,0.09864377975463867,7.251439571380615,25.58 MMac
