,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1769776,48.72994422912598,0.15183591842651367,48.88178014755249,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645736,6.726312637329102,0.1391925811767578,6.865505218505859,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120228,7.61873722076416,0.13187599182128906,7.750613212585449,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,672930,6.445574760437012,0.15117311477661133,6.596747875213623,54.74 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863122,10.451841354370117,0.19644880294799805,10.648290157318115,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447141,5.424046516418457,0.1940450668334961,5.618091583251953,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139208,5.942630767822266,0.21696209907531738,6.159592866897583,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1678914,16.630804538726807,0.21082592010498047,16.841630458831787,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1442911,7.880258560180664,0.1351029872894287,8.015361547470093,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49242,3.9520859718322754,0.17942190170288086,4.131507873535156,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,299983,4.106998443603516,0.15092730522155762,4.257925748825073,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266478,26.40141248703003,0.2765672206878662,26.677979707717896,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315666,12.591612339019775,0.16627001762390137,12.757882356643677,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589662,4.9605607986450195,0.10778665542602539,5.068347454071045,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826490,12.269043922424316,0.20746755599975586,12.476511478424072,25.92 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144754,5.760645866394043,0.19852209091186523,5.959167957305908,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267477,2.560734748840332,0.10402345657348633,2.6647582054138184,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568007,4.569816589355469,0.132094144821167,4.701910734176636,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1305941,32.80777931213379,0.4480860233306885,33.25586533546448,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163072,2.6092529296875,0.10623049736022949,2.7154834270477295,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792432,20.21050453186035,0.42011165618896484,20.630616188049316,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2059048,14.598226547241211,0.1439676284790039,14.742194175720215,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,136901,2.4861693382263184,0.10590386390686035,2.5920732021331787,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,233750,2.0245909690856934,0.1073906421661377,2.131981611251831,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,464289,2.1030068397521973,0.12871789932250977,2.231724739074707,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2261688,22.296667098999023,0.3229529857635498,22.619620084762573,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,650405,4.533839225769043,0.1087334156036377,4.642572641372681,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1139542,10.465288162231445,0.30031442642211914,10.765602588653564,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179057,4.171717166900635,0.1644127368927002,4.336129903793335,6.45 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,444218,4.423260688781738,0.1708052158355713,4.59406590461731,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1513586,16.031384468078613,0.32567477226257324,16.357059240341187,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1754738,10.621798038482666,0.14759325981140137,10.769391298294067,50.07 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,74192,5.485212802886963,0.32713937759399414,5.812352180480957,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,213968,6.084918975830078,0.22265100479125977,6.307569980621338,18.24 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2002788,14.836585521697998,0.17982912063598633,15.016414642333984,157.69 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,560310,9.271383285522461,0.1465163230895996,9.41789960861206,46.9 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,114606,4.087090492248535,0.16817545890808105,4.255265951156616,4.04 MMac
37,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,305147,5.156195163726807,0.1719493865966797,5.328144550323486,25.58 MMac
