,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1770127,101.7501711845398,0.09726476669311523,101.84743595123291,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645947,47.470808029174805,0.10503768920898438,47.57584571838379,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120439,44.90053653717041,0.09115481376647949,44.99169135093689,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,673123,35.6539249420166,0.0712583065032959,35.7251832485199,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863453,45.75188159942627,0.11060762405395508,45.862489223480225,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447274,27.342891693115234,0.09895658493041992,27.441848278045654,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139281,26.900172233581543,0.09760022163391113,26.997772455215454,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1679173,70.46538591384888,0.08267569541931152,70.54806160926819,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1443318,49.27332401275635,0.06969213485717773,49.343016147613525,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49291,13.882243633270264,0.07309365272521973,13.955337285995483,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,300166,10.377013683319092,0.05525708198547363,10.432270765304565,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266815,81.24532699584961,0.11288690567016602,81.35821390151978,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315937,51.96171998977661,0.07231259346008301,52.034032583236694,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589897,22.783303260803223,0.05635833740234375,22.839661598205566,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826729,50.296854972839355,0.09214520454406738,50.38900017738342,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144853,25.6913423538208,0.09386467933654785,25.78520703315735,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267634,10.60401201248169,0.047429800033569336,10.651441812515259,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568236,22.13754653930664,0.05140066146850586,22.188947200775146,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1306212,127.24882364273071,0.16005969047546387,127.40888333320618,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163193,9.463894367218018,0.04779839515686035,9.511692762374878,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792643,77.78608798980713,0.13282179832458496,77.91890978813171,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2059427,77.96180248260498,0.1072990894317627,78.06910157203674,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137010,12.424623966217041,0.05822300910949707,12.482846975326538,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,233895,9.54279899597168,0.048055410385131836,9.590854406356812,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,464494,9.293830394744873,0.05936908721923828,9.353199481964111,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2262109,96.5656042098999,0.13292551040649414,96.6985297203064,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,650652,24.017906188964844,0.05829620361328125,24.076202392578125,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1139823,59.13233757019043,0.10218167304992676,59.234519243240356,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179198,16.144001483917236,0.06836080551147461,16.21236228942871,6.45 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,444443,16.257691383361816,0.06976056098937988,16.327451944351196,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1513875,65.94464778900146,0.09726738929748535,66.04191517829895,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1755187,53.564536571502686,0.07803773880004883,53.642574310302734,50.07 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,74253,12.944245338439941,0.08592629432678223,13.030171632766724,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,214059,22.32990264892578,0.08553504943847656,22.415437698364258,18.24 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2003071,78.59748601913452,0.09502410888671875,78.69251012802124,157.69 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,560485,32.813191413879395,0.07178354263305664,32.88497495651245,46.9 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,114719,15.799832344055176,0.06825828552246094,15.868090629577637,4.04 MMac
37,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,305256,22.519242763519287,0.0843815803527832,22.60362434387207,25.58 MMac
38,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,45,1495945,86.52452230453491,0.1065680980682373,86.63109040260315,43.83 MMac
39,"['rerp', 'trrp']",3,2,23,409575,26.388204097747803,0.08997106552124023,26.478175163269043,11.93 MMac
40,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,67,1078500,41.307616233825684,0.09375953674316406,41.40137577056885,89.81 MMac
41,"['rp', 'trrp', 'regas', 'regad', 'remk', 'ctwav']",3,2,32,730547,44.37360763549805,0.09094572067260742,44.464553356170654,22.38 MMac
42,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk']",2,3,94,2012283,73.5252857208252,0.09254336357116699,73.61782908439636,160.05 MMac
43,"['rp', 'gas', 'regas', 'gad', 'regad', 'mk', 'ctwav']",3,2,53,2062073,80.08235692977905,0.0972132682800293,80.17957019805908,61.02 MMac
44,"['rp', 'gad', 'trmk']",2,2,81,1083263,26.598262786865234,0.07409524917602539,26.67235803604126,84.74 MMac
45,"['rerp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",3,3,19,401868,33.15398693084717,0.11552834510803223,33.2695152759552,12.9 MMac
46,"['rp', 'trrp', 'gad', 'regad', 'trgad', 'mk', 'trmk']",2,3,48,537807,42.266106605529785,0.08297443389892578,42.34908103942871,44.57 MMac
47,"['rp', 'gas', 'regad', 'trgad', 'remk', 'trmk']",4,1,27,1392128,68.97107362747192,0.08703303337097168,69.0581066608429,14.79 MMac
48,"['rerp', 'trrp', 'regas', 'trgas', 'gad', 'mk', 'ctwav']",2,3,68,1065172,43.46024990081787,0.08314108848571777,43.54339098930359,86.39 MMac
49,"['rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trmk']",4,1,14,353135,22.023367881774902,0.08641266822814941,22.10978055000305,4.47 MMac
