,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1771882,42.17480421066284,0.3153705596923828,42.490174770355225,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,647002,4.8419952392578125,0.31352782249450684,5.155523061752319,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1121494,5.000090599060059,0.284456729888916,5.284547328948975,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,674088,3.2007694244384766,0.3065462112426758,3.5073156356811523,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,865108,6.070804595947266,0.39435720443725586,6.4651618003845215,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447939,3.787660598754883,0.3733835220336914,4.161044120788574,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139646,3.2085061073303223,0.26456379890441895,3.473069906234741,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1680468,8.60964059829712,0.32305335998535156,8.93269395828247,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1445353,7.678806781768799,0.2902843952178955,7.969091176986694,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49536,2.2255897521972656,0.39589476585388184,2.6214845180511475,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,301081,1.977705955505371,0.31519603729248047,2.2929019927978516,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2268500,13.161349296569824,0.5764217376708984,13.737771034240723,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1317292,6.60935640335083,0.30755043029785156,6.916906833648682,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,591072,2.8913259506225586,0.20725178718566895,3.0985777378082275,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,827924,5.989503860473633,0.307004451751709,6.296508312225342,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,145348,2.5240063667297363,0.29575300216674805,2.8197593688964844,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,268419,1.2868285179138184,0.144089937210083,1.4309184551239014,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,569381,2.90071964263916,0.21999263763427734,3.1207122802734375,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1307567,17.758262157440186,0.8414337635040283,18.599695920944214,14.31 MMac
