,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1770127,46.912479400634766,0.014243841171264648,46.92672324180603,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645947,5.421257019042969,0.013040542602539062,5.434297561645508,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120439,4.655575752258301,0.008076906204223633,4.663652658462524,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,673123,3.964352607727051,0.006194114685058594,3.9705467224121094,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863453,5.559086799621582,0.008033275604248047,5.56712007522583,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447274,3.0611038208007812,0.007433176040649414,3.0685369968414307,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139281,3.1653285026550293,0.007942914962768555,3.173271417617798,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1679173,6.982111930847168,0.008726835250854492,6.9908387660980225,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1443318,6.702947616577148,0.005967617034912109,6.7089152336120605,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49291,1.815938949584961,0.009393692016601562,1.8253326416015625,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,300166,2.493607997894287,0.006687641143798828,2.500295639038086,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266815,10.649335384368896,0.011449813842773438,10.66078519821167,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315937,4.820001125335693,0.007390022277832031,4.827391147613525,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589897,2.3328065872192383,0.005408763885498047,2.3382153511047363,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826729,6.141042709350586,0.010932207107543945,6.15197491645813,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144853,3.660154342651367,0.009879827499389648,3.670034170150757,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267634,1.4956116676330566,0.005526065826416016,1.5011377334594727,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568236,2.829146385192871,0.005283355712890625,2.8344297409057617,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1306212,17.10340976715088,0.020532608032226562,17.123942375183105,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163193,1.529538631439209,0.0069162845611572266,1.5364549160003662,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792643,14.347219467163086,0.02186870574951172,14.369088172912598,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2059427,12.721002101898193,0.014539718627929688,12.735541820526123,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137010,1.916801929473877,0.008010387420654297,1.9248123168945312,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,233895,1.2882471084594727,0.007646322250366211,1.2958934307098389,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,464494,2.049422264099121,0.009412527084350586,2.0588347911834717,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2262109,17.496585845947266,0.026877641677856445,17.523463487625122,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,650652,2.7425765991210938,0.0066564083099365234,2.7492330074310303,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1139823,6.510329246520996,0.014356851577758789,6.524686098098755,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179198,2.775120735168457,0.010346174240112305,2.7854669094085693,6.45 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,444443,2.6213526725769043,0.00940561294555664,2.630758285522461,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1513875,7.177519798278809,0.013248443603515625,7.190768241882324,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1755187,5.207204818725586,0.005988359451293945,5.21319317817688,50.07 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,74253,1.7666101455688477,0.010261774063110352,1.776871919631958,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,214059,3.0032753944396973,0.009333372116088867,3.012608766555786,18.24 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2003071,10.203909873962402,0.01125645637512207,10.215166330337524,157.69 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,560485,3.1596899032592773,0.00889897346496582,3.168588876724243,46.9 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,114719,2.4376749992370605,0.00821375846862793,2.4458887577056885,4.04 MMac
37,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,305256,2.8397321701049805,0.010541915893554688,2.850274085998535,25.58 MMac
38,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,45,1495945,11.43958568572998,0.014275312423706055,11.453860998153687,43.83 MMac
39,"['rerp', 'trrp']",3,2,23,409575,3.7090420722961426,0.013579845428466797,3.7226219177246094,11.93 MMac
40,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,67,1078500,7.083034515380859,0.01647162437438965,7.099506139755249,89.81 MMac
41,"['rp', 'trrp', 'regas', 'regad', 'remk', 'ctwav']",3,2,32,730547,7.808732986450195,0.013511896133422852,7.822244882583618,22.38 MMac
42,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk']",2,3,94,2012283,6.297934055328369,0.010128259658813477,6.308062314987183,160.05 MMac
43,"['rp', 'gas', 'regas', 'gad', 'regad', 'mk', 'ctwav']",3,2,53,2062073,8.631527423858643,0.010004281997680664,8.641531705856323,61.02 MMac
44,"['rp', 'gad', 'trmk']",2,2,81,1083263,3.940439224243164,0.008300304412841797,3.948739528656006,84.74 MMac
45,"['rerp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",3,3,19,401868,5.230295658111572,0.016000032424926758,5.246295690536499,12.9 MMac
46,"['rp', 'trrp', 'gad', 'regad', 'trgad', 'mk', 'trmk']",2,3,48,537807,6.804633140563965,0.011475563049316406,6.816108703613281,44.57 MMac
47,"['rp', 'gas', 'regad', 'trgad', 'remk', 'trmk']",4,1,27,1392128,8.955395221710205,0.011167287826538086,8.966562509536743,14.79 MMac
48,"['rerp', 'trrp', 'regas', 'trgas', 'gad', 'mk', 'ctwav']",2,3,68,1065172,6.234002113342285,0.011365413665771484,6.245367527008057,86.39 MMac
49,"['rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trmk']",4,1,14,353135,2.8354644775390625,0.011034488677978516,2.846498966217041,4.47 MMac
50,"['rerp', 'trgas', 'regad', 'mk', 'remk', 'trmk']",2,2,35,219369,2.5707244873046875,0.008759498596191406,2.579483985900879,18.72 MMac
51,"['rp', 'rerp', 'regad', 'mk', 'ctwav']",3,1,44,836608,4.439711570739746,0.00836801528930664,4.448079586029053,25.03 MMac
52,"['regas', 'trgas', 'trgad', 'mk', 'trmk']",2,2,66,711515,4.271697998046875,0.008673667907714844,4.28037166595459,57.21 MMac
53,"['rp', 'rerp', 'trrp', 'gas', 'gad', 'regad', 'remk', 'ctwav']",3,3,22,485635,5.331134796142578,0.016483306884765625,5.347618103027344,15.64 MMac
54,"['gas', 'trgas', 'regad', 'trgad', 'ctwav']",3,2,15,186315,3.6718368530273438,0.012219667434692383,3.684056520462036,6.13 MMac
55,"['rp', 'rerp', 'trrp', 'regas', 'gad', 'mk', 'remk', 'trmk']",2,1,59,362268,1.3538241386413574,0.006597042083740234,1.3604211807250977,31.13 MMac
56,"['trrp', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",3,1,36,567966,4.3167829513549805,0.009068012237548828,4.325850963592529,18.58 MMac
57,"['rp', 'rerp', 'regas', 'gad', 'regad', 'trgad', 'remk', 'trmk']",2,1,28,85732,1.81807279586792,0.0065844058990478516,1.8246572017669678,8.39 MMac
58,"['trgas', 'gad', 'remk', 'ctwav']",2,1,93,846167,2.5200605392456055,0.0060596466064453125,2.526120185852051,65.96 MMac
59,"['trrp', 'regas', 'trgas', 'regad', 'trmk']",2,1,20,43418,1.6631245613098145,0.005875825881958008,1.6690003871917725,4.14 MMac
60,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'trgad', 'mk']",2,1,16,30351,1.3328194618225098,0.006584882736206055,1.3394043445587158,3.28 MMac
61,"['rerp', 'gas', 'regas', 'gad', 'mk', 'remk']",2,1,25,72172,1.7984271049499512,0.0065000057220458984,1.804927110671997,6.78 MMac
62,"['rp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,87,769101,3.2588720321655273,0.00843358039855957,3.267305612564087,64.76 MMac
63,"['rp', 'trgas', 'mk', 'trmk', 'ctwav']",3,2,21,347965,3.984200954437256,0.012270689010620117,3.996471643447876,10.93 MMac
64,"['rerp', 'trrp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'remk']",2,1,63,410227,1.4553546905517578,0.006745338439941406,1.4621000289916992,34.96 MMac
65,"['rp', 'trrp', 'gas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",3,1,42,769138,5.217766761779785,0.009190797805786133,5.226957559585571,24.52 MMac
66,"['rerp', 'gas', 'trgad', 'trmk', 'ctwav']",3,1,51,1164686,4.389858245849609,0.008594274520874023,4.398452520370483,34.28 MMac
67,"['rp', 'gas', 'regas', 'trgas', 'regad']",2,2,71,844743,5.2376508712768555,0.008628606796264648,5.24627947807312,67.58 MMac
68,"['rerp', 'trrp', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",3,3,29,894789,10.931968688964844,0.01647353172302246,10.948442220687866,27.74 MMac
69,"['rp', 'rerp', 'trrp', 'trgas', 'gad', 'trgad', 'mk']",4,1,17,580246,6.385159492492676,0.011266469955444336,6.39642596244812,6.89 MMac
70,"['rp', 'rerp', 'gas', 'trgas', 'trgad', 'remk']",2,2,38,243411,2.7014613151550293,0.008903741836547852,2.710365056991577,20.67 MMac
71,"['trrp', 'gas', 'gad']",2,3,52,618816,6.828951835632324,0.01054072380065918,6.839492559432983,49.23 MMac
72,"['mk', 'remk']",4,1,31,1809115,10.600018501281738,0.010596990585327148,10.610615491867065,17.33 MMac
73,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,3,75,1340966,10.626554489135742,0.014826536178588867,10.641381025314331,110.77 MMac
74,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'remk', 'trmk', 'ctwav']",3,1,33,507580,3.7668704986572266,0.009178876876831055,3.7760493755340576,16.78 MMac
75,"['gas', 'gad', 'regad', 'trgad', 'mk']",2,2,77,988769,4.751133918762207,0.010318756103515625,4.761452674865723,78.82 MMac
76,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,3,12,39294,3.8136839866638184,0.013843059539794922,3.8275270462036133,4.05 MMac
77,"['trrp', 'gas', 'regas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",3,2,26,487437,3.8822531700134277,0.013007879257202148,3.89526104927063,15.87 MMac
78,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'regad', 'mk', 'remk']",2,3,91,1938006,11.580634117126465,0.011746406555175781,11.59238052368164,155.8 MMac
79,"['regas', 'gad', 'trgad', 'trmk', 'ctwav']",3,2,47,1627995,9.94352102279663,0.012218713760375977,9.955739736557007,47.56 MMac
80,"['gas', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,93,2016889,7.663965225219727,0.011524200439453125,7.67548942565918,161.23 MMac
81,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad']",3,2,49,1767677,12.891769409179688,0.0127105712890625,12.90447998046875,52.07 MMac
82,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'mk', 'remk']",3,2,27,562649,8.007955551147461,0.012613534927368164,8.020569086074829,17.81 MMac
83,"['trrp', 'gas', 'regas', 'gad', 'trgad', 'mk']",3,3,21,483479,5.669701099395752,0.01637887954711914,5.686079978942871,15.09 MMac
84,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'mk', 'trmk', 'ctwav']",2,2,86,1219955,6.344318389892578,0.011745214462280273,6.356063604354858,100.54 MMac
85,"['rp', 'rerp', 'trrp', 'trgas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",4,1,22,865609,5.414986610412598,0.013944149017333984,5.428930759429932,10.36 MMac
86,"['gas', 'regas', 'gad', 'regad']",2,2,66,708281,4.154109954833984,0.01106715202331543,4.1651771068573,56.38 MMac
87,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'trgad', 'trmk', 'ctwav']",2,3,43,455898,2.856314182281494,0.011652231216430664,2.867966413497925,38.39 MMac
88,"['trrp', 'gas', 'remk', 'trmk', 'ctwav']",2,3,37,337071,2.8821587562561035,0.011177778244018555,2.893336534500122,27.83 MMac
89,"['gad', 'mk', 'trmk', 'ctwav']",4,2,15,743899,8.242559432983398,0.01561737060546875,8.258176803588867,7.78 MMac
90,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,68,764833,4.213905334472656,0.00947880744934082,4.223384141921997,63.13 MMac
91,"['rp', 'trgas', 'gad', 'mk', 'remk']",3,3,26,670886,8.350563049316406,0.016085147857666016,8.366648197174072,20.29 MMac
92,"['rp', 'trrp', 'gas', 'trgas']",3,1,48,991527,3.8394927978515625,0.008480310440063477,3.847973108291626,28.87 MMac
93,"['rerp', 'gas', 'gad', 'trgad', 'remk']",3,2,35,920325,6.0703277587890625,0.012226343154907227,6.08255410194397,27.46 MMac
94,"['rerp', 'trrp', 'trgad', 'mk']",3,3,14,197769,4.027211666107178,0.015309572219848633,4.042521238327026,6.26 MMac
95,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'remk', 'trmk', 'ctwav']",2,1,55,320029,1.5694379806518555,0.00832819938659668,1.5777661800384521,28.23 MMac
96,"['rerp', 'trrp', 'gas', 'gad', 'regad', 'mk', 'remk']",2,1,94,859985,2.6340484619140625,0.006720066070556641,2.640768527984619,69.5 MMac
97,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,2,32,182611,2.2106528282165527,0.01198267936706543,2.222635507583618,17.11 MMac
98,"['rerp', 'gas', 'regas', 'mk', 'trmk', 'ctwav']",2,1,19,44398,1.3367176055908203,0.006471157073974609,1.343188762664795,4.39 MMac
99,"['rp', 'gas', 'gad']",4,3,24,2305377,22.10676670074463,0.021720170974731445,22.12848687171936,22.52 MMac
100,"['rp', 'rerp', 'regas', 'trgas', 'gad', 'trgad', 'remk', 'trmk']",2,3,70,1130729,6.181144714355469,0.013746500015258789,6.1948912143707275,92.21 MMac
101,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'remk']",3,2,37,1027921,8.2444429397583,0.014629840850830078,8.25907278060913,31.39 MMac
102,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'remk']",3,2,45,1498199,11.076164245605469,0.014734029769897461,11.090898275375366,44.41 MMac
103,"['gas', 'regas', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,2,86,1211527,8.210206031799316,0.011307477951049805,8.221513509750366,98.38 MMac
104,"['rp', 'trrp', 'trgad', 'mk', 'remk', 'trmk']",2,2,85,1203099,6.682026386260986,0.009231805801391602,6.691258192062378,96.23 MMac
105,"['gas', 'trgad', 'mk']",3,1,55,1343541,6.473135948181152,0.008696556091308594,6.481832504272461,38.05 MMac
106,"['rp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'remk', 'ctwav']",4,2,23,1669287,13.77575397491455,0.01803445816040039,13.793788433074951,17.89 MMac
107,"['regas', 'regad', 'trmk', 'ctwav']",3,1,21,212451,2.396225929260254,0.008426427841186523,2.4046523571014404,6.77 MMac
108,"['rp', 'rerp', 'gas', 'regas', 'mk', 'ctwav']",2,3,40,374853,3.86960506439209,0.012899398803710938,3.882504463195801,31.16 MMac
109,"['rerp', 'gad']",3,1,63,1748915,6.425821781158447,0.009421110153198242,6.4352428913116455,48.46 MMac
110,"['rp', 'rerp', 'trgas', 'gad', 'regad', 'remk']",3,1,63,1761459,6.584107875823975,0.010266304016113281,6.594374179840088,51.68 MMac
111,"['rp', 'rerp', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",3,1,63,1764595,5.670726299285889,0.010477542877197266,5.681203842163086,52.48 MMac
112,"['rp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'ctwav']",3,1,63,1767731,6.176662445068359,0.009778022766113281,6.186440467834473,53.28 MMac
113,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'regad', 'trgad', 'mk']",3,1,63,1767731,6.866347789764404,0.010949850082397461,6.877297639846802,53.28 MMac
114,"['trrp', 'gas', 'regas', 'trgas', 'regad', 'trgad', 'mk', 'remk']",3,1,63,1767731,6.199800968170166,0.01108098030090332,6.210881948471069,53.28 MMac
115,"['trrp', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",3,1,63,1764595,5.798935890197754,0.010846376419067383,5.809782266616821,52.48 MMac
116,"['gas', 'regas', 'trgas', 'regad', 'trgad', 'mk', 'ctwav']",3,1,63,1764595,6.295609474182129,0.010820627212524414,6.306430101394653,52.48 MMac
117,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'mk']",3,1,63,1767731,6.55292272567749,0.009476423263549805,6.56239914894104,53.28 MMac
118,"['rerp', 'trgas', 'regad', 'trgad', 'mk']",3,1,63,1758323,6.348109245300293,0.010210037231445312,6.358319282531738,50.87 MMac
119,"['rerp', 'regad', 'trgad', 'mk']",3,1,61,1647761,13.378393650054932,0.01966404914855957,13.398057699203491,47.1 MMac
120,"['rerp', 'trgas', 'regad', 'trgad', 'mk']",3,1,61,1650799,6.087899208068848,0.01017904281616211,6.09807825088501,47.88 MMac
121,"['rerp', 'regad', 'trgad', 'mk']",3,1,62,1647761,7.022380828857422,0.008693695068359375,7.031074523925781,47.1 MMac
122,"['gad', 'mk', 'remk', 'trmk', 'ctwav']",4,1,31,1813819,10.798394680023193,0.012613534927368164,10.811008214950562,18.53 MMac
123,"['gad', 'mk', 'remk']",4,1,31,1810683,6.801366806030273,0.011422157287597656,6.812788963317871,17.73 MMac
124,"['rerp', 'trgas', 'gad', 'remk', 'trmk']",4,1,30,1595215,9.140253067016602,0.011904716491699219,9.1521577835083,16.42 MMac
125,"['rerp', 'gas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",3,2,37,1027921,6.40256404876709,0.013885021209716797,6.416449069976807,31.39 MMac
126,"['rp', 'rerp', 'trrp', 'regas', 'regad', 'mk']",3,1,63,1761459,6.106889247894287,0.00935673713684082,6.116245985031128,51.68 MMac
127,"['rp', 'rerp', 'trrp', 'regas', 'regad', 'trgad', 'mk', 'trmk']",3,1,63,1767731,5.23531436920166,0.010210990905761719,5.245525360107422,53.28 MMac
128,"['rp', 'rerp', 'trrp', 'regad', 'mk', 'remk']",3,1,63,1761459,6.043767929077148,0.008999347686767578,6.052767276763916,51.68 MMac
129,"['rp', 'trrp', 'regad', 'trgad', 'mk', 'remk', 'trmk']",3,1,63,1764595,5.518126487731934,0.009143590927124023,5.527270078659058,52.48 MMac
130,"['trrp', 'regas', 'trgas', 'mk', 'remk']",4,1,36,2292978,8.9630126953125,0.01097416877746582,8.973986864089966,23.13 MMac
131,"['trrp', 'trgas', 'regad', 'trgad', 'mk', 'remk']",4,1,35,2294742,8.252012729644775,0.01153111457824707,8.263543844223022,23.58 MMac
132,"['rerp', 'regad', 'mk']",3,1,63,1752051,5.982935428619385,0.008098602294921875,5.991034030914307,49.27 MMac
133,"['rerp', 'trrp', 'gas', 'regas', 'mk', 'remk', 'trmk']",3,1,22,215685,2.648651599884033,0.009272575378417969,2.657924175262451,7.6 MMac
134,"['rp', 'trrp', 'regas', 'trgas', 'gad', 'regad', 'trmk', 'ctwav']",2,1,82,662706,2.5485992431640625,0.00676727294921875,2.5553665161132812,54.91 MMac
135,"['rerp', 'regas', 'trgas', 'trgad', 'remk', 'ctwav']",4,1,12,260052,2.808845043182373,0.011413097381591797,2.820258140563965,3.3 MMac
136,"['rp', 'trgas', 'gad', 'regad', 'mk', 'ctwav']",4,2,15,745467,8.670306205749512,0.015985727310180664,8.686291933059692,8.18 MMac
137,"['trrp', 'gad', 'regad', 'mk']",3,1,63,1755187,5.057895183563232,0.00821375846862793,5.06610894203186,50.07 MMac
138,"['rerp', 'gad', 'regad', 'trgad']",3,1,63,1755187,5.173516273498535,0.008441686630249023,5.181957960128784,50.07 MMac
139,"['rerp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",3,1,63,1767731,5.340707302093506,0.009161233901977539,5.349868535995483,53.28 MMac
140,"['rerp', 'regas', 'gad', 'regad', 'trgad', 'ctwav']",3,1,63,1761459,6.855511665344238,0.008804559707641602,6.86431622505188,51.68 MMac
141,"['rerp', 'gas', 'trgad', 'mk']",3,1,63,1755187,6.1653971672058105,0.008268594741821289,6.173665761947632,50.07 MMac
142,"['rerp', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",3,1,63,1761459,7.949709892272949,0.011867046356201172,7.96157693862915,51.68 MMac
143,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",2,1,23,64557,2.036261558532715,0.00912332534790039,2.0453848838806152,6.53 MMac
