,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1772584,89.88683223724365,0.1432809829711914,90.03011322021484,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,647424,45.88878154754639,0.13939499855041504,46.0281765460968,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1121916,43.39699745178223,0.16102170944213867,43.558019161224365,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,674474,26.256823539733887,0.10183548927307129,26.358659029006958,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,865770,36.54766082763672,0.1276721954345703,36.67533302307129,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,448205,22.56850004196167,0.1426081657409668,22.711108207702637,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139792,22.687137126922607,0.1465611457824707,22.833698272705078,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1680986,66.33331775665283,0.1453702449798584,66.47868800163269,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1446167,46.94502353668213,0.11591005325317383,47.0609335899353,41.45 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49634,16.741538047790527,0.1455552577972412,16.88709330558777,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,301447,15.738773345947266,0.12003517150878906,15.858808517456055,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2269174,95.16048431396484,0.2031996250152588,95.3636839389801,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1317834,48.90110492706299,0.11923551559448242,49.02034044265747,105.02 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,591542,19.66240406036377,0.08289146423339844,19.745295524597168,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,828402,38.098740577697754,0.15839362144470215,38.257134199142456,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,145546,22.65005111694336,0.15570545196533203,22.80575656890869,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,268733,10.55363416671753,0.08801007270812988,10.64164423942566,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,569839,19.78762149810791,0.0878908634185791,19.87551236152649,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1308109,110.47418117523193,0.30687689781188965,110.78105807304382,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,164040,10.170817375183105,0.0861666202545166,10.256983995437622,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,794120,78.99465560913086,0.2646355628967285,79.25929117202759,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2062080,75.25370121002197,0.17578530311584473,75.42948651313782,60.35 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137773,11.49752140045166,0.09361124038696289,11.591132640838623,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,234910,7.833874225616455,0.08057641983032227,7.914450645446777,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,465929,11.46550178527832,0.11128687858581543,11.576788663864136,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2265056,94.65222358703613,0.20704197883605957,94.85926556587219,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,652381,21.619153022766113,0.08591437339782715,21.70506739616394,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1141790,52.41587162017822,0.17160725593566895,52.58747887611389,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,180185,16.683173179626465,0.12060093879699707,16.803774118423462,6.46 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,446018,14.10832405090332,0.10940194129943848,14.217725992202759,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1515898,79.00636196136475,0.14411020278930664,79.15047216415405,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1758330,51.52766704559326,0.118560791015625,51.64622783660889,50.07 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,74680,17.24170446395874,0.14316487312316895,17.38486933708191,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,214696,23.75556230545044,0.15130352973937988,23.90686583518982,18.24 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2005052,58.95724296569824,0.14220786094665527,59.0994508266449,157.69 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,561710,33.847761154174805,0.12663984298706055,33.974400997161865,46.9 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,115510,15.33740758895874,0.11526107788085938,15.4526686668396,4.04 MMac
37,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,306019,23.250937461853027,0.15111947059631348,23.40205693244934,25.58 MMac
38,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,45,1498206,74.7096061706543,0.16366934776306152,74.87327551841736,43.84 MMac
39,"['rerp', 'trrp']",3,2,23,410758,23.560762405395508,0.15589570999145508,23.716658115386963,11.93 MMac
40,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,67,1079935,36.363792419433594,0.17499732971191406,36.53878974914551,89.81 MMac
41,"['rp', 'trrp', 'regas', 'regad', 'remk', 'ctwav']",3,2,32,732122,40.18566608428955,0.1590132713317871,40.34467935562134,22.38 MMac
42,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk']",2,3,94,2014264,66.88510179519653,0.16796040534973145,67.05306220054626,160.05 MMac
43,"['rp', 'gas', 'regas', 'gad', 'regad', 'mk', 'ctwav']",3,2,53,2064726,69.07367706298828,0.16594219207763672,69.23961925506592,61.02 MMac
44,"['rp', 'gad', 'trmk']",2,2,81,1084992,31.764507293701172,0.11383867263793945,31.87834596633911,84.74 MMac
45,"['rerp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",3,3,19,402855,31.563031673431396,0.2009429931640625,31.76397466659546,12.9 MMac
46,"['rp', 'trrp', 'gad', 'regad', 'trgad', 'mk', 'trmk']",2,3,48,538822,38.60349655151367,0.1437370777130127,38.747233629226685,44.57 MMac
47,"['rp', 'gas', 'regad', 'trgad', 'remk', 'trmk']",4,1,27,1395075,62.33983039855957,0.14859509468078613,62.488425493240356,14.8 MMac
48,"['rerp', 'trrp', 'regas', 'trgas', 'gad', 'mk', 'ctwav']",2,3,68,1066607,43.0924654006958,0.1485753059387207,43.24104070663452,86.4 MMac
49,"['rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trmk']",4,1,14,354612,21.030473709106445,0.14853453636169434,21.17900824546814,4.47 MMac
50,"['rerp', 'trgas', 'regad', 'mk', 'remk', 'trmk']",2,2,35,220132,16.1291241645813,0.11617255210876465,16.245296716690063,18.72 MMac
51,"['rp', 'rerp', 'regad', 'mk', 'ctwav']",3,1,44,838771,30.95870018005371,0.11351466178894043,31.07221484184265,25.03 MMac
52,"['regas', 'trgas', 'trgad', 'mk', 'trmk']",2,2,66,712908,32.488346099853516,0.11832952499389648,32.60667562484741,57.21 MMac
53,"['rp', 'rerp', 'trrp', 'gas', 'gad', 'regad', 'remk', 'ctwav']",3,3,22,486720,31.54805898666382,0.21103906631469727,31.759098052978516,15.65 MMac
54,"['gas', 'trgas', 'regad', 'trgad', 'ctwav']",3,2,15,187106,23.283374309539795,0.1580500602722168,23.44142436981201,6.13 MMac
55,"['rp', 'rerp', 'trrp', 'regas', 'gad', 'mk', 'remk', 'trmk']",2,1,59,363535,7.783961296081543,0.08087635040283203,7.864837646484375,31.14 MMac
56,"['trrp', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",3,1,36,569737,31.081175804138184,0.11855340003967285,31.199729204177856,18.58 MMac
57,"['rp', 'rerp', 'regas', 'gad', 'regad', 'trgad', 'remk', 'trmk']",2,1,28,86327,10.43161153793335,0.08832383155822754,10.519935369491577,8.39 MMac
58,"['trgas', 'gad', 'remk', 'ctwav']",2,1,93,848148,19.147348403930664,0.0787653923034668,19.22611379623413,65.97 MMac
59,"['trrp', 'regas', 'trgas', 'regad', 'trmk']",2,1,20,43845,9.891188144683838,0.0807805061340332,9.971968650817871,4.14 MMac
60,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'trgad', 'mk']",2,1,16,30694,10.190105438232422,0.08441495895385742,10.27452039718628,3.28 MMac
61,"['rerp', 'gas', 'regas', 'gad', 'mk', 'remk']",2,1,25,72725,10.393965244293213,0.08655405044555664,10.48051929473877,6.78 MMac
62,"['rp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,87,770956,17.69535541534424,0.09462261199951172,17.78997802734375,64.76 MMac
63,"['rp', 'trgas', 'mk', 'trmk', 'ctwav']",3,2,21,349050,24.217522144317627,0.15809369087219238,24.37561583518982,10.93 MMac
64,"['rerp', 'trrp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'remk']",2,1,63,411578,7.899689674377441,0.08135461807250977,7.981044292449951,34.97 MMac
65,"['rp', 'trrp', 'gas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",3,1,42,771203,31.75530433654785,0.12232661247253418,31.877630949020386,24.53 MMac
66,"['rerp', 'gas', 'trgad', 'trmk', 'ctwav']",3,1,51,1167241,31.113791465759277,0.11465001106262207,31.2284414768219,34.28 MMac
67,"['rp', 'gas', 'regas', 'trgas', 'regad']",2,2,71,846262,31.23624324798584,0.11482524871826172,31.3510684967041,67.59 MMac
68,"['rerp', 'trrp', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",3,3,29,896266,61.358642578125,0.2053372859954834,61.56397986412048,27.74 MMac
69,"['rp', 'rerp', 'trrp', 'trgas', 'gad', 'trgad', 'mk']",4,1,17,582143,41.35870933532715,0.14885282516479492,41.50756216049194,6.89 MMac
70,"['rp', 'rerp', 'gas', 'trgas', 'trgad', 'remk']",2,2,38,244216,17.58427619934082,0.12250280380249023,17.70677900314331,20.67 MMac
71,"['trrp', 'gas', 'gad']",2,3,52,619915,45.063114166259766,0.14172863960266113,45.20484280586243,49.23 MMac
72,"['mk', 'remk']",4,1,31,1812482,58.253538608551025,0.14043736457824707,58.39397597312927,17.33 MMac
73,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,3,75,1342569,47.94502258300781,0.16650867462158203,48.111531257629395,110.77 MMac
74,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'remk', 'trmk', 'ctwav']",3,1,33,509253,29.604268074035645,0.11812019348144531,29.72238826751709,16.78 MMac
75,"['gas', 'gad', 'regad', 'trgad', 'mk']",2,2,77,990414,27.73149013519287,0.11183929443359375,27.843329429626465,78.82 MMac
76,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,3,12,39553,16.38878583908081,0.16199493408203125,16.550780773162842,4.05 MMac
77,"['trrp', 'gas', 'regas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",3,2,26,488718,22.659552097320557,0.1621088981628418,22.8216609954834,15.87 MMac
78,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'regad', 'mk', 'remk']",2,3,91,1939945,70.12878656387329,0.15505647659301758,70.28384304046631,155.81 MMac
79,"['regas', 'gad', 'trgad', 'trmk', 'ctwav']",3,2,47,1630354,66.88342094421387,0.15972042083740234,67.04314136505127,47.57 MMac
80,"['gas', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,93,2018870,66.15257263183594,0.15259456634521484,66.30516719818115,161.23 MMac
81,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad']",3,2,49,1770134,70.54038047790527,0.16241168975830078,70.70279216766357,52.07 MMac
82,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'mk', 'remk']",3,2,27,564028,46.86131477355957,0.16746211051940918,47.02877688407898,17.81 MMac
83,"['trrp', 'gas', 'regas', 'gad', 'trgad', 'mk']",3,3,21,484564,31.37376308441162,0.2022566795349121,31.576019763946533,15.09 MMac
84,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'mk', 'trmk', 'ctwav']",2,2,86,1221768,39.49406147003174,0.13504385948181152,39.62910532951355,100.54 MMac
85,"['rp', 'rerp', 'trrp', 'trgas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",4,1,22,867926,32.05306529998779,0.1621391773223877,32.21520447731018,10.36 MMac
86,"['gas', 'regas', 'gad', 'regad']",2,2,66,709674,23.046350479125977,0.10390901565551758,23.150259494781494,56.38 MMac
87,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'trgad', 'trmk', 'ctwav']",2,3,43,456829,19.64256763458252,0.16645479202270508,19.809022426605225,38.39 MMac
88,"['trrp', 'gas', 'remk', 'trmk', 'ctwav']",2,3,37,337876,19.759786128997803,0.13973402976989746,19.8995201587677,27.83 MMac
89,"['gad', 'mk', 'trmk', 'ctwav']",4,2,15,745586,58.05091857910156,0.19798684120178223,58.248905420303345,7.78 MMac
90,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,68,766268,33.923912048339844,0.12613248825073242,34.050044536590576,63.13 MMac
91,"['rp', 'trgas', 'gad', 'mk', 'remk']",3,3,26,672167,62.28678226470947,0.2105395793914795,62.49732184410095,20.29 MMac
92,"['rp', 'trrp', 'gas', 'trgas']",3,1,48,993886,24.76978302001953,0.10702300071716309,24.876806020736694,28.88 MMac
93,"['rerp', 'gas', 'gad', 'trgad', 'remk']",3,2,35,922096,45.20843029022217,0.15714502334594727,45.365575313568115,27.47 MMac
94,"['rerp', 'trrp', 'trgad', 'mk']",3,3,14,198462,31.070339679718018,0.19193148612976074,31.26227116584778,6.26 MMac
95,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'remk', 'trmk', 'ctwav']",2,1,55,321212,8.448445796966553,0.09550094604492188,8.543946743011475,28.23 MMac
96,"['rerp', 'trrp', 'gas', 'gad', 'regad', 'mk', 'remk']",2,1,94,861966,19.103121757507324,0.08727288246154785,19.190394639968872,69.5 MMac
97,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,2,32,183290,13.477098941802979,0.1372823715209961,13.614381313323975,17.11 MMac
98,"['rerp', 'gas', 'regas', 'mk', 'trmk', 'ctwav']",2,1,19,44825,7.277476787567139,0.07506489753723145,7.35254168510437,4.39 MMac
99,"['rp', 'gas', 'gad']",4,3,24,2307904,96.92319631576538,0.24939203262329102,97.17258834838867,22.52 MMac
100,"['rp', 'rerp', 'regas', 'trgas', 'gad', 'trgad', 'remk', 'trmk']",2,3,70,1132206,33.062744140625,0.14362859725952148,33.20637273788452,92.21 MMac
101,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'remk']",3,2,37,1029790,39.99049663543701,0.15780305862426758,40.14829969406128,31.39 MMac
102,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'remk']",3,2,45,1500460,70.828378200531,0.17019915580749512,70.9985773563385,44.41 MMac
103,"['gas', 'regas', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,2,86,1213340,48.64579439163208,0.12290477752685547,48.768699169158936,98.39 MMac
104,"['rp', 'trrp', 'trgad', 'mk', 'remk', 'trmk']",2,2,85,1204912,46.51994705200195,0.11845993995666504,46.63840699195862,96.23 MMac
105,"['gas', 'trgad', 'mk']",3,1,55,1346292,41.76760911941528,0.10795831680297852,41.87556743621826,38.05 MMac
106,"['rp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'remk', 'ctwav']",4,2,23,1671814,87.223219871521,0.20279383659362793,87.42601370811462,17.9 MMac
107,"['regas', 'regad', 'trmk', 'ctwav']",3,1,21,213536,15.474700927734375,0.11308836936950684,15.587789297103882,6.77 MMac
108,"['rp', 'rerp', 'gas', 'regas', 'mk', 'ctwav']",2,3,40,375700,22.79837131500244,0.1513211727142334,22.949692487716675,31.16 MMac
109,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'mk', 'ctwav']",3,2,53,2064726,69.31639909744263,0.1650984287261963,69.48149752616882,61.02 MMac
110,"['rerp', 'trgas', 'gad', 'mk', 'remk']",3,3,14,199148,30.387890338897705,0.19370698928833008,30.581597328186035,6.44 MMac
111,"['rp', 'trrp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk']",2,2,55,530358,28.400802612304688,0.13430142402648926,28.535104036331177,45.35 MMac
112,"['rerp', 'trrp', 'gas', 'remk']",3,3,43,1903065,83.4046483039856,0.19444584846496582,83.59909415245056,54.93 MMac
113,"['rp', 'rerp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk']",2,2,64,683882,32.505059242248535,0.13723015785217285,32.64228940010071,57.15 MMac
114,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'trgad', 'mk', 'ctwav']",3,2,19,292500,25.890040397644043,0.1670842170715332,26.057124614715576,9.93 MMac
115,"['rp', 'rerp', 'gas', 'remk', 'trmk', 'ctwav']",3,1,54,1260356,43.56873035430908,0.11768436431884766,43.68641471862793,37.5 MMac
116,"['trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'remk']",4,2,23,1670638,87.23212480545044,0.20185303688049316,87.43397784233093,17.6 MMac
117,"['rerp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk']",4,2,21,1405578,90.53928852081299,0.20416045188903809,90.74344897270203,14.98 MMac
118,"['rp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'remk']",4,2,23,1670638,86.68524026870728,0.20436358451843262,86.88960385322571,17.6 MMac
119,"['trrp', 'gas']",3,1,56,1343548,45.38780450820923,0.10917496681213379,45.49697947502136,37.35 MMac
120,"['rp', 'regas', 'trgas', 'gad', 'trgad', 'trmk', 'ctwav']",3,2,35,925624,46.92723751068115,0.1653764247894287,47.09261393547058,28.37 MMac
121,"['rp', 'gad', 'trgad', 'remk']",3,2,34,821738,46.108126640319824,0.15717291831970215,46.265299558639526,24.22 MMac
122,"['rp', 'rerp', 'trrp', 'regas', 'gad', 'regad', 'remk', 'trmk']",3,1,56,1360012,44.16085481643677,0.11830830574035645,44.279163122177124,41.56 MMac
123,"['trrp', 'gas', 'trgas', 'regad']",4,1,27,1392331,62.31933832168579,0.14612388610839844,62.46546220779419,14.09 MMac
124,"['rp', 'gas', 'trgas', 'regad', 'remk', 'ctwav']",3,1,55,1354524,49.840450286865234,0.12022161483764648,49.96067190170288,40.16 MMac
125,"['rp', 'rerp', 'gas', 'trgas', 'regad', 'mk', 'remk', 'trmk', 'ctwav']",4,1,27,1399191,40.51727056503296,0.15476155281066895,40.67203211784363,15.85 MMac
126,"['trrp', 'gas', 'gad', 'regad', 'mk', 'trmk', 'ctwav']",3,2,19,291520,14.321398735046387,0.14627456665039062,14.467673301696777,9.68 MMac
127,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'ctwav']",3,2,30,647424,29.125022888183594,0.15184307098388672,29.27686595916748,20.6 MMac
128,"['rp', 'gas', 'trgas', 'regad', 'ctwav']",2,1,30,93602,5.88526725769043,0.06935405731201172,5.954621315002441,8.27 MMac
129,"['rerp', 'trrp', 'gad', 'regad', 'remk', 'trmk']",4,1,29,1599842,43.010759353637695,0.13651561737060547,43.1472749710083,16.8 MMac
130,"['rp', 'gas', 'trgas', 'gad', 'trgad', 'mk', 'remk', 'ctwav']",2,3,55,731272,27.310967445373535,0.1353302001953125,27.446297645568848,60.36 MMac
131,"['rerp', 'trrp', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'ctwav']",3,2,48,1637410,66.0212516784668,0.1615912914276123,66.18284296989441,49.37 MMac
132,"['rp', 'rerp', 'gas', 'regas', 'trgas']",3,1,55,1351780,45.6922173500061,0.11525392532348633,45.80747127532959,39.45 MMac
133,"['rp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'mk']",2,2,57,558868,32.689499855041504,0.12550616264343262,32.81500601768494,46.17 MMac
134,"['rp', 'rerp', 'trrp', 'trgas', 'trgad', 'mk', 'ctwav']",2,1,86,724624,18.381190299987793,0.08514857292175293,18.466338872909546,58.87 MMac
135,"['rp', 'rerp', 'trrp', 'gas', 'gad', 'mk', 'remk']",4,1,17,582143,38.11919689178467,0.14638400077819824,38.265580892562866,6.89 MMac
136,"['rp', 'gas', 'regas', 'gad', 'regad', 'mk', 'remk', 'trmk', 'ctwav']",3,2,32,736826,32.69660472869873,0.17534422874450684,32.87194895744324,23.59 MMac
137,"['rp', 'gas', 'gad', 'regad', 'trgad', 'mk']",4,1,23,1027492,28.36158275604248,0.1346573829650879,28.49624013900757,11.16 MMac
138,"['rerp', 'trrp', 'gas', 'regas', 'mk', 'remk', 'trmk']",3,1,22,216770,14.465999603271484,0.11642217636108398,14.582421779632568,7.6 MMac
139,"['trrp', 'gas', 'trgas', 'gad', 'trgad', 'trmk', 'ctwav']",2,2,90,1322244,49.766528606414795,0.12982702255249023,49.896355628967285,106.14 MMac
140,"['rp', 'trrp', 'regas', 'trgas', 'gad', 'regad', 'trmk', 'ctwav']",2,1,82,664435,19.372224807739258,0.09298539161682129,19.46521019935608,54.92 MMac
141,"['trrp', 'regas', 'regad', 'mk']",4,3,14,792062,75.47602653503418,0.30200839042663574,75.77803492546082,8.21 MMac
142,"['rp', 'rerp', 'gas', 'regad', 'trgad', 'remk']",2,3,45,493324,21.16997241973877,0.14737892150878906,21.31735134124756,40.56 MMac
143,"['rerp', 'trgas', 'regad', 'trgad', 'trmk']",2,3,86,1685200,70.29587030410767,0.14975690841674805,70.44562721252441,133.58 MMac
144,"['rp', 'gas', 'trgas', 'trgad', 'mk', 'ctwav']",3,1,56,1354524,45.55538892745972,0.13021612167358398,45.6856050491333,40.16 MMac
145,"['rp', 'trgas', 'gad', 'trgad', 'ctwav']",3,1,13,89200,15.692317485809326,0.11335301399230957,15.805670499801636,3.22 MMac
146,"['rp', 'regas', 'trgas', 'ctwav']",3,1,65,1868981,38.34493160247803,0.14230775833129883,38.487239360809326,53.13 MMac
