,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1770127,89.9821400642395,0.042517900466918945,90.02465796470642,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645947,48.28598499298096,0.047582149505615234,48.33356714248657,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120439,49.47035312652588,0.04617142677307129,49.51652455329895,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,673123,38.42606544494629,0.0401606559753418,38.46622610092163,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863453,49.48577880859375,0.05141496658325195,49.537193775177,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447274,26.531636714935303,0.045955657958984375,26.577592372894287,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139281,27.432429790496826,0.0464022159576416,27.478832006454468,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1679173,82.14408159255981,0.046053171157836914,82.19013476371765,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1443318,46.99387550354004,0.0330049991607666,47.026880502700806,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49291,18.5666561126709,0.03878355026245117,18.60543966293335,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,300166,18.87955665588379,0.039008378982543945,18.918565034866333,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266815,94.74009275436401,0.051233530044555664,94.79132628440857,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315937,51.36383771896362,0.034715890884399414,51.39855360984802,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589897,20.017480850219727,0.02272629737854004,20.040207147598267,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826729,57.43143558502197,0.04737591743469238,57.478811502456665,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144853,28.102529048919678,0.05122995376586914,28.153759002685547,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267634,10.483968257904053,0.022472381591796875,10.50644063949585,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568236,22.359514236450195,0.023653507232666016,22.38316774368286,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1306212,128.45245599746704,0.07533717155456543,128.5277931690216,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163193,12.780916690826416,0.02657604217529297,12.807492733001709,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792643,87.9849910736084,0.0683279037475586,88.05331897735596,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2059427,77.74715423583984,0.04795956611633301,77.79511380195618,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137010,10.896587371826172,0.023105621337890625,10.919692993164062,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,233895,11.226475238800049,0.024407625198364258,11.250882863998413,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,464494,9.22175645828247,0.023868799209594727,9.245625257492065,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2262109,104.95619773864746,0.05761289596557617,105.01381063461304,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,650652,26.394152641296387,0.027563810348510742,26.421716451644897,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1139823,61.57848834991455,0.054604530334472656,61.63309288024902,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179198,19.4547176361084,0.039498329162597656,19.494215965270996,6.45 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,444443,17.723774909973145,0.03620147705078125,17.759976387023926,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1513875,50.47520399093628,0.037492990493774414,50.512696981430054,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1755187,53.03957462310791,0.03554940223693848,53.07512402534485,50.07 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,74253,17.04012155532837,0.0424346923828125,17.08255624771118,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,214059,22.165358066558838,0.03790426254272461,22.203262329101562,18.24 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2003071,68.80306005477905,0.040616750717163086,68.84367680549622,157.69 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,560485,34.62169170379639,0.03798627853393555,34.65967798233032,46.9 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,114719,17.40438938140869,0.03592085838317871,17.44031023979187,4.04 MMac
37,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,305256,25.8042573928833,0.04140496253967285,25.845662355422974,25.58 MMac
38,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,45,1495945,75.08436441421509,0.04565262794494629,75.13001704216003,43.83 MMac
39,"['rerp', 'trrp']",3,2,23,409575,27.731454372406006,0.0516965389251709,27.783150911331177,11.93 MMac
40,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,67,1078500,35.59997081756592,0.04036307334899902,35.64033389091492,89.81 MMac
41,"['rp', 'trrp', 'regas', 'regad', 'remk', 'ctwav']",3,2,32,730547,47.70052433013916,0.042088985443115234,47.742613315582275,22.38 MMac
42,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk']",2,3,94,2012283,74.31775331497192,0.04392576217651367,74.36167907714844,160.05 MMac
43,"['rp', 'gas', 'regas', 'gad', 'regad', 'mk', 'ctwav']",3,2,53,2062073,88.57351541519165,0.0489957332611084,88.62251114845276,61.02 MMac
44,"['rp', 'gad', 'trmk']",2,2,81,1083263,38.22178840637207,0.0347294807434082,38.25651788711548,84.74 MMac
45,"['rerp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",3,3,19,401868,35.94193458557129,0.0559389591217041,35.99787354469299,12.9 MMac
46,"['rp', 'trrp', 'gad', 'regad', 'trgad', 'mk', 'trmk']",2,3,48,537807,52.80494689941406,0.04460453987121582,52.84955143928528,44.57 MMac
47,"['rp', 'gas', 'regad', 'trgad', 'remk', 'trmk']",4,1,27,1392128,74.29078817367554,0.04703474044799805,74.33782291412354,14.79 MMac
48,"['rerp', 'trrp', 'regas', 'trgas', 'gad', 'mk', 'ctwav']",2,3,68,1065172,52.944016456604004,0.0467832088470459,52.99079966545105,86.39 MMac
49,"['rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trmk']",4,1,14,353135,24.56892728805542,0.04549241065979004,24.61441969871521,4.47 MMac
50,"['rerp', 'trgas', 'regad', 'mk', 'remk', 'trmk']",2,2,35,219369,19.112229347229004,0.034330129623413086,19.146559476852417,18.72 MMac
51,"['rp', 'rerp', 'regad', 'mk', 'ctwav']",3,1,44,836608,35.228610038757324,0.03814125061035156,35.266751289367676,25.03 MMac
52,"['regas', 'trgas', 'trgad', 'mk', 'trmk']",2,2,66,711515,40.523314476013184,0.038388729095458984,40.56170320510864,57.21 MMac
53,"['rp', 'rerp', 'trrp', 'gas', 'gad', 'regad', 'remk', 'ctwav']",3,3,22,485635,36.97785139083862,0.05981111526489258,37.037662506103516,15.64 MMac
54,"['gas', 'trgas', 'regad', 'trgad', 'ctwav']",3,2,15,186315,28.270649909973145,0.04600405693054199,28.316653966903687,6.13 MMac
55,"['rp', 'rerp', 'trrp', 'regas', 'gad', 'mk', 'remk', 'trmk']",2,1,59,362268,10.81780195236206,0.02616739273071289,10.843969345092773,31.13 MMac
56,"['trrp', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",3,1,36,567966,36.808180809020996,0.03853034973144531,36.84671115875244,18.58 MMac
57,"['rp', 'rerp', 'regas', 'gad', 'regad', 'trgad', 'remk', 'trmk']",2,1,28,85732,12.212121486663818,0.028008699417114258,12.240130186080933,8.39 MMac
58,"['trgas', 'gad', 'remk', 'ctwav']",2,1,93,846167,21.86729907989502,0.021755695343017578,21.889054775238037,65.96 MMac
59,"['trrp', 'regas', 'trgas', 'regad', 'trmk']",2,1,20,43418,11.057746410369873,0.02199864387512207,11.079745054244995,4.14 MMac
60,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'trgad', 'mk']",2,1,16,30351,10.87028980255127,0.023875951766967773,10.894165754318237,3.28 MMac
61,"['rerp', 'gas', 'regas', 'gad', 'mk', 'remk']",2,1,25,72172,11.060917377471924,0.022115468978881836,11.083032846450806,6.78 MMac
62,"['rp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,87,769101,19.52841281890869,0.023337602615356445,19.551750421524048,64.76 MMac
63,"['rp', 'trgas', 'mk', 'trmk', 'ctwav']",3,2,21,347965,23.021554946899414,0.042882442474365234,23.06443738937378,10.93 MMac
64,"['rerp', 'trrp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'remk']",2,1,63,410227,11.201858520507812,0.02483963966369629,11.226698160171509,34.96 MMac
65,"['rp', 'trrp', 'gas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",3,1,42,769138,32.60664939880371,0.033643245697021484,32.64029264450073,24.52 MMac
66,"['rerp', 'gas', 'trgad', 'trmk', 'ctwav']",3,1,51,1164686,34.56454277038574,0.0355374813079834,34.600080251693726,34.28 MMac
