,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1769776,119.51537132263184,0.07414531707763672,119.58951663970947,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645736,55.495548248291016,0.07145547866821289,55.56700372695923,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120228,67.75696277618408,0.07727503776550293,67.83423781394958,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,672930,58.33559036254883,0.06530928611755371,58.40089964866638,54.74 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863122,76.7967939376831,0.08904862403869629,76.8858425617218,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447141,39.58160877227783,0.07730793952941895,39.65891671180725,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139208,38.5958194732666,0.07611966133117676,38.67193913459778,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1678914,109.7725510597229,0.07666993141174316,109.84922099113464,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1442911,87.81198263168335,0.07306528091430664,87.88504791259766,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49242,22.121119499206543,0.07008504867553711,22.19120454788208,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,299983,28.01952362060547,0.07516169548034668,28.094685316085815,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266478,150.02703666687012,0.09532713890075684,150.12236380577087,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315666,80.41126728057861,0.07288575172424316,80.48415303230286,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589662,38.51876258850098,0.05468153953552246,38.5734441280365,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826490,83.76739025115967,0.0900578498840332,83.8574481010437,25.92 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144754,39.85311985015869,0.08368778228759766,39.93680763244629,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267477,16.157972812652588,0.04661417007446289,16.20458698272705,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568007,30.626869201660156,0.051251888275146484,30.678121089935303,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1305941,180.50329685211182,0.13937830924987793,180.6426751613617,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163072,17.568159103393555,0.05021262168884277,17.618371725082397,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792432,114.85373973846436,0.10878181457519531,114.96252155303955,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2059048,120.44713497161865,0.08450126647949219,120.53163623809814,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,136901,16.891837120056152,0.049381256103515625,16.941218376159668,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,233750,15.932631492614746,0.04809069633483887,15.980722188949585,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,464289,13.218879699707031,0.04265141487121582,13.261531114578247,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2261688,146.75713777542114,0.0941016674041748,146.85123944282532,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,650405,32.35619068145752,0.05442070960998535,32.410611391067505,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1139542,91.10991954803467,0.0930635929107666,91.20298314094543,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179057,28.686046600341797,0.07275176048278809,28.758798360824585,6.45 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,444218,28.58332395553589,0.07001233100891113,28.6533362865448,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1513586,84.65073108673096,0.07730293273925781,84.72803401947021,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1754738,87.11450099945068,0.0718541145324707,87.18635511398315,50.07 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,74192,31.485295295715332,0.10334277153015137,31.588638067245483,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,213968,40.51065444946289,0.0843813419342041,40.595035791397095,18.24 MMac
