,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1771180,87.71560192108154,0.04379749298095703,87.7593994140625,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,646580,48.264193534851074,0.04857373237609863,48.31276726722717,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1121072,49.35433864593506,0.04364466667175293,49.39798331260681,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,673702,36.17351055145264,0.037920236587524414,36.21143078804016,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,864446,41.48426055908203,0.04432559013366699,41.5285861492157,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447673,25.081050395965576,0.04533028602600098,25.126380681991577,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139500,24.712073802947998,0.0422360897064209,24.75430989265442,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1679950,67.6082968711853,0.04023480415344238,67.64853167533875,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1444539,49.83748197555542,0.034209251403808594,49.87169122695923,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49438,19.21699047088623,0.040543556213378906,19.25753402709961,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,300715,17.01101064682007,0.03567004203796387,17.046680688858032,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2267826,104.13966178894043,0.05455136299133301,104.19421315193176,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1316750,57.53577947616577,0.038057804107666016,57.57383728027344,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,590602,23.369884490966797,0.027216434478759766,23.397100925445557,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,827446,56.702566146850586,0.051192522048950195,56.753758668899536,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,145150,27.98517942428589,0.04947805404663086,28.03465747833252,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,268105,10.750961303710938,0.022771835327148438,10.773733139038086,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568923,20.981597900390625,0.022838115692138672,21.004436016082764,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1307025,119.69765424728394,0.06742191314697266,119.76507616043091,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163556,10.42475700378418,0.02190113067626953,10.44665813446045,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,793276,78.1348705291748,0.06185412406921387,78.19672465324402,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2060564,76.51509046554565,0.047188758850097656,76.56227922439575,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137337,10.154557228088379,0.0211334228515625,10.175690650939941,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,234330,8.558619022369385,0.01981949806213379,8.578438520431519,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,465109,11.657917499542236,0.02613091468811035,11.684048414230347,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2263372,107.59813785552979,0.05871748924255371,107.65685534477234,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,651393,25.032997131347656,0.02754354476928711,25.060540676116943,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1140666,58.087801933288574,0.048707008361816406,58.13650894165039,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179621,17.715799808502197,0.038968563079833984,17.75476837158203,6.45 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,445118,18.578004837036133,0.03708505630493164,18.615089893341064,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1514742,43.60538721084595,0.04476475715637207,43.65015196800232,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1756534,51.729369163513184,0.03668212890625,51.766051292419434,50.07 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,74436,12.993907928466797,0.0374293327331543,13.031337261199951,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,214332,25.49210786819458,0.04621624946594238,25.538324117660522,18.24 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2003920,59.650325775146484,0.038613080978393555,59.68893885612488,157.69 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,561010,29.384636878967285,0.03306150436401367,29.4176983833313,46.9 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,115058,13.374626636505127,0.02984929084777832,13.404475927352905,4.04 MMac
37,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,305583,22.523391246795654,0.038983821868896484,22.56237506866455,25.58 MMac
38,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,45,1496914,82.30304718017578,0.04940152168273926,82.35244870185852,43.83 MMac
39,"['rerp', 'trrp']",3,2,23,410082,27.43246555328369,0.047425270080566406,27.479890823364258,11.93 MMac
40,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,67,1079115,36.04881763458252,0.03629803657531738,36.08511567115784,89.81 MMac
41,"['rp', 'trrp', 'regas', 'regad', 'remk', 'ctwav']",3,2,32,731222,47.74749279022217,0.04601120948791504,47.79350399971008,22.38 MMac
42,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk']",2,3,94,2013132,61.62099838256836,0.038178205490112305,61.65917658805847,160.05 MMac
43,"['rp', 'gas', 'regas', 'gad', 'regad', 'mk', 'ctwav']",3,2,53,2063210,73.44084978103638,0.044846534729003906,73.48569631576538,61.02 MMac
44,"['rp', 'gad', 'trmk']",2,2,81,1084004,31.584954261779785,0.030468225479125977,31.61542248725891,84.74 MMac
45,"['rerp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",3,3,19,402291,32.3327898979187,0.052668094635009766,32.38545799255371,12.9 MMac
46,"['rp', 'trrp', 'gad', 'regad', 'trgad', 'mk', 'trmk']",2,3,48,538242,42.87924766540527,0.04053187370300293,42.919779539108276,44.57 MMac
47,"['rp', 'gas', 'regad', 'trgad', 'remk', 'trmk']",4,1,27,1393391,68.45537424087524,0.0437469482421875,68.49912118911743,14.79 MMac
48,"['rerp', 'trrp', 'regas', 'trgas', 'gad', 'mk', 'ctwav']",2,3,68,1065787,51.98690891265869,0.045458078384399414,52.03236699104309,86.39 MMac
49,"['rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trmk']",4,1,14,353768,22.717595100402832,0.04693961143493652,22.76453471183777,4.47 MMac
50,"['rerp', 'trgas', 'regad', 'mk', 'remk', 'trmk']",2,2,35,219696,20.159912109375,0.03479123115539551,20.194703340530396,18.72 MMac
51,"['rp', 'rerp', 'regad', 'mk', 'ctwav']",3,1,44,837535,38.47613334655762,0.039171695709228516,38.515305042266846,25.03 MMac
52,"['regas', 'trgas', 'trgad', 'mk', 'trmk']",2,2,66,712112,33.97040367126465,0.028531312942504883,33.99893498420715,57.21 MMac
53,"['rp', 'rerp', 'trrp', 'gas', 'gad', 'regad', 'remk', 'ctwav']",3,3,22,486100,34.803688526153564,0.06014704704284668,34.86383557319641,15.64 MMac
54,"['gas', 'trgas', 'regad', 'trgad', 'ctwav']",3,2,15,186654,27.369439601898193,0.04773283004760742,27.4171724319458,6.13 MMac
55,"['rp', 'rerp', 'trrp', 'regas', 'gad', 'mk', 'remk', 'trmk']",2,1,59,362811,11.650371551513672,0.02707695960998535,11.677448511123657,31.14 MMac
56,"['trrp', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",3,1,36,568725,36.9786262512207,0.038603782653808594,37.01723003387451,18.58 MMac
