,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1769776,39.4800066947937,0.1726067066192627,39.652613401412964,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645736,2.2318601608276367,0.17377781867980957,2.4056379795074463,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120228,2.394556999206543,0.24051713943481445,2.6350741386413574,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,672930,2.0858049392700195,0.19640421867370605,2.2822091579437256,54.74 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863122,3.006863594055176,0.23962712287902832,3.246490716934204,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447141,1.5557408332824707,0.23209619522094727,1.787837028503418,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139208,1.5787363052368164,0.27998948097229004,1.8587257862091064,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1678914,4.195261001586914,0.2425527572631836,4.437813758850098,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1442911,4.100239276885986,0.20643091201782227,4.306670188903809,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49242,1.4118194580078125,0.2501375675201416,1.661957025527954,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,299983,1.2998223304748535,0.18757963180541992,1.4874019622802734,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266478,10.53307056427002,0.35996270179748535,10.893033266067505,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315666,3.416311740875244,0.18067383766174316,3.5969855785369873,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589662,1.4175653457641602,0.1162266731262207,1.5337920188903809,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826490,2.9407739639282227,0.24663186073303223,3.187405824661255,25.92 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144754,2.0841002464294434,0.24599194526672363,2.330092191696167,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267477,0.7759571075439453,0.11355853080749512,0.8895156383514404,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568007,1.3334989547729492,0.11960721015930176,1.453106164932251,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1305941,6.633174419403076,0.5068113803863525,7.139985799789429,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163072,0.915682315826416,0.11771702766418457,1.0333993434906006,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792432,5.816483497619629,0.26067614555358887,6.077159643173218,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2059048,4.454219341278076,0.16001462936401367,4.61423397064209,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,136901,0.7540345191955566,0.12734365463256836,0.881378173828125,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,233750,0.6736397743225098,0.12447690963745117,0.7981166839599609,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,464289,0.7894992828369141,0.15654301643371582,0.9460422992706299,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2261688,6.695616245269775,0.3204472064971924,7.016063451766968,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,650405,1.503920555114746,0.11409854888916016,1.6180191040039062,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1139542,3.372311592102051,0.23865056037902832,3.610962152481079,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179057,1.202857494354248,0.1612246036529541,1.3640820980072021,6.45 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,444218,1.120162010192871,0.15442395210266113,1.2745859622955322,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1513586,3.542017936706543,0.20819401741027832,3.7502119541168213,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1754738,3.9241790771484375,0.21915006637573242,4.14332914352417,50.07 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,74192,1.0006427764892578,0.274491548538208,1.2751343250274658,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,213968,1.844775676727295,0.22562718391418457,2.0704028606414795,18.24 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2002788,4.264712333679199,0.2170884609222412,4.48180079460144,157.69 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,560310,2.2716283798217773,0.18775320053100586,2.459381580352783,46.9 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,114606,1.0624289512634277,0.17707085609436035,1.239499807357788,4.04 MMac
37,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,305147,1.8797039985656738,0.2510488033294678,2.1307528018951416,25.58 MMac
38,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,45,1495622,6.806445121765137,0.3071024417877197,7.1135475635528564,43.83 MMac
39,"['rerp', 'trrp']",3,2,23,409406,1.8128275871276855,0.28659915924072266,2.099426746368408,11.93 MMac
40,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,67,1078295,3.297114372253418,0.2812306880950928,3.5783450603485107,89.81 MMac
41,"['rp', 'trrp', 'regas', 'regad', 'remk', 'ctwav']",3,2,32,730322,2.7993202209472656,0.24260926246643066,3.0419294834136963,22.38 MMac
42,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk']",2,3,94,2012000,5.36198616027832,0.21736550331115723,5.5793516635894775,160.05 MMac
43,"['rp', 'gas', 'regas', 'gad', 'regad', 'mk', 'ctwav']",3,2,53,2061694,6.1930060386657715,0.2448110580444336,6.437817096710205,61.02 MMac
44,"['rp', 'gad', 'trmk']",2,2,81,1083016,2.6576995849609375,0.15773344039916992,2.8154330253601074,84.74 MMac
45,"['rerp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",3,3,19,401727,2.5270938873291016,0.2987654209136963,2.825859308242798,12.9 MMac
46,"['rp', 'trrp', 'gad', 'regad', 'trgad', 'mk', 'trmk']",2,3,48,537662,3.5804033279418945,0.2141110897064209,3.7945144176483154,44.57 MMac
47,"['rp', 'gas', 'regad', 'trgad', 'remk', 'trmk']",4,1,27,1391707,4.8980712890625,0.21121478080749512,5.109286069869995,14.79 MMac
48,"['rerp', 'trrp', 'regas', 'trgas', 'gad', 'mk', 'ctwav']",2,3,68,1064967,2.6299238204956055,0.21664834022521973,2.846572160720825,86.39 MMac
49,"['rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trmk']",4,1,14,352924,1.1348485946655273,0.217423677444458,1.3522722721099854,4.47 MMac
50,"['rerp', 'trgas', 'regad', 'mk', 'remk', 'trmk']",2,2,35,219260,1.2720823287963867,0.15947675704956055,1.4315590858459473,18.72 MMac
51,"['rp', 'rerp', 'regad', 'mk', 'ctwav']",3,1,44,836299,2.177715301513672,0.15832042694091797,2.33603572845459,25.03 MMac
52,"['regas', 'trgas', 'trgad', 'mk', 'trmk']",2,2,66,711316,2.6027679443359375,0.16362357139587402,2.7663915157318115,57.21 MMac
53,"['rp', 'rerp', 'trrp', 'gas', 'gad', 'regad', 'remk', 'ctwav']",3,3,22,485480,2.6643991470336914,0.31352758407592773,2.977926731109619,15.64 MMac
54,"['gas', 'trgas', 'regad', 'trgad', 'ctwav']",3,2,15,186202,1.9631028175354004,0.2320573329925537,2.195160150527954,6.13 MMac
55,"['rp', 'rerp', 'trrp', 'regas', 'gad', 'mk', 'remk', 'trmk']",2,1,59,362087,0.7434844970703125,0.11416363716125488,0.8576481342315674,31.13 MMac
56,"['trrp', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",3,1,36,567713,1.6958951950073242,0.11694216728210449,1.8128373622894287,18.58 MMac
57,"['rp', 'rerp', 'regas', 'gad', 'regad', 'trgad', 'remk', 'trmk']",2,1,28,85647,0.7258772850036621,0.08710885047912598,0.8129861354827881,8.39 MMac
58,"['trgas', 'gad', 'remk', 'ctwav']",2,1,93,845884,1.303267478942871,0.114654541015625,1.417922019958496,65.96 MMac
59,"['trrp', 'regas', 'trgas', 'regad', 'trmk']",2,1,20,43357,0.9752988815307617,0.142791748046875,1.1180906295776367,4.14 MMac
60,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'trgad', 'mk']",2,1,16,30302,0.917351245880127,0.1365060806274414,1.0538573265075684,3.28 MMac
61,"['rerp', 'gas', 'regas', 'gad', 'mk', 'remk']",2,1,25,72093,1.013648509979248,0.16341209411621094,1.177060604095459,6.78 MMac
62,"['rp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,87,768836,1.785445213317871,0.2190101146697998,2.004455327987671,64.76 MMac
63,"['rp', 'trgas', 'mk', 'trmk', 'ctwav']",3,2,21,347810,2.2698163986206055,0.2868325710296631,2.5566489696502686,10.93 MMac
64,"['rerp', 'trrp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'remk']",2,1,63,410034,0.7020235061645508,0.15247750282287598,0.8545010089874268,34.96 MMac
65,"['rp', 'trrp', 'gas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",3,1,42,768843,2.28273868560791,0.18417930603027344,2.4669179916381836,24.52 MMac
66,"['rerp', 'gas', 'trgad', 'trmk', 'ctwav']",3,1,51,1164321,2.697014808654785,0.1964113712310791,2.8934261798858643,34.28 MMac
67,"['rp', 'gas', 'regas', 'trgas', 'regad']",2,2,71,844526,2.5336265563964844,0.16997766494750977,2.703604221343994,67.58 MMac
68,"['rerp', 'trrp', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",3,3,29,894578,5.378270149230957,0.3514282703399658,5.729698419570923,27.74 MMac
69,"['rp', 'rerp', 'trrp', 'trgas', 'gad', 'trgad', 'mk']",4,1,17,579975,2.9883384704589844,0.27115511894226074,3.259493589401245,6.89 MMac
70,"['rp', 'rerp', 'gas', 'trgas', 'trgad', 'remk']",2,2,38,243296,1.5649199485778809,0.22319555282592773,1.7881155014038086,20.67 MMac
71,"['trrp', 'gas', 'gad']",2,3,52,618659,3.8901567459106445,0.24593091011047363,4.136087656021118,49.23 MMac
72,"['mk', 'remk']",4,1,31,1808634,4.653060436248779,0.25742220878601074,4.91048264503479,17.33 MMac
73,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,3,75,1340737,4.336202144622803,0.2613348960876465,4.597537040710449,110.77 MMac
74,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'remk', 'trmk', 'ctwav']",3,1,33,507341,1.6432762145996094,0.16879940032958984,1.8120756149291992,16.78 MMac
75,"['gas', 'gad', 'regad', 'trgad', 'mk']",2,2,77,988534,1.8581867218017578,0.16116547584533691,2.0193521976470947,78.82 MMac
76,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,3,12,39257,1.2937307357788086,0.2671685218811035,1.560899257659912,4.05 MMac
77,"['trrp', 'gas', 'regas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",3,2,26,487254,1.2616753578186035,0.24480414390563965,1.5064795017242432,15.87 MMac
78,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'regad', 'mk', 'remk']",2,3,91,1937729,3.7330985069274902,0.23284053802490234,3.9659390449523926,155.8 MMac
79,"['regas', 'gad', 'trgad', 'trmk', 'ctwav']",3,2,47,1627658,4.826903343200684,0.24459052085876465,5.071493864059448,47.56 MMac
80,"['gas', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,93,2016606,4.380404949188232,0.2345273494720459,4.614932298660278,161.23 MMac
81,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad']",3,2,49,1767326,5.958724021911621,0.27104806900024414,6.229772090911865,52.07 MMac
82,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'mk', 'remk']",3,2,27,562452,4.2083024978637695,0.2900846004486084,4.498387098312378,17.81 MMac
83,"['trrp', 'gas', 'regas', 'gad', 'trgad', 'mk']",3,3,21,483324,2.9651999473571777,0.36519837379455566,3.3303983211517334,15.09 MMac
84,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'mk', 'trmk', 'ctwav']",2,2,86,1219696,3.516697883605957,0.24550104141235352,3.7621989250183105,100.54 MMac
85,"['rp', 'rerp', 'trrp', 'trgas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",4,1,22,865278,3.068828582763672,0.5936846733093262,3.662513256072998,10.36 MMac
86,"['gas', 'regas', 'gad', 'regad']",2,2,66,708082,3.248739242553711,0.3137657642364502,3.562505006790161,56.38 MMac
87,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'trgad', 'trmk', 'ctwav']",2,3,43,455765,2.036559581756592,0.2862095832824707,2.3227691650390625,38.39 MMac
88,"['trrp', 'gas', 'remk', 'trmk', 'ctwav']",2,3,37,336956,2.067101001739502,0.2739071846008301,2.341008186340332,27.83 MMac
89,"['gad', 'mk', 'trmk', 'ctwav']",4,2,15,743658,4.189729690551758,0.385453462600708,4.575183153152466,7.78 MMac
90,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,68,764628,2.6521921157836914,0.2150256633758545,2.867217779159546,63.13 MMac
91,"['rp', 'trgas', 'gad', 'mk', 'remk']",3,3,26,670703,5.518865585327148,0.33660030364990234,5.855465888977051,20.29 MMac
92,"['rp', 'trrp', 'gas', 'trgas']",3,1,48,991190,2.3127079010009766,0.22769737243652344,2.5404052734375,28.87 MMac
93,"['rerp', 'gas', 'gad', 'trgad', 'remk']",3,2,35,920072,4.526352882385254,0.3145740032196045,4.840926885604858,27.46 MMac
94,"['rerp', 'trrp', 'trgad', 'mk']",3,3,14,197670,2.946805953979492,0.3276364803314209,3.274442434310913,6.26 MMac
95,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'remk', 'trmk', 'ctwav']",2,1,55,319860,0.7616400718688965,0.1527872085571289,0.9144272804260254,28.23 MMac
96,"['rerp', 'trrp', 'gas', 'gad', 'regad', 'mk', 'remk']",2,1,94,859702,1.1655569076538086,0.12570619583129883,1.2912631034851074,69.5 MMac
97,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,2,32,182514,1.0270357131958008,0.2132103443145752,1.240246057510376,17.11 MMac
98,"['rerp', 'gas', 'regas', 'mk', 'trmk', 'ctwav']",2,1,19,44337,0.5251526832580566,0.11363673210144043,0.6387894153594971,4.39 MMac
99,"['rp', 'gas', 'gad']",4,3,24,2305016,11.098873615264893,0.48424220085144043,11.583115816116333,22.52 MMac
100,"['rp', 'rerp', 'regas', 'trgas', 'gad', 'trgad', 'remk', 'trmk']",2,3,70,1130518,4.242086410522461,0.2928187847137451,4.534905195236206,92.21 MMac
101,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'remk']",3,2,37,1027654,3.4779787063598633,0.3108179569244385,3.7887966632843018,31.39 MMac
102,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'remk']",3,2,45,1497876,5.43365478515625,0.29288578033447266,5.726540565490723,44.41 MMac
