,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1783816,512.8534555435181,0.5114846229553223,513.3649401664734,52.71 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,654176,299.24917221069336,0.5204191207885742,299.76959133148193,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1128668,274.6891260147095,0.46224141120910645,275.1513674259186,89.58 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,680650,205.25879859924316,0.3814876079559326,205.6402862071991,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,876362,256.91800117492676,0.49016427993774414,257.4081654548645,9.82 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,452461,137.79785633087158,0.44016480445861816,138.2380211353302,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,142128,133.11495780944824,0.4447357654571533,133.5596935749054,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1689274,415.21732807159424,0.45241570472717285,415.6697437763214,132.51 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1459191,289.87255096435547,0.36976099014282227,290.2423119544983,41.46 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,51202,105.51717281341553,0.4886155128479004,106.00578832626343,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,307303,96.1869478225708,0.4066452980041504,96.59359312057495,10.49 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2279958,507.8860402107239,0.6417138576507568,508.52775406837463,66.87 MMac
