,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1771180,65.84190130233765,0.05655837059020996,65.89845967292786,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,646580,26.087450981140137,0.057794809341430664,26.145245790481567,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1121072,23.18277359008789,0.05575895309448242,23.238532543182373,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,673702,15.998077392578125,0.043892860412597656,16.041970252990723,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,864446,22.92163372039795,0.0577852725982666,22.979418992996216,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447673,13.111591339111328,0.05680370330810547,13.168395042419434,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139500,13.67642879486084,0.06300783157348633,13.739436626434326,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1679950,42.096734046936035,0.05916643142700195,42.15590047836304,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1444539,29.284286499023438,0.04892897605895996,29.333215475082397,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49438,11.05189323425293,0.09334444999694824,11.145237684249878,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,300715,10.282611846923828,0.052240610122680664,10.334852457046509,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2267826,61.555302143096924,0.09147191047668457,61.64677405357361,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1316750,30.579793453216553,0.05055809020996094,30.630351543426514,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,590602,15.018534660339355,0.037178754806518555,15.055713415145874,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,827446,28.043842315673828,0.06319379806518555,28.107036113739014,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,145150,13.992035388946533,0.061872005462646484,14.05390739440918,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,268105,7.0494771003723145,0.04247546195983887,7.091952562332153,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568923,14.477920532226562,0.04384589195251465,14.521766424179077,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1307025,76.88866853713989,0.12592864036560059,77.0145971775055,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163556,6.511116027832031,0.03700709342956543,6.548123121261597,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,793276,50.29556751251221,0.1069483757019043,50.40251588821411,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2060564,43.95146369934082,0.0706937313079834,44.022157430648804,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137337,6.589901447296143,0.038320302963256836,6.628221750259399,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,234330,6.088805198669434,0.030956029891967773,6.119761228561401,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,465109,5.686306953430176,0.03592419624328613,5.722231149673462,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2263372,53.99150848388672,0.07779574394226074,54.06930422782898,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,651393,12.46645450592041,0.030881404876708984,12.49733591079712,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1140666,27.53770351409912,0.062088966369628906,27.59979248046875,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179621,9.49927568435669,0.04363870620727539,9.542914390563965,6.45 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,445118,8.131575584411621,0.03738141059875488,8.168956995010376,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1514742,28.123104572296143,0.05392575263977051,28.177030324935913,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1756534,24.452805519104004,0.03960728645324707,24.49241280555725,50.07 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,74436,7.961761951446533,0.06920099258422852,8.030962944030762,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,214332,10.95646619796753,0.0532834529876709,11.0097496509552,18.24 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2003920,38.069236278533936,0.053246259689331055,38.12248253822327,157.69 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,561010,19.091272354125977,0.05327343940734863,19.144545793533325,46.9 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,115058,9.042561054229736,0.04070115089416504,9.083262205123901,4.04 MMac
37,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,305583,12.938809394836426,0.055959463119506836,12.994768857955933,25.58 MMac
38,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,45,1496914,35.16150712966919,0.05904126167297363,35.22054839134216,43.83 MMac
39,"['rerp', 'trrp']",3,2,23,410082,15.903258323669434,0.0653998851776123,15.968658208847046,11.93 MMac
40,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,67,1079115,35.388970375061035,0.0684206485748291,35.457391023635864,89.81 MMac
41,"['rp', 'trrp', 'regas', 'regad', 'remk', 'ctwav']",3,2,32,731222,31.49893283843994,0.08388781547546387,31.582820653915405,22.38 MMac
42,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk']",2,3,94,2013132,38.47153186798096,0.06464576721191406,38.53617763519287,160.05 MMac
43,"['rp', 'gas', 'regas', 'gad', 'regad', 'mk', 'ctwav']",3,2,53,2063210,47.90142774581909,0.07232427597045898,47.97375202178955,61.02 MMac
44,"['rp', 'gad', 'trmk']",2,2,81,1084004,20.03920078277588,0.045861244201660156,20.08506202697754,84.74 MMac
45,"['rerp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",3,3,19,402291,20.206797122955322,0.0886988639831543,20.295495986938477,12.9 MMac
46,"['rp', 'trrp', 'gad', 'regad', 'trgad', 'mk', 'trmk']",2,3,48,538242,26.288223266601562,0.06281423568725586,26.35103750228882,44.57 MMac
47,"['rp', 'gas', 'regad', 'trgad', 'remk', 'trmk']",4,1,27,1393391,40.75051546096802,0.06450700759887695,40.815022468566895,14.79 MMac
48,"['rerp', 'trrp', 'regas', 'trgas', 'gad', 'mk', 'ctwav']",2,3,68,1065787,28.693366050720215,0.0649726390838623,28.758338689804077,86.39 MMac
49,"['rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trmk']",4,1,14,353768,13.255596160888672,0.06555056571960449,13.321146726608276,4.47 MMac
50,"['rerp', 'trgas', 'regad', 'mk', 'remk', 'trmk']",2,2,35,219696,10.010242462158203,0.042783260345458984,10.053025722503662,18.72 MMac
51,"['rp', 'rerp', 'regad', 'mk', 'ctwav']",3,1,44,837535,17.920470237731934,0.04061317443847656,17.96108341217041,25.03 MMac
52,"['regas', 'trgas', 'trgad', 'mk', 'trmk']",2,2,66,712112,17.882800102233887,0.04025745391845703,17.923057556152344,57.21 MMac
53,"['rp', 'rerp', 'trrp', 'gas', 'gad', 'regad', 'remk', 'ctwav']",3,3,22,486100,16.95657968521118,0.0732874870300293,17.02986717224121,15.64 MMac
54,"['gas', 'trgas', 'regad', 'trgad', 'ctwav']",3,2,15,186654,16.256725788116455,0.08694314956665039,16.343668937683105,6.13 MMac
55,"['rp', 'rerp', 'trrp', 'regas', 'gad', 'mk', 'remk', 'trmk']",2,1,59,362811,7.705795764923096,0.04636025428771973,7.752156019210815,31.14 MMac
56,"['trrp', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",3,1,36,568725,18.719148635864258,0.04559826850891113,18.76474690437317,18.58 MMac
57,"['rp', 'rerp', 'regas', 'gad', 'regad', 'trgad', 'remk', 'trmk']",2,1,28,85987,5.778312683105469,0.0287172794342041,5.807029962539673,8.39 MMac
58,"['trgas', 'gad', 'remk', 'ctwav']",2,1,93,847016,11.044716835021973,0.025707483291625977,11.070424318313599,65.96 MMac
59,"['trrp', 'regas', 'trgas', 'regad', 'trmk']",2,1,20,43601,6.023883819580078,0.026666879653930664,6.050550699234009,4.14 MMac
60,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'trgad', 'mk']",2,1,16,30498,5.946803092956543,0.03065776824951172,5.977460861206055,3.28 MMac
61,"['rerp', 'gas', 'regas', 'gad', 'mk', 'remk']",2,1,25,72409,6.353437900543213,0.030720949172973633,6.3841588497161865,6.78 MMac
62,"['rp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,87,769896,9.732341766357422,0.0303194522857666,9.762661218643188,64.76 MMac
63,"['rp', 'trgas', 'mk', 'trmk', 'ctwav']",3,2,21,348430,12.304508686065674,0.05068659782409668,12.35519528388977,10.93 MMac
