,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1770478,44.583821296691895,0.008064985275268555,44.59188628196716,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,646158,3.1641483306884766,0.00798344612121582,3.1721317768096924,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120650,2.5571584701538086,0.005846261978149414,2.563004732131958,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,673316,1.9265174865722656,0.004671335220336914,1.9311888217926025,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863784,2.7261734008789062,0.0059070587158203125,2.7320804595947266,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447407,1.4592409133911133,0.005490779876708984,1.4647316932678223,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139354,1.5970587730407715,0.0055103302001953125,1.6025691032409668,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1679432,5.94559907913208,0.0071141719818115234,5.952713251113892,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1443725,4.972279071807861,0.005852699279785156,4.9781317710876465,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49340,1.6975760459899902,0.010973215103149414,1.7085492610931396,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,300349,1.501142978668213,0.0068416595458984375,1.5079846382141113,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2267152,7.627451419830322,0.010766029357910156,7.638217449188232,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1316208,3.722512722015381,0.006336212158203125,3.728848934173584,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,590132,1.8025636672973633,0.004694461822509766,1.807258129119873,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826968,4.987978935241699,0.008751153945922852,4.996730089187622,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144952,2.371823787689209,0.008242368698120117,2.380066156387329,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267791,1.0260462760925293,0.004476785659790039,1.0305230617523193,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568465,1.8169641494750977,0.005071878433227539,1.8220360279083252,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1306483,12.03625202178955,0.013993263244628906,12.05024528503418,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163314,1.1150240898132324,0.004860639572143555,1.119884729385376,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792854,7.751917839050293,0.013771772384643555,7.7656896114349365,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2059806,7.643938064575195,0.008745193481445312,7.652683258056641,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137119,0.9495019912719727,0.004968166351318359,0.954470157623291,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,234040,0.7837057113647461,0.0047817230224609375,0.788487434387207,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,464699,1.063704490661621,0.006040811538696289,1.0697453022003174,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2262530,7.976925373077393,0.010329008102416992,7.98725438117981,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,650899,1.809072494506836,0.004679679870605469,1.8137521743774414,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1140104,3.770756721496582,0.008762359619140625,3.7795190811157227,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179339,1.598823070526123,0.006540536880493164,1.6053636074066162,6.45 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,444668,1.3211727142333984,0.0058934688568115234,1.32706618309021,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1514164,4.365813732147217,0.008309364318847656,4.3741230964660645,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1755636,4.17637825012207,0.0062906742095947266,4.182668924331665,50.07 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,74314,1.3410449028015137,0.013474464416503906,1.3545193672180176,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,214150,1.7423152923583984,0.00763702392578125,1.7499523162841797,18.24 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2003354,7.000994682312012,0.0075931549072265625,7.008587837219238,157.69 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,560660,3.0966997146606445,0.0071675777435302734,3.103867292404175,46.9 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,114832,1.4168143272399902,0.006147623062133789,1.422961950302124,4.04 MMac
37,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,305365,1.9639849662780762,0.007812738418579102,1.9717977046966553,25.58 MMac
38,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,45,1496268,7.944881916046143,0.008947610855102539,7.953829526901245,43.83 MMac
39,"['rerp', 'trrp']",3,2,23,409744,2.4210572242736816,0.008192300796508789,2.4292495250701904,11.93 MMac
40,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,67,1078705,4.652523994445801,0.01041555404663086,4.662939548492432,89.81 MMac
41,"['rp', 'trrp', 'regas', 'regad', 'remk', 'ctwav']",3,2,32,730772,4.18703556060791,0.008464336395263672,4.195499897003174,22.38 MMac
42,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk']",2,3,94,2012566,4.752087593078613,0.0076711177825927734,4.759758710861206,160.05 MMac
43,"['rp', 'gas', 'regas', 'gad', 'regad', 'mk', 'ctwav']",3,2,53,2062452,6.269645690917969,0.010425090789794922,6.280070781707764,61.02 MMac
44,"['rp', 'gad', 'trmk']",2,2,81,1083510,2.666473388671875,0.0062139034271240234,2.672687292098999,84.74 MMac
45,"['rerp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",3,3,19,402009,3.1667232513427734,0.012158870697021484,3.178882122039795,12.9 MMac
46,"['rp', 'trrp', 'gad', 'regad', 'trgad', 'mk', 'trmk']",2,3,48,537952,3.3889055252075195,0.008316278457641602,3.397221803665161,44.57 MMac
47,"['rp', 'gas', 'regad', 'trgad', 'remk', 'trmk']",4,1,27,1392549,6.002748012542725,0.009257793426513672,6.012005805969238,14.79 MMac
48,"['rerp', 'trrp', 'regas', 'trgas', 'gad', 'mk', 'ctwav']",2,3,68,1065377,3.3102989196777344,0.008899211883544922,3.3191981315612793,86.39 MMac
49,"['rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trmk']",4,1,14,353346,1.4644503593444824,0.00844883918762207,1.4728991985321045,4.47 MMac
50,"['rerp', 'trgas', 'regad', 'mk', 'remk', 'trmk']",2,2,35,219478,1.5846848487854004,0.006812334060668945,1.5914971828460693,18.72 MMac
51,"['rp', 'rerp', 'regad', 'mk', 'ctwav']",3,1,44,836917,2.6033401489257812,0.006814718246459961,2.610154867172241,25.03 MMac
52,"['regas', 'trgas', 'trgad', 'mk', 'trmk']",2,2,66,711714,2.910327911376953,0.006639957427978516,2.9169678688049316,57.21 MMac
