,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1769776,423.3787536621094,0.19480037689208984,423.57355403900146,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645736,250.34160614013672,0.1904587745666504,250.53206491470337,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120228,252.98771858215332,0.16877961158752441,253.15649819374084,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,672930,187.53724098205566,0.13884735107421875,187.67608833312988,54.74 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863122,235.1179838180542,0.17423796653747559,235.29222178459167,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447141,131.4339518547058,0.1758406162261963,131.609792470932,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139208,133.43546390533447,0.19399309158325195,133.62945699691772,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1678914,349.7222900390625,0.16846966743469238,349.8907597064972,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1442911,277.26327180862427,0.13508176803588867,277.39835357666016,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49242,73.74218702316284,0.24068617820739746,73.98287320137024,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,299983,89.26174640655518,0.2079143524169922,89.46966075897217,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266478,489.04398679733276,0.23439526557922363,489.278382062912,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315666,279.12272214889526,0.16094589233398438,279.28366804122925,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589662,123.0212926864624,0.11346864700317383,123.13476133346558,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826490,260.66839694976807,0.19228506088256836,260.86068201065063,25.92 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144754,136.89724206924438,0.18754887580871582,137.0847909450531,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267477,59.43784713745117,0.11533665657043457,59.553183794021606,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568007,125.35836696624756,0.10901260375976562,125.46737957000732,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1305941,541.287624835968,0.4116675853729248,541.6992924213409,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163072,62.1209979057312,0.11158204078674316,62.232579946517944,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792432,356.3377618789673,0.2814335823059082,356.6191954612732,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2059048,417.2460079193115,0.1896677017211914,417.4356756210327,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,136901,63.11156749725342,0.11769700050354004,63.22926449775696,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,233750,62.37621307373047,0.11525321006774902,62.49146628379822,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,464289,53.88516187667847,0.12530159950256348,54.01046347618103,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2261688,420.01869678497314,0.22812247276306152,420.2468192577362,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,650405,118.33455562591553,0.11242032051086426,118.44697594642639,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1139542,272.58942127227783,0.19034767150878906,272.7797689437866,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179057,87.19946146011353,0.1620159149169922,87.36147737503052,6.45 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,444218,86.42357587814331,0.13491415977478027,86.55849003791809,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1513586,278.9281368255615,0.14493799209594727,279.07307481765747,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1754738,270.21539211273193,0.1480107307434082,270.36340284347534,50.07 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,74192,82.68942832946777,0.1594829559326172,82.84891128540039,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,213968,116.2158727645874,0.17042040824890137,116.3862931728363,18.24 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2002788,380.1566004753113,0.17363929748535156,380.33023977279663,157.69 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,560310,184.44490432739258,0.14373373985290527,184.58863806724548,46.9 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,114606,84.0448260307312,0.13379287719726562,84.17861890792847,4.04 MMac
