,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1782763,68.93248558044434,0.2979269027709961,69.23041248321533,52.71 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,653543,24.994468688964844,0.5108046531677246,25.50527334213257,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1128035,28.160953521728516,0.43512701988220215,28.596080541610718,89.58 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,680071,19.84241008758545,0.34717655181884766,20.189586639404297,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,875369,26.580214500427246,0.4522566795349121,27.032471179962158,9.82 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,452062,14.486336708068848,0.40694260597229004,14.893279314041138,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,141909,14.078772068023682,0.4671342372894287,14.54590630531311,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1688497,35.81167459487915,0.32990145683288574,36.141576051712036,132.51 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1457970,25.447404384613037,0.2702445983886719,25.71764898300171,41.46 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,51055,7.454276084899902,0.400449275970459,7.854725360870361,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,306754,9.817111492156982,0.36604785919189453,10.183159351348877,10.49 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2278947,62.08294630050659,0.6066000461578369,62.68954634666443,66.87 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1325693,31.1562180519104,0.37547779083251953,31.53169584274292,105.02 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,598357,13.226461410522461,0.24216389656066895,13.46862530708313,47.17 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,835333,32.86778926849365,0.4965798854827881,33.36436915397644,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,148417,15.572941303253174,0.463702917098999,16.036644220352173,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,273286,5.963432788848877,0.23560476303100586,6.199037551879883,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,576480,12.578487396240234,0.25951623916625977,12.838003635406494,46.83 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1315968,73.28696250915527,0.8430426120758057,74.13000512123108,14.32 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,167549,6.43535852432251,0.24228930473327637,6.677647829055786,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,800239,49.28784370422363,0.761157751083374,50.04900145530701,8.74 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2073071,40.9589409828186,0.4066441059112549,41.36558508872986,60.36 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,140934,5.753898620605469,0.19446349143981934,5.948362112045288,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,239115,5.018126964569092,0.18148255348205566,5.1996095180511475,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,471874,5.916452407836914,0.29644250869750977,6.212894916534424,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2277265,62.26859092712402,0.5983507633209229,62.866941690444946,22.42 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,659544,13.418841361999512,0.28245067596435547,13.701292037963867,51.84 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1149939,31.64646625518799,0.48967552185058594,32.136141777038574,35.07 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,184274,10.222721099853516,0.3493359088897705,10.572057008743286,6.46 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,452543,9.273993968963623,0.3268134593963623,9.600807428359985,13.47 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1524279,24.3630051612854,0.3532748222351074,24.716279983520508,123.74 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1771351,29.6089768409729,0.32496023178100586,29.933937072753906,50.09 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,76449,7.222175598144531,0.3969380855560303,7.6191136837005615,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,217335,13.047218322753906,0.4295063018798828,13.476724624633789,18.24 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2013259,44.37117576599121,0.4075798988342285,44.77875566482544,157.7 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,566785,20.983290672302246,0.3577115535736084,21.341002225875854,46.91 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,118787,9.89755392074585,0.3221468925476074,10.219700813293457,4.04 MMac
37,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,309180,14.18236494064331,0.4066646099090576,14.589029550552368,25.59 MMac
38,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,45,1507573,49.556851387023926,0.46927905082702637,50.02613043785095,43.84 MMac
39,"['rerp', 'trrp']",3,2,23,415659,15.449810028076172,0.4284064769744873,15.87821650505066,11.94 MMac
40,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,67,1085880,19.02596950531006,0.46758055686950684,19.493550062179565,89.81 MMac
41,"['rp', 'trrp', 'regas', 'regad', 'remk', 'ctwav']",3,2,32,738647,28.3846378326416,0.4257652759552002,28.8104031085968,22.39 MMac
42,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk']",2,3,94,2022471,37.38892078399658,0.3868100643157959,37.77573084831238,160.06 MMac
43,"['rp', 'gas', 'regas', 'gad', 'regad', 'mk', 'ctwav']",3,2,53,2075717,43.361878395080566,0.37555599212646484,43.73743438720703,61.03 MMac
44,"['rp', 'gad', 'trmk']",2,2,81,1092155,17.71986484527588,0.24373888969421387,17.963603734970093,84.74 MMac
45,"['rerp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",3,3,19,406944,18.9797043800354,0.6001849174499512,19.57988929748535,12.91 MMac
46,"['rp', 'trrp', 'gad', 'regad', 'trgad', 'mk', 'trmk']",2,3,48,543027,27.677536010742188,0.43420934677124023,28.111745357513428,44.57 MMac
47,"['rp', 'gas', 'regad', 'trgad', 'remk', 'trmk']",4,1,27,1407284,40.4913067817688,0.43518614768981934,40.92649292945862,14.81 MMac
48,"['rerp', 'trrp', 'regas', 'trgas', 'gad', 'mk', 'ctwav']",2,3,68,1072552,28.069329261779785,0.4663400650024414,28.535669326782227,86.4 MMac
49,"['rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trmk']",4,1,14,360731,13.102614879608154,0.4542677402496338,13.556882619857788,4.48 MMac
50,"['rerp', 'trgas', 'regad', 'mk', 'remk', 'trmk']",2,2,35,223293,10.580694675445557,0.34876179695129395,10.92945647239685,18.72 MMac
51,"['rp', 'rerp', 'regad', 'mk', 'ctwav']",3,1,44,847732,18.878817558288574,0.34168028831481934,19.220497846603394,25.04 MMac
52,"['regas', 'trgas', 'trgad', 'mk', 'trmk']",2,2,66,718679,20.17989158630371,0.28165173530578613,20.461543321609497,57.22 MMac
53,"['rp', 'rerp', 'trrp', 'gas', 'gad', 'regad', 'remk', 'ctwav']",3,3,22,491215,17.961347103118896,0.5151500701904297,18.476497173309326,15.65 MMac
54,"['gas', 'trgas', 'regad', 'trgad', 'ctwav']",3,2,15,190383,13.589823246002197,0.37049245834350586,13.960315704345703,6.13 MMac
55,"['rp', 'rerp', 'trrp', 'regas', 'gad', 'mk', 'remk', 'trmk']",2,1,59,368784,5.725133419036865,0.18932151794433594,5.914454936981201,31.14 MMac
56,"['trrp', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",3,1,36,577074,16.220927238464355,0.25556254386901855,16.476489782333374,18.59 MMac
57,"['rp', 'rerp', 'regas', 'gad', 'regad', 'trgad', 'remk', 'trmk']",2,1,28,88792,6.056952476501465,0.2434828281402588,6.300435304641724,8.39 MMac
58,"['trgas', 'gad', 'remk', 'ctwav']",2,1,93,856355,11.584782600402832,0.2471928596496582,11.83197546005249,65.97 MMac
59,"['trrp', 'regas', 'trgas', 'regad', 'trmk']",2,1,20,45614,6.110942363739014,0.24448513984680176,6.355427503585815,4.15 MMac
60,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'trgad', 'mk']",2,1,16,32115,5.6807756423950195,0.2637636661529541,5.944539308547974,3.28 MMac
61,"['rerp', 'gas', 'regas', 'gad', 'mk', 'remk']",2,1,25,75016,6.22183084487915,0.2567627429962158,6.478593587875366,6.78 MMac
62,"['rp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,87,778641,9.567475318908691,0.24234795570373535,9.809823274612427,64.77 MMac
63,"['rp', 'trgas', 'mk', 'trmk', 'ctwav']",3,2,21,353545,13.404524326324463,0.3775784969329834,13.782102823257446,10.94 MMac
64,"['rerp', 'trrp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'remk']",2,1,63,417175,5.720663070678711,0.19216370582580566,5.912826776504517,34.97 MMac
65,"['rp', 'trrp', 'gas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",3,1,42,779758,20.16727924346924,0.38676905632019043,20.55404829978943,24.53 MMac
66,"['rerp', 'gas', 'trgad', 'trmk', 'ctwav']",3,1,51,1177826,18.950557708740234,0.3490767478942871,19.29963445663452,34.3 MMac
67,"['rp', 'gas', 'regas', 'trgas', 'regad']",2,2,71,852555,21.10919952392578,0.3474915027618408,21.456691026687622,67.59 MMac
68,"['rerp', 'trrp', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",3,3,29,902385,40.061235427856445,0.6093616485595703,40.670597076416016,27.75 MMac
69,"['rp', 'rerp', 'trrp', 'trgas', 'gad', 'trgad', 'mk']",4,1,17,590002,26.15342140197754,0.43196773529052734,26.585389137268066,6.9 MMac
70,"['rp', 'rerp', 'gas', 'trgas', 'trgad', 'remk']",2,2,38,247551,10.875856876373291,0.33945631980895996,11.215313196182251,20.67 MMac
71,"['trrp', 'gas', 'gad']",2,3,52,624468,26.28645896911621,0.37920403480529785,26.66566300392151,49.23 MMac
72,"['mk', 'remk']",4,1,31,1826431,38.942885398864746,0.39089179039001465,39.33377718925476,17.34 MMac
73,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,3,75,1349210,32.623279094696045,0.5048000812530518,33.1280791759491,110.78 MMac
74,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'remk', 'trmk', 'ctwav']",3,1,33,516184,16.431427001953125,0.3555123805999756,16.7869393825531,16.79 MMac
75,"['gas', 'gad', 'regad', 'trgad', 'mk']",2,2,77,997229,19.916367530822754,0.32723045349121094,20.243597984313965,78.83 MMac
76,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,3,12,40626,10.587632656097412,0.47561168670654297,11.063244342803955,4.06 MMac
77,"['trrp', 'gas', 'regas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",3,2,26,494025,14.16085958480835,0.4999997615814209,14.66085934638977,15.88 MMac
78,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'regad', 'mk', 'remk']",2,3,91,1947978,44.37103271484375,0.45510077476501465,44.826133489608765,155.81 MMac
79,"['regas', 'gad', 'trgad', 'trmk', 'ctwav']",3,2,47,1640127,47.05621004104614,0.4678022861480713,47.524012327194214,47.58 MMac
80,"['gas', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,93,2027077,42.12673902511597,0.4451882839202881,42.571927309036255,161.24 MMac
81,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad']",3,2,49,1780313,47.889769077301025,0.47733020782470703,48.36709928512573,52.09 MMac
82,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'mk', 'remk']",3,2,27,569741,29.32438850402832,0.37367701530456543,29.698065519332886,17.81 MMac
83,"['trrp', 'gas', 'regas', 'gad', 'trgad', 'mk']",3,3,21,489059,17.641901969909668,0.47173404693603516,18.113636016845703,15.1 MMac
84,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'mk', 'trmk', 'ctwav']",2,2,86,1229279,23.195135593414307,0.41791605949401855,23.613051652908325,100.55 MMac
85,"['rp', 'rerp', 'trrp', 'trgas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",4,1,22,877525,18.800806999206543,0.5014424324035645,19.302249431610107,10.37 MMac
86,"['gas', 'regas', 'gad', 'regad']",2,2,66,715445,20.3183650970459,0.32594823837280273,20.6443133354187,56.39 MMac
87,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'trgad', 'trmk', 'ctwav']",2,3,43,460686,13.925468921661377,0.43718695640563965,14.362655878067017,38.4 MMac
88,"['trrp', 'gas', 'remk', 'trmk', 'ctwav']",2,3,37,341211,13.157200813293457,0.41403841972351074,13.571239233016968,27.83 MMac
89,"['gad', 'mk', 'trmk', 'ctwav']",4,2,15,752575,39.044952392578125,0.5728418827056885,39.61779427528381,7.79 MMac
90,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,68,772213,20.726490020751953,0.3525857925415039,21.079075813293457,63.14 MMac
91,"['rp', 'trgas', 'gad', 'mk', 'remk']",3,3,26,677474,40.004944801330566,0.6012346744537354,40.6061794757843,20.29 MMac
92,"['rp', 'trrp', 'gas', 'trgas']",3,1,48,1003659,18.889594078063965,0.3320770263671875,19.221671104431152,28.89 MMac
93,"['rerp', 'gas', 'gad', 'trgad', 'remk']",3,2,35,929433,24.564552307128906,0.37758398056030273,24.94213628768921,27.47 MMac
94,"['rerp', 'trrp', 'trgad', 'mk']",3,3,14,201333,17.65197515487671,0.5473785400390625,18.19935369491577,6.27 MMac
95,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'remk', 'trmk', 'ctwav']",2,1,55,326113,4.527020454406738,0.2564973831176758,4.783517837524414,28.23 MMac
96,"['rerp', 'trrp', 'gas', 'gad', 'regad', 'mk', 'remk']",2,1,94,870173,12.453722953796387,0.27480292320251465,12.728525876998901,69.51 MMac
97,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,2,32,186103,7.504034042358398,0.41173338890075684,7.915767431259155,17.12 MMac
98,"['rerp', 'gas', 'regas', 'mk', 'trmk', 'ctwav']",2,1,19,46594,6.4096808433532715,0.2398395538330078,6.649520397186279,4.4 MMac
99,"['rp', 'gas', 'gad']",4,3,24,2318373,75.98093748092651,0.7485866546630859,76.7295241355896,22.54 MMac
100,"['rp', 'rerp', 'regas', 'trgas', 'gad', 'trgad', 'remk', 'trmk']",2,3,70,1138325,26.799631118774414,0.46135544776916504,27.26098656654358,92.21 MMac
101,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'remk']",3,2,37,1037533,30.935287475585938,0.49300289154052734,31.428290367126465,31.4 MMac
102,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'remk']",3,2,45,1509827,44.82346773147583,0.475677490234375,45.299145221710205,44.42 MMac
103,"['gas', 'regas', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,2,86,1220851,31.74222707748413,0.3583958148956299,32.10062289237976,98.39 MMac
