,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1771531,55.08835315704346,0.028920412063598633,55.117273569107056,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,646791,12.206649780273438,0.028214454650878906,12.234864234924316,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1121283,10.386157035827637,0.021314382553100586,10.407471418380737,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,673895,8.788681030273438,0.016938447952270508,8.805619478225708,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,864777,13.044500350952148,0.025379180908203125,13.069879531860352,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447806,7.2478532791137695,0.021442174911499023,7.2692954540252686,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139573,7.513737678527832,0.023134469985961914,7.536872148513794,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1680209,18.57815980911255,0.020940303802490234,18.59910011291504,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1444946,10.645508766174316,0.015681982040405273,10.661190748214722,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49487,5.309772491455078,0.021016359329223633,5.330788850784302,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,300898,4.411077499389648,0.01805591583251953,4.429133415222168,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2268163,25.591814517974854,0.03851437568664551,25.6303288936615,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1317021,11.428499221801758,0.016869068145751953,11.44536828994751,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,590837,5.695438385009766,0.011391401290893555,5.706829786300659,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,827685,14.58594799041748,0.025276899337768555,14.611224889755249,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,145249,7.219195365905762,0.02386927604675293,7.243064641952515,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,268262,2.5528311729431152,0.011174440383911133,2.5640056133270264,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,569152,5.136990547180176,0.013602972030639648,5.150593519210815,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1307296,36.39196157455444,0.044603824615478516,36.43656539916992,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163677,3.421199321746826,0.012591361999511719,3.433790683746338,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,793487,27.042722702026367,0.043271541595458984,27.085994243621826,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2060943,23.463106155395508,0.026205778121948242,23.489311933517456,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137446,3.437507152557373,0.014028787612915039,3.451535940170288,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,234475,3.3587098121643066,0.014064550399780273,3.372774362564087,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,465314,2.855706214904785,0.01625514030456543,2.8719613552093506,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2263793,29.786574840545654,0.03389716148376465,29.82047200202942,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,651640,6.458449363708496,0.013082504272460938,6.471531867980957,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1140947,14.344358444213867,0.0274198055267334,14.3717782497406,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179762,4.869377613067627,0.019087553024291992,4.888465166091919,6.46 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,445343,4.164636135101318,0.015407085418701172,4.1800432205200195,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1515031,14.73172903060913,0.022168636322021484,14.753897666931152,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1756983,11.46855354309082,0.015810489654541016,11.484364032745361,50.07 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,74497,5.310797691345215,0.02151966094970703,5.332317352294922,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,214423,7.236909866333008,0.023078441619873047,7.259988307952881,18.24 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2004203,19.61606740951538,0.02061152458190918,19.63667893409729,157.69 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,561185,10.928773880004883,0.019907712936401367,10.948681592941284,46.9 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,115171,4.880952835083008,0.018188953399658203,4.899141788482666,4.04 MMac
37,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,305692,7.579302787780762,0.024409770965576172,7.603712558746338,25.58 MMac
38,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,45,1497237,23.798203468322754,0.027073144912719727,23.825276613235474,43.83 MMac
39,"['rerp', 'trrp']",3,2,23,410251,7.445180416107178,0.024016857147216797,7.4691972732543945,11.93 MMac
40,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,67,1079320,15.495848655700684,0.029440641403198242,15.525289297103882,89.81 MMac
41,"['rp', 'trrp', 'regas', 'regad', 'remk', 'ctwav']",3,2,32,731447,16.280603408813477,0.026972055435180664,16.307575464248657,22.38 MMac
