,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1770127,94.24867630004883,0.0579838752746582,94.30666017532349,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645947,53.36933135986328,0.06666183471679688,53.43599319458008,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120439,54.68728542327881,0.06288337707519531,54.750168800354004,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,673123,38.92931938171387,0.048888206481933594,38.9782075881958,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863453,52.16662883758545,0.06220579147338867,52.22883462905884,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447274,20.17035484313965,0.05164670944213867,20.222001552581787,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139281,26.348137855529785,0.05305647850036621,26.40119433403015,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1679173,70.84025144577026,0.05440568923950195,70.89465713500977,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1443318,50.65476894378662,0.04400062561035156,50.69876956939697,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49291,17.197704315185547,0.05528974533081055,17.252994060516357,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,300166,17.225956916809082,0.051070213317871094,17.277027130126953,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266815,111.33280992507935,0.08905935287475586,111.4218692779541,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315937,58.40052366256714,0.0483851432800293,58.44890880584717,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589897,28.478121757507324,0.03549909591674805,28.513620853424072,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826729,55.69710731506348,0.062250614166259766,55.759357929229736,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144853,27.65144109725952,0.06789970397949219,27.719340801239014,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267634,11.824727058410645,0.03542280197143555,11.86014986038208,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568236,17.95964241027832,0.030820369720458984,17.99046277999878,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1306212,138.24405670166016,0.09042215347290039,138.33447885513306,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163193,11.139333248138428,0.03313565254211426,11.172468900680542,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792643,77.27351188659668,0.1003272533416748,77.37383913993835,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2059427,81.67015314102173,0.06551957130432129,81.73567271232605,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137010,11.670184135437012,0.0327608585357666,11.702944993972778,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,233895,9.648609161376953,0.029178380966186523,9.67778754234314,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,464494,10.602009296417236,0.03641247749328613,10.638421773910522,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2262109,105.46932220458984,0.08528590202331543,105.55460810661316,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,650652,22.74932861328125,0.03378915786743164,22.78311777114868,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1139823,49.59757328033447,0.056591033935546875,49.65416431427002,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179198,17.535972595214844,0.04644632339477539,17.58241891860962,6.45 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,444443,17.34471321105957,0.04399514198303223,17.388708353042603,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1513875,61.908602714538574,0.06025528907775879,61.96885800361633,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1755187,47.12408781051636,0.04016900062561035,47.16425681114197,50.07 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,74253,17.92762279510498,0.050652265548706055,17.978275060653687,7.32 MMac
