,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1769776,126.31072998046875,0.07762503623962402,126.38835501670837,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645736,82.46665000915527,0.08510136604309082,82.55175137519836,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120228,75.93724727630615,0.07755684852600098,76.01480412483215,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,672930,53.12373638153076,0.06351280212402344,53.187249183654785,54.74 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863122,71.3796615600586,0.08151674270629883,71.46117830276489,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447141,37.44858503341675,0.07315611839294434,37.52174115180969,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139208,37.92119026184082,0.07660841941833496,37.997798681259155,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1678914,112.92411088943481,0.07675909996032715,113.00086998939514,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1442911,78.56730222702026,0.06380963325500488,78.63111186027527,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49242,20.90778350830078,0.05205535888671875,20.9598388671875,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,299983,25.7254958152771,0.0659940242767334,25.791489839553833,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266478,147.71372079849243,0.09817194938659668,147.81189274787903,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315666,78.14072370529175,0.05168747901916504,78.19241118431091,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589662,34.237122535705566,0.04776811599731445,34.28489065170288,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826490,80.43768405914307,0.08544349670410156,80.52312755584717,25.92 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144754,40.95466136932373,0.08321619033813477,41.037877559661865,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267477,17.032301425933838,0.052947044372558594,17.085248470306396,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568007,36.09788417816162,0.05052304267883301,36.148407220840454,46.82 MMac
