,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1771180,98.93134832382202,0.05760049819946289,98.98894882202148,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,646580,41.31731986999512,0.053003787994384766,41.3703236579895,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1121072,47.794294357299805,0.045845746994018555,47.84014010429382,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,673702,29.866361618041992,0.03842616081237793,29.90478777885437,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,864446,46.83976173400879,0.062276363372802734,46.90203809738159,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447673,27.563750743865967,0.058176279067993164,27.62192702293396,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139500,25.616157054901123,0.056508541107177734,25.6726655960083,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1679950,72.71919250488281,0.06081056594848633,72.7800030708313,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1444539,59.474873542785645,0.05226612091064453,59.52713966369629,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49438,21.01128101348877,0.06035304069519043,21.07163405418396,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,300715,18.179965019226074,0.05121922492980957,18.231184244155884,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2267826,96.44773006439209,0.07473540306091309,96.522465467453,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1316750,47.601521015167236,0.041062355041503906,47.64258337020874,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,590602,22.887682914733887,0.03132963180541992,22.919012546539307,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,827446,63.719987869262695,0.06866812705993652,63.78865599632263,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,145150,30.160939693450928,0.06646323204040527,30.227402925491333,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,268105,12.989771366119385,0.03553414344787598,13.02530550956726,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568923,24.036312103271484,0.03256845474243164,24.068880558013916,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1307025,131.87813758850098,0.09548711776733398,131.9736247062683,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163556,8.522343635559082,0.026937007904052734,8.549280643463135,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,793276,86.9152307510376,0.08735537528991699,87.00258612632751,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2060564,73.88055324554443,0.05965113639831543,73.94020438194275,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137337,9.16759967803955,0.028309345245361328,9.195909023284912,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,234330,11.430346965789795,0.03893542289733887,11.469282388687134,20.36 MMac
