,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1770127,107.48387575149536,0.10779428482055664,107.59167003631592,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645947,45.93205451965332,0.10929250717163086,46.04134702682495,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120439,52.35462188720703,0.09234118461608887,52.44696307182312,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,673123,34.02533531188965,0.07004475593566895,34.09538006782532,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863453,40.399861335754395,0.09801793098449707,40.49787926673889,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447274,26.64874792098999,0.0959615707397461,26.744709491729736,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139281,23.72417449951172,0.0869755744934082,23.811150074005127,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1679173,63.153183460235596,0.09309816360473633,63.24628162384033,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1443318,51.01919174194336,0.0737152099609375,51.0929069519043,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49291,13.657093048095703,0.08304452896118164,13.740137577056885,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,300166,18.1473970413208,0.08474850654602051,18.23214554786682,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266815,101.96278095245361,0.13534069061279297,102.0981216430664,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315937,54.24935817718506,0.08079028129577637,54.330148458480835,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589897,24.52373504638672,0.05915021896362305,24.582885265350342,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826729,52.45039463043213,0.10985970497131348,52.56025433540344,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144853,27.663767337799072,0.10628223419189453,27.770049571990967,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267634,8.77307653427124,0.04891848564147949,8.82199501991272,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568236,20.137381553649902,0.05817747116088867,20.19555902481079,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1306212,114.67781066894531,0.15686535835266113,114.83467602729797,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163193,11.924636363983154,0.057961225509643555,11.982597589492798,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792643,81.26709461212158,0.15009760856628418,81.41719222068787,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2059427,77.48301029205322,0.10299515724182129,77.58600544929504,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137010,10.558891296386719,0.04616570472717285,10.605057001113892,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,233895,12.84092664718628,0.07736921310424805,12.918295860290527,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,464494,13.07896375656128,0.06780838966369629,13.146772146224976,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2262109,85.26545763015747,0.12472414970397949,85.39018177986145,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,650652,23.1447696685791,0.054837942123413086,23.199607610702515,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1139823,54.18972969055176,0.09640955924987793,54.286139249801636,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179198,15.11547565460205,0.07214665412902832,15.187622308731079,6.45 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,444443,17.73587465286255,0.07403683662414551,17.809911489486694,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1513875,54.34763431549072,0.09758782386779785,54.44522213935852,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1755187,53.45320701599121,0.07333087921142578,53.52653789520264,50.07 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,74253,18.696558475494385,0.19495224952697754,18.891510725021362,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,214059,19.947350025177002,0.09148502349853516,20.038835048675537,18.24 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2003071,72.59799242019653,0.09433627128601074,72.69232869148254,157.69 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,560485,37.87670135498047,0.1181943416595459,37.994895696640015,46.9 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,114719,18.381106853485107,0.0734717845916748,18.454578638076782,4.04 MMac
37,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,305256,23.205745220184326,0.09534311294555664,23.301088333129883,25.58 MMac
38,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,45,1495945,87.46622800827026,0.10763049125671387,87.57385849952698,43.83 MMac
39,"['rerp', 'trrp']",3,2,23,409575,27.68263816833496,0.09507465362548828,27.77771282196045,11.93 MMac
