,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1770127,85.9430193901062,0.08168673515319824,86.0247061252594,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645947,45.51706314086914,0.09950065612792969,45.61656379699707,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120439,48.15678596496582,0.08307433128356934,48.23986029624939,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,673123,37.61012554168701,0.08367300033569336,37.693798542022705,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863453,37.76144981384277,0.08089089393615723,37.84234070777893,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447274,23.124969005584717,0.07936954498291016,23.204338550567627,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139281,23.10183048248291,0.08203649520874023,23.18386697769165,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1679173,63.70950937271118,0.08093953132629395,63.790448904037476,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1443318,48.20830821990967,0.0658724308013916,48.27418065071106,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49291,13.389956951141357,0.06682395935058594,13.456780910491943,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,300166,11.600935459136963,0.05729246139526367,11.658227920532227,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266815,71.51051759719849,0.10175371170043945,71.61227130889893,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315937,35.02664566040039,0.05914759635925293,35.085793256759644,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589897,20.510149002075195,0.05122494697570801,20.561373949050903,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826729,50.3462553024292,0.09673571586608887,50.44299101829529,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144853,25.588583946228027,0.09653234481811523,25.685116291046143,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267634,9.293961524963379,0.046424150466918945,9.340385675430298,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568236,20.846009254455566,0.046952009201049805,20.892961263656616,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1306212,105.71436882019043,0.14029669761657715,105.854665517807,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163193,9.320306777954102,0.04450178146362305,9.364808559417725,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792643,69.4478988647461,0.13028407096862793,69.57818293571472,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2059427,69.90394592285156,0.08955049514770508,69.99349641799927,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137010,11.977696418762207,0.05761146545410156,12.035307884216309,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,233895,10.936224460601807,0.05845451354980469,10.994678974151611,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,464494,11.427915096282959,0.05984640121459961,11.487761497497559,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2262109,91.73201322555542,0.10637545585632324,91.83838868141174,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,650652,19.0626859664917,0.04607653617858887,19.108762502670288,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1139823,47.16911315917969,0.08817386627197266,47.25728702545166,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179198,15.696871280670166,0.06693267822265625,15.763803958892822,6.45 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,444443,14.67362642288208,0.06558561325073242,14.739212036132812,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1513875,40.68188667297363,0.06632733345031738,40.74821400642395,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1755187,34.94095802307129,0.056041717529296875,34.996999740600586,50.07 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,74253,12.568962574005127,0.06703472137451172,12.635997295379639,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,214059,15.986812114715576,0.07396411895751953,16.060776233673096,18.24 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2003071,57.91257619857788,0.07783079147338867,57.99040699005127,157.69 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,560485,27.08144187927246,0.07445573806762695,27.155897617340088,46.9 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,114719,15.609347820281982,0.06677603721618652,15.676123857498169,4.04 MMac
37,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,305256,22.1890926361084,0.08198094367980957,22.271073579788208,25.58 MMac
38,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,45,1495945,67.55061149597168,0.0896146297454834,67.64022612571716,43.83 MMac
39,"['rerp', 'trrp']",3,2,23,409575,22.61660099029541,0.08422255516052246,22.700823545455933,11.93 MMac
40,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,67,1078500,34.363412857055664,0.0876767635345459,34.45108962059021,89.81 MMac
41,"['rp', 'trrp', 'regas', 'regad', 'remk', 'ctwav']",3,2,32,730547,34.29718017578125,0.07904624938964844,34.3762264251709,22.38 MMac
42,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk']",2,3,94,2012283,60.555410385131836,0.08060073852539062,60.63601112365723,160.05 MMac
43,"['rp', 'gas', 'regas', 'gad', 'regad', 'mk', 'ctwav']",3,2,53,2062073,70.84193229675293,0.08905339241027832,70.93098568916321,61.02 MMac
44,"['rp', 'gad', 'trmk']",2,2,81,1083263,25.6258487701416,0.05829119682312012,25.68413996696472,84.74 MMac
45,"['rerp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",3,3,19,401868,28.508222103118896,0.1170048713684082,28.625226974487305,12.9 MMac
46,"['rp', 'trrp', 'gad', 'regad', 'trgad', 'mk', 'trmk']",2,3,48,537807,41.176509857177734,0.08028626441955566,41.25679612159729,44.57 MMac
