,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1769776,44.44291591644287,0.04226565361022949,44.4851815700531,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645736,2.661871910095215,0.03860116004943848,2.7004730701446533,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120228,2.6875734329223633,0.03304862976074219,2.7206220626831055,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,672930,1.8973827362060547,0.026296615600585938,1.9236793518066406,54.74 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863122,2.637958526611328,0.0345456600189209,2.672504186630249,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447141,1.6591787338256836,0.03172183036804199,1.6909005641937256,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139208,1.443636417388916,0.03292107582092285,1.4765574932098389,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1678914,4.167830944061279,0.02745962142944336,4.195290565490723,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1442911,3.280198574066162,0.026269912719726562,3.3064684867858887,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49242,1.110529899597168,0.03512072563171387,1.1456506252288818,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,299983,1.2051582336425781,0.028148651123046875,1.233306884765625,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266478,6.879472732543945,0.05098390579223633,6.930456638336182,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315666,3.333163261413574,0.026924610137939453,3.3600878715515137,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589662,1.4660835266113281,0.01993274688720703,1.4860162734985352,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826490,3.442072868347168,0.04020428657531738,3.4822771549224854,25.92 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144754,1.5281438827514648,0.03826737403869629,1.5664112567901611,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267477,0.7555127143859863,0.018362045288085938,0.7738747596740723,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568007,1.546478271484375,0.019826173782348633,1.5663044452667236,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1305941,8.7449312210083,0.07048320770263672,8.815414428710938,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163072,0.7623553276062012,0.018546581268310547,0.7809019088745117,14.27 MMac
