,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1790134,132.6319456100464,0.14288687705993652,132.77483248710632,52.72 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,657974,79.1316032409668,0.1277458667755127,79.25934910774231,20.61 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1132466,78.84397506713867,0.13103222846984863,78.97500729560852,89.59 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,684124,56.7241907119751,0.10518574714660645,56.829376459121704,54.76 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,882320,72.98595905303955,0.13049650192260742,73.11645555496216,9.83 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,454855,38.02173137664795,0.12369608879089355,38.14542746543884,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,143442,38.39089870452881,0.12473630905151367,38.51563501358032,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1693936,116.26489162445068,0.12362933158874512,116.38852095603943,132.52 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1466517,81.20208978652954,0.10131573677062988,81.30340552330017,41.47 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,52084,17.28004217147827,0.09937286376953125,17.379415035247803,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,310597,20.768940448760986,0.10699272155761719,20.875933170318604,10.49 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2286024,140.8915400505066,0.1345505714416504,141.02609062194824,66.88 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1331384,82.51944780349731,0.10269618034362793,82.62214398384094,105.03 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,603292,33.97657871246338,0.08067822456359863,34.05725693702698,47.17 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,840352,79.69954013824463,0.13965201377868652,79.83919215202332,25.94 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,150496,41.46643877029419,0.13647007942199707,41.60290884971619,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,276583,16.308295726776123,0.07550859451293945,16.383804321289062,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,581289,33.33742618560791,0.07994318008422852,33.41736936569214,46.83 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1321659,172.20314741134644,0.22912120819091797,172.43226861953735,14.32 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,170090,16.188454627990723,0.0765078067779541,16.264962434768677,14.28 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,804670,113.67607116699219,0.20415616035461426,113.8802273273468,8.74 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2081030,118.89370679855347,0.1398320198059082,119.03353881835938,60.36 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,143223,17.631244659423828,0.08216524124145508,17.713409900665283,12.77 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,242160,16.59557819366455,0.07967400550842285,16.675252199172974,20.37 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,476179,14.306509494781494,0.08034133911132812,14.386850833892822,39.88 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2286106,154.833984375,0.17259860038757324,155.00658297538757,22.43 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,664731,34.189414978027344,0.07981204986572266,34.269227027893066,51.84 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1155840,78.68602275848389,0.13956761360168457,78.82559037208557,35.08 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,187235,27.08371877670288,0.10534524917602539,27.189064025878906,6.46 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,457268,24.753010272979736,0.10228872299194336,24.85529899597168,13.48 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1530348,56.47820234298706,0.186720609664917,56.66492295265198,123.75 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1780780,62.51063346862793,0.08716511726379395,62.597798585891724,50.1 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,77730,17.497026920318604,0.09929323196411133,17.596320152282715,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,219246,22.752225399017334,0.11333966255187988,22.865565061569214,18.25 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2019202,114.83277082443237,0.12543439865112305,114.9582052230835,157.71 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,570460,55.59029579162598,0.1088569164276123,55.69915270805359,46.91 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,121160,25.804972648620605,0.10131120681762695,25.906283855438232,4.05 MMac
37,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,311469,37.99923658370972,0.1231069564819336,38.12234354019165,25.59 MMac
38,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,45,1514356,125.2916693687439,0.1493062973022461,125.44097566604614,43.85 MMac
39,"['rerp', 'trrp']",3,2,23,419208,42.65255928039551,0.13742351531982422,42.78998279571533,11.94 MMac
40,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,67,1090185,62.61944770812988,0.14526104927062988,62.76470875740051,89.82 MMac
41,"['rp', 'trrp', 'regas', 'regad', 'remk', 'ctwav']",3,2,32,743372,47.59042263031006,0.1188805103302002,47.70930314064026,22.39 MMac
42,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk']",2,3,94,2028414,86.18409633636475,0.13379287719726562,86.31788921356201,160.06 MMac
43,"['rp', 'gas', 'regas', 'gad', 'regad', 'mk', 'ctwav']",3,2,53,2083676,122.99902439117432,0.1417675018310547,123.14079189300537,61.04 MMac
