,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1770127,86.38919591903687,0.05537581443786621,86.44457173347473,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645947,47.127366065979004,0.09925270080566406,47.22661876678467,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120439,38.81220817565918,0.08025169372558594,38.892459869384766,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,673123,31.128811836242676,0.07035493850708008,31.199166774749756,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863453,41.59550666809082,0.08510875701904297,41.68061542510986,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447274,22.069144248962402,0.08128690719604492,22.150431156158447,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139281,18.82690191268921,0.07835531234741211,18.90525722503662,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1679173,59.95931625366211,0.0954294204711914,60.0547456741333,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1443318,47.688353061676025,0.07487702369689941,47.763230085372925,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49291,18.31824779510498,0.07788324356079102,18.39613103866577,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,300166,14.245522022247314,0.06132364273071289,14.306845664978027,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266815,95.4861044883728,0.14211297035217285,95.62821745872498,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315937,56.055593490600586,0.0841224193572998,56.139715909957886,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589897,21.86744213104248,0.05157136917114258,21.919013500213623,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826729,54.883360862731934,0.11313080787658691,54.99649167060852,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144853,27.854585647583008,0.101348876953125,27.955934524536133,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267634,11.884057521820068,0.05350899696350098,11.93756651878357,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568236,26.37150287628174,0.056124210357666016,26.427627086639404,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1306212,126.82313919067383,0.17890453338623047,127.00204372406006,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163193,11.737203598022461,0.05617237091064453,11.793375968933105,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792643,87.27505207061768,0.15698504447937012,87.43203711509705,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2059427,73.78960847854614,0.09590888023376465,73.88551735877991,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137010,9.818744659423828,0.057183265686035156,9.875927925109863,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,233895,9.50549840927124,0.05368447303771973,9.55918288230896,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,464494,10.928642749786377,0.062246084213256836,10.990888833999634,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2262109,95.89333534240723,0.12428879737854004,96.01762413978577,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,650652,24.55620765686035,0.06180381774902344,24.618011474609375,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1139823,54.642653465270996,0.1051492691040039,54.747802734375,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179198,15.262973308563232,0.0653691291809082,15.32834243774414,6.45 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,444443,17.753124237060547,0.07549190521240234,17.82861614227295,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1513875,59.56771373748779,0.15670228004455566,59.72441601753235,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1755187,51.27911567687988,0.07388472557067871,51.35300040245056,50.07 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,74253,17.21895933151245,0.21102094650268555,17.429980278015137,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,214059,27.347922325134277,0.09950876235961914,27.447431087493896,18.24 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2003071,68.31586360931396,0.09190106391906738,68.40776467323303,157.69 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,560485,38.330912590026855,0.08538389205932617,38.41629648208618,46.9 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,114719,17.618203163146973,0.09381341934204102,17.712016582489014,4.04 MMac
37,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,305256,24.514734745025635,0.09237813949584961,24.607112884521484,25.58 MMac
38,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,45,1495945,76.60449743270874,0.14449858665466309,76.7489960193634,43.83 MMac
39,"['rerp', 'trrp']",3,2,23,409575,23.053336143493652,0.09214234352111816,23.14547848701477,11.93 MMac
40,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,67,1078500,39.06147480010986,0.11218476295471191,39.173659563064575,89.81 MMac
41,"['rp', 'trrp', 'regas', 'regad', 'remk', 'ctwav']",3,2,32,730547,47.29812145233154,0.08817815780639648,47.38629961013794,22.38 MMac
42,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk']",2,3,94,2012283,63.7332558631897,0.0867776870727539,63.82003355026245,160.05 MMac
43,"['rp', 'gas', 'regas', 'gad', 'regad', 'mk', 'ctwav']",3,2,53,2062073,58.109378814697266,0.08742666244506836,58.196805477142334,61.02 MMac
44,"['rp', 'gad', 'trmk']",2,2,81,1083263,30.52351474761963,0.06247210502624512,30.585986852645874,84.74 MMac
45,"['rerp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",3,3,19,401868,31.805408000946045,0.13872957229614258,31.944137573242188,12.9 MMac
46,"['rp', 'trrp', 'gad', 'regad', 'trgad', 'mk', 'trmk']",2,3,48,537807,39.79911804199219,0.09397077560424805,39.893088817596436,44.57 MMac
47,"['rp', 'gas', 'regad', 'trgad', 'remk', 'trmk']",4,1,27,1392128,58.1467866897583,0.10279273986816406,58.249579429626465,14.79 MMac
48,"['rerp', 'trrp', 'regas', 'trgas', 'gad', 'mk', 'ctwav']",2,3,68,1065172,49.16787147521973,0.09587240219116211,49.26374387741089,86.39 MMac
49,"['rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trmk']",4,1,14,353135,24.68808889389038,0.10414695739746094,24.792235851287842,4.47 MMac
50,"['rerp', 'trgas', 'regad', 'mk', 'remk', 'trmk']",2,2,35,219369,15.79744815826416,0.07761502265930176,15.875063180923462,18.72 MMac
51,"['rp', 'rerp', 'regad', 'mk', 'ctwav']",3,1,44,836608,30.484724044799805,0.07281780242919922,30.557541847229004,25.03 MMac
52,"['regas', 'trgas', 'trgad', 'mk', 'trmk']",2,2,66,711515,31.095385551452637,0.0739598274230957,31.169345378875732,57.21 MMac
53,"['rp', 'rerp', 'trrp', 'gas', 'gad', 'regad', 'remk', 'ctwav']",3,3,22,485635,36.07660531997681,0.16022467613220215,36.23682999610901,15.64 MMac
54,"['gas', 'trgas', 'regad', 'trgad', 'ctwav']",3,2,15,186315,26.40312910079956,0.10771989822387695,26.510848999023438,6.13 MMac
55,"['rp', 'rerp', 'trrp', 'regas', 'gad', 'mk', 'remk', 'trmk']",2,1,59,362268,9.740900993347168,0.05166435241699219,9.79256534576416,31.13 MMac
56,"['trrp', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",3,1,36,567966,32.903480529785156,0.07592105865478516,32.97940158843994,18.58 MMac
57,"['rp', 'rerp', 'regas', 'gad', 'regad', 'trgad', 'remk', 'trmk']",2,1,28,85732,10.804855823516846,0.0514373779296875,10.856293201446533,8.39 MMac
58,"['trgas', 'gad', 'remk', 'ctwav']",2,1,93,846167,19.312405586242676,0.055229902267456055,19.367635488510132,65.96 MMac
59,"['trrp', 'regas', 'trgas', 'regad', 'trmk']",2,1,20,43418,10.136246681213379,0.046739816665649414,10.182986497879028,4.14 MMac
60,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'trgad', 'mk']",2,1,16,30351,10.18296480178833,0.04619312286376953,10.2291579246521,3.28 MMac
61,"['rerp', 'gas', 'regas', 'gad', 'mk', 'remk']",2,1,25,72172,9.759533405303955,0.055721282958984375,9.81525468826294,6.78 MMac
62,"['rp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,87,769101,24.004793167114258,0.0612490177154541,24.066042184829712,64.76 MMac
63,"['rp', 'trgas', 'mk', 'trmk', 'ctwav']",3,2,21,347965,27.724838256835938,0.09789538383483887,27.822733640670776,10.93 MMac
64,"['rerp', 'trrp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'remk']",2,1,63,410227,11.596429347991943,0.06284689903259277,11.659276247024536,34.96 MMac
65,"['rp', 'trrp', 'gas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",3,1,42,769138,38.83688449859619,0.09653949737548828,38.93342399597168,24.52 MMac
66,"['rerp', 'gas', 'trgad', 'trmk', 'ctwav']",3,1,51,1164686,39.53218460083008,0.07979393005371094,39.61197853088379,34.28 MMac
67,"['rp', 'gas', 'regas', 'trgas', 'regad']",2,2,71,844743,41.99216365814209,0.08440160751342773,42.07656526565552,67.58 MMac
68,"['rerp', 'trrp', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",3,3,29,894789,73.4060525894165,0.1429004669189453,73.54895305633545,27.74 MMac
69,"['rp', 'rerp', 'trrp', 'trgas', 'gad', 'trgad', 'mk']",4,1,17,580246,47.50082492828369,0.10216045379638672,47.60298538208008,6.89 MMac
