,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1770127,236.7032289505005,2.1163697242736816,238.81959867477417,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645947,157.41498470306396,2.141144037246704,159.55612874031067,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120439,142.913556098938,1.7891309261322021,144.7026870250702,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,673123,106.64699077606201,1.4690299034118652,108.11602067947388,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863453,138.7840747833252,1.9181499481201172,140.7022247314453,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447274,73.4440565109253,1.768970251083374,75.21302676200867,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139281,70.46374082565308,0.9993011951446533,71.46304202079773,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1679173,220.43241262435913,1.769425630569458,222.2018382549286,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1443318,152.322256565094,1.410358190536499,153.7326147556305,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49291,55.47924041748047,1.8020930290222168,57.281333446502686,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,300166,50.058937072753906,0.8519442081451416,50.91088128089905,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266815,277.9960870742798,2.5818512439727783,280.57793831825256,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315937,166.38933420181274,1.4708409309387207,167.86017513275146,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589897,66.4621114730835,1.0479683876037598,67.51007986068726,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826729,159.41481590270996,2.1203763484954834,161.53519225120544,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144853,78.14246416091919,2.018612861633301,80.16107702255249,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267634,32.48755931854248,1.0301313400268555,33.517690658569336,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568236,59.47303771972656,0.630657434463501,60.10369515419006,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1306212,324.7588634490967,3.6056485176086426,328.3645119667053,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163193,30.981993675231934,0.5973200798034668,31.5793137550354,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792643,217.4685001373291,3.253502130508423,220.72200226783752,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2059427,278.3882260322571,2.084494113922119,280.4727201461792,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137010,32.06201791763306,0.6294970512390137,32.69151496887207,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,233895,28.335726261138916,0.61968994140625,28.955416202545166,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,464494,29.300296306610107,0.8001399040222168,30.100436210632324,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2262109,272.1334934234619,2.5085461139678955,274.6420395374298,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,650652,63.23726177215576,1.0440726280212402,64.281334400177,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1139823,154.85565662384033,2.064735174179077,156.9203917980194,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179198,51.0611891746521,1.453813076019287,52.51500225067139,6.45 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,444443,46.919071674346924,1.4412274360656738,48.3602991104126,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1513875,158.22962522506714,0.9784054756164551,159.2080307006836,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1755187,147.7588176727295,1.3726375102996826,149.13145518302917,50.07 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,74253,53.39077711105347,1.5392756462097168,54.930052757263184,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,214059,71.0108995437622,1.780219554901123,72.79111909866333,18.24 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2003071,205.8147668838501,1.7099416255950928,207.5247085094452,157.69 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,560485,103.8273811340332,0.849137544631958,104.67651867866516,46.9 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,114719,50.009047985076904,0.7817738056182861,50.79082179069519,4.04 MMac
37,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,305256,73.21813106536865,1.7293283939361572,74.94745945930481,25.58 MMac
38,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,45,1495945,226.17162466049194,1.9794013500213623,228.1510260105133,43.83 MMac
39,"['rerp', 'trrp']",3,2,23,409575,78.78810167312622,1.8762612342834473,80.66436290740967,11.93 MMac
40,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,67,1078500,105.68537712097168,1.41190505027771,107.09728217124939,89.81 MMac
41,"['rp', 'trrp', 'regas', 'regad', 'remk', 'ctwav']",3,2,32,730547,146.32668495178223,2.0776076316833496,148.40429258346558,22.38 MMac
42,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk']",2,3,94,2012283,223.88545274734497,1.7995355129241943,225.68498826026917,160.05 MMac
43,"['rp', 'gas', 'regas', 'gad', 'regad', 'mk', 'ctwav']",3,2,53,2062073,241.61006212234497,2.268925189971924,243.8789873123169,61.02 MMac
44,"['rp', 'gad', 'trmk']",2,2,81,1083263,97.38311767578125,0.8404362201690674,98.22355389595032,84.74 MMac
45,"['rerp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",3,3,19,401868,84.70832109451294,2.5865185260772705,87.29483962059021,12.9 MMac
46,"['rp', 'trrp', 'gad', 'regad', 'trgad', 'mk', 'trmk']",2,3,48,537807,140.44008255004883,1.7996535301208496,142.23973608016968,44.57 MMac
47,"['rp', 'gas', 'regad', 'trgad', 'remk', 'trmk']",4,1,27,1392128,209.14052724838257,1.8312742710113525,210.97180151939392,14.79 MMac
48,"['rerp', 'trrp', 'regas', 'trgas', 'gad', 'mk', 'ctwav']",2,3,68,1065172,146.38433456420898,1.8745441436767578,148.25887870788574,86.39 MMac
49,"['rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trmk']",4,1,14,353135,68.1311845779419,1.8879098892211914,70.01909446716309,4.47 MMac
