,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1769776,133.53466987609863,0.09185147285461426,133.62652134895325,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645736,84.80932712554932,0.09374046325683594,84.90306758880615,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120228,68.4744119644165,0.09930682182312012,68.57371878623962,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,672930,65.48287868499756,0.08987689018249512,65.57275557518005,54.74 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863122,87.70051002502441,0.11956024169921875,87.82007026672363,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447141,38.56346607208252,0.10096192359924316,38.66442799568176,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139208,41.76182746887207,0.09227657318115234,41.85410404205322,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1678914,122.11096286773682,0.09026432037353516,122.20122718811035,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1442911,89.41869735717773,0.06608843803405762,89.48478579521179,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49242,30.22245168685913,0.10772538185119629,30.330177068710327,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,299983,29.02604341506958,0.0918736457824707,29.11791706085205,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266478,164.30068016052246,0.13252806663513184,164.4332082271576,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315666,96.47669792175293,0.08843564987182617,96.56513357162476,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589662,38.22462558746338,0.0516207218170166,38.276246309280396,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826490,98.2518196105957,0.1163473129272461,98.36816692352295,25.92 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144754,46.205317974090576,0.1111612319946289,46.316479206085205,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267477,17.195749282836914,0.0557866096496582,17.251535892486572,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568007,40.04502296447754,0.06840157508850098,40.11342453956604,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1305941,229.47803735733032,0.20850706100463867,229.68654441833496,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163072,20.01945972442627,0.05942893028259277,20.078888654708862,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792432,137.01388835906982,0.1537010669708252,137.16758942604065,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2059048,134.11413431167603,0.10909008979797363,134.223224401474,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,136901,19.27669048309326,0.05975961685180664,19.33645009994507,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,233750,18.93467903137207,0.0640256404876709,18.99870467185974,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,464289,18.478238582611084,0.06497311592102051,18.543211698532104,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2261688,141.11498594284058,0.11088895797729492,141.22587490081787,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,650405,36.02743148803711,0.06459736824035645,36.092028856277466,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1139542,75.51372051239014,0.09626984596252441,75.60999035835266,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179057,26.369965076446533,0.07425594329833984,26.444221019744873,6.45 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,444218,23.784708976745605,0.07120752334594727,23.855916500091553,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1513586,70.80992460250854,0.08830618858337402,70.89823079109192,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1754738,87.54608631134033,0.07616806030273438,87.62225437164307,50.07 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,74192,30.775785446166992,0.17422080039978027,30.950006246566772,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,213968,34.258830547332764,0.09526371955871582,34.35409426689148,18.24 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2002788,103.52075099945068,0.08919978141784668,103.60995078086853,157.69 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,560310,65.11571407318115,0.08788442611694336,65.2035984992981,46.9 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,114606,30.119097232818604,0.0842745304107666,30.20337176322937,4.04 MMac
37,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,305147,44.22471523284912,0.09977579116821289,44.324491024017334,25.58 MMac
38,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,45,1495622,131.4644694328308,0.10435724258422852,131.56882667541504,43.83 MMac
39,"['rerp', 'trrp']",3,2,23,409406,43.07917356491089,0.09310197830200195,43.17227554321289,11.93 MMac
40,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,67,1078295,67.11575984954834,0.12747883796691895,67.24323868751526,89.81 MMac
41,"['rp', 'trrp', 'regas', 'regad', 'remk', 'ctwav']",3,2,32,730322,89.4768238067627,0.1077873706817627,89.58461117744446,22.38 MMac
42,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk']",2,3,94,2012000,128.74231338500977,0.09818530082702637,128.8404986858368,160.05 MMac
43,"['rp', 'gas', 'regas', 'gad', 'regad', 'mk', 'ctwav']",3,2,53,2061694,128.81780862808228,0.1029653549194336,128.9207739830017,61.02 MMac
44,"['rp', 'gad', 'trmk']",2,2,81,1083016,58.0672025680542,0.06023597717285156,58.12743854522705,84.74 MMac
45,"['rerp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",3,3,19,401727,53.73055934906006,0.1244204044342041,53.85497975349426,12.9 MMac
46,"['rp', 'trrp', 'gad', 'regad', 'trgad', 'mk', 'trmk']",2,3,48,537662,85.62636375427246,0.10273098945617676,85.72909474372864,44.57 MMac
47,"['rp', 'gas', 'regad', 'trgad', 'remk', 'trmk']",4,1,27,1391707,123.08775186538696,0.09533286094665527,123.18308472633362,14.79 MMac
48,"['rerp', 'trrp', 'regas', 'trgas', 'gad', 'mk', 'ctwav']",2,3,68,1064967,83.4517240524292,0.08834695816040039,83.5400710105896,86.39 MMac
49,"['rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trmk']",4,1,14,352924,36.26382350921631,0.0882720947265625,36.35209560394287,4.47 MMac
50,"['rerp', 'trgas', 'regad', 'mk', 'remk', 'trmk']",2,2,35,219260,29.740917682647705,0.0736837387084961,29.8146014213562,18.72 MMac
51,"['rp', 'rerp', 'regad', 'mk', 'ctwav']",3,1,44,836299,52.14693546295166,0.07254648208618164,52.21948194503784,25.03 MMac
52,"['regas', 'trgas', 'trgad', 'mk', 'trmk']",2,2,66,711316,58.75546932220459,0.07532668113708496,58.830796003341675,57.21 MMac
53,"['rp', 'rerp', 'trrp', 'gas', 'gad', 'regad', 'remk', 'ctwav']",3,3,22,485480,53.156232833862305,0.11250519752502441,53.26873803138733,15.64 MMac
54,"['gas', 'trgas', 'regad', 'trgad', 'ctwav']",3,2,15,186202,42.78920888900757,0.09985518455505371,42.88906407356262,6.13 MMac
55,"['rp', 'rerp', 'trrp', 'regas', 'gad', 'mk', 'remk', 'trmk']",2,1,59,362087,17.479491233825684,0.057512521743774414,17.537003755569458,31.13 MMac
56,"['trrp', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",3,1,36,567713,55.55403232574463,0.07495474815368652,55.628987073898315,18.58 MMac
