,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1774339,126.84119939804077,0.2226848602294922,127.06388425827026,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,648479,53.01022529602051,0.16304993629455566,53.17327523231506,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1122971,55.668020248413086,0.17855358123779297,55.84657382965088,89.58 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,675439,43.18661689758301,0.10346221923828125,43.29007911682129,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,867425,53.334856033325195,0.1730968952178955,53.50795292854309,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,448870,25.761866569519043,0.10576009750366211,25.867626667022705,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,140157,26.14908218383789,0.12954401969909668,26.278626203536987,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1682281,83.8472843170166,0.13793468475341797,83.98521900177002,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1448202,58.55705738067627,0.11993670463562012,58.67699408531189,41.45 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49879,22.349953651428223,0.13450002670288086,22.484453678131104,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,302362,20.792090892791748,0.12185907363891602,20.913949966430664,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2270859,148.72645139694214,0.22507929801940918,148.95153069496155,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1319189,70.47257423400879,0.13158583641052246,70.60416007041931,105.02 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,592717,30.855417251586914,0.08770918846130371,30.943126440048218,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,829597,73.52256774902344,0.16811156272888184,73.69067931175232,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,146041,35.27541160583496,0.1624894142150879,35.43790102005005,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,269518,13.998651504516602,0.09249520301818848,14.09114670753479,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,570984,29.375886917114258,0.0872340202331543,29.463120937347412,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1309464,166.7134165763855,0.3004324436187744,167.01384902000427,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,164645,13.118398189544678,0.08049511909484863,13.198893308639526,14.27 MMac
