,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1771180,45.02284526824951,0.20156431198120117,45.22440958023071,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,646580,2.789020538330078,0.14618802070617676,2.935208559036255,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1121072,2.1285057067871094,0.13329339027404785,2.2617990970611572,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,673702,1.7676115036010742,0.13455462455749512,1.9021661281585693,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,864446,3.120541572570801,0.1831369400024414,3.303678512573242,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447673,1.5312671661376953,0.16448211669921875,1.695749282836914,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139500,1.5360593795776367,0.16411328315734863,1.7001726627349854,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1679950,4.091799259185791,0.16274237632751465,4.254541635513306,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1444539,3.109610080718994,0.13204264640808105,3.241652727127075,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49438,1.3493895530700684,0.1815810203552246,1.530970573425293,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,300715,1.479506492614746,0.1491544246673584,1.6286609172821045,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2267826,6.438875198364258,0.26041316986083984,6.699288368225098,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1316750,3.508758544921875,0.15029144287109375,3.6590499877929688,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,590602,1.560521125793457,0.09397482872009277,1.6544959545135498,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,827446,3.238701820373535,0.19809198379516602,3.436793804168701,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,145150,2.069258689880371,0.18764352798461914,2.2569022178649902,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,268105,0.7948756217956543,0.08920836448669434,0.8840839862823486,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568923,1.482081413269043,0.09421491622924805,1.576296329498291,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1307025,10.866773128509521,0.37110376358032227,11.237876892089844,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163556,0.9169340133666992,0.09551668167114258,1.0124506950378418,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,793276,4.316616058349609,0.3192739486694336,4.635890007019043,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2060564,4.734277725219727,0.19325971603393555,4.927537441253662,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137337,0.815284252166748,0.09734654426574707,0.9126307964324951,12.76 MMac
