,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1771180,74.4255781173706,0.0657503604888916,74.4913284778595,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,646580,32.91604518890381,0.0725545883178711,32.98859977722168,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1121072,37.64662742614746,0.06847906112670898,37.71510648727417,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,673702,25.090503692626953,0.05420374870300293,25.144707441329956,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,864446,34.488487243652344,0.0692288875579834,34.55771613121033,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447673,19.346368312835693,0.07015872001647949,19.416527032852173,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139500,18.609166145324707,0.06763911247253418,18.67680525779724,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1679950,51.308512687683105,0.0652608871459961,51.3737735748291,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1444539,40.24304151535034,0.05371713638305664,40.2967586517334,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49438,10.896813869476318,0.057804107666015625,10.954617977142334,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,300715,9.751546382904053,0.050096988677978516,9.801643371582031,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2267826,74.26260709762573,0.09125208854675293,74.35385918617249,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1316750,40.37940502166748,0.05651044845581055,40.43591547012329,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,590602,16.864538192749023,0.0395512580871582,16.90408945083618,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,827446,39.53230381011963,0.0739893913269043,39.60629320144653,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,145150,20.04265785217285,0.07240438461303711,20.11506223678589,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,268105,7.9340338706970215,0.03673076629638672,7.970764636993408,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568923,16.79389476776123,0.03775811195373535,16.831652879714966,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1307025,90.85589647293091,0.12248015403747559,90.97837662696838,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163556,7.819926738739014,0.0359957218170166,7.85592246055603,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,793276,61.940860748291016,0.10883355140686035,62.049694299697876,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2060564,57.93263912200928,0.07412004470825195,58.00675916671753,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,137337,8.197581768035889,0.03882312774658203,8.23640489578247,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,234330,7.34100341796875,0.03704977035522461,7.378053188323975,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,465109,6.9283127784729,0.041112661361694336,6.969425439834595,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2263372,67.22495555877686,0.08619379997253418,67.31114935874939,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,651393,16.76006317138672,0.03817558288574219,16.79823875427246,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1140666,39.2430305480957,0.07415342330932617,39.31718397140503,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179621,12.934732437133789,0.05480027198791504,12.989532709121704,6.45 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,445118,12.445211410522461,0.05317807197570801,12.498389482498169,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1514742,34.26336050033569,0.0599515438079834,34.32331204414368,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1756534,36.717867851257324,0.05104994773864746,36.76891779899597,50.07 MMac
