,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1769776,42.35655069351196,0.03731536865234375,42.39386606216431,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645736,4.678249359130859,0.03852558135986328,4.716774940490723,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120228,4.713106155395508,0.033370256423950195,4.746476411819458,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,672930,3.2227516174316406,0.02452683448791504,3.2472784519195557,54.74 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863122,4.972434043884277,0.03139209747314453,5.003826141357422,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447141,3.1898140907287598,0.0283052921295166,3.2181193828582764,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139208,3.595459461212158,0.04346585273742676,3.638925313949585,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1678914,10.960149765014648,0.042729854583740234,11.002879619598389,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1442911,7.507824897766113,0.03374981880187988,7.541574716567993,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49242,2.285134792327881,0.04239463806152344,2.3275294303894043,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,299983,2.113354206085205,0.03540325164794922,2.1487574577331543,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266478,13.016152381896973,0.06519246101379395,13.081344842910767,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315666,6.432294845581055,0.03527188301086426,6.467566728591919,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589662,2.6908159255981445,0.023796558380126953,2.7146124839782715,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826490,7.294797897338867,0.050780296325683594,7.345578193664551,25.92 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144754,4.105484485626221,0.048427581787109375,4.15391206741333,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267477,1.2721657752990723,0.023686647415161133,1.2958524227142334,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568007,3.473520278930664,0.025348186492919922,3.498868465423584,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1305941,19.542646408081055,0.09488320350646973,19.637529611587524,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163072,1.4972925186157227,0.02451610565185547,1.5218086242675781,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792432,11.358857154846191,0.08208584785461426,11.440943002700806,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2059048,11.41129732131958,0.05130887031555176,11.462606191635132,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,136901,1.6236305236816406,0.02629375457763672,1.6499242782592773,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,233750,1.2322306632995605,0.024652957916259766,1.2568836212158203,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,464289,1.5459656715393066,0.034394264221191406,1.580359935760498,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2261688,16.30847454071045,0.06564974784851074,16.37412428855896,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,650405,3.344297409057617,0.026494741439819336,3.3707921504974365,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1139542,7.56077766418457,0.053553104400634766,7.614330768585205,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179057,2.7103185653686523,0.03467106819152832,2.7449896335601807,6.45 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,444218,2.5051474571228027,0.03245186805725098,2.5375993251800537,13.46 MMac
