,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1770478,49.054741859436035,0.027554988861083984,49.08229684829712,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,646158,9.23922061920166,0.024650096893310547,9.26387071609497,20.6 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120650,9.484314918518066,0.02142810821533203,9.505743026733398,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,673316,7.784724235534668,0.01798844337463379,7.802712678909302,54.75 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863784,12.517404556274414,0.023261070251464844,12.540665626525879,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447407,6.439626216888428,0.026292800903320312,6.465919017791748,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139354,6.422936916351318,0.020499706268310547,6.443436622619629,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1679432,20.375096797943115,0.02065753936767578,20.39575433731079,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1443725,15.1961088180542,0.01590442657470703,15.212013244628906,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49340,4.675698280334473,0.020643949508666992,4.69634222984314,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,300349,4.975473880767822,0.016513824462890625,4.991987705230713,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2267152,31.270623207092285,0.03312802314758301,31.303751230239868,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1316208,15.097188949584961,0.017897605895996094,15.115086555480957,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,590132,5.594229698181152,0.01205134391784668,5.606281042098999,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826968,15.724349021911621,0.025554656982421875,15.749903678894043,25.93 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144952,7.923233509063721,0.024558305740356445,7.947791814804077,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267791,2.516770362854004,0.011171340942382812,2.5279417037963867,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568465,6.113195419311523,0.013337373733520508,6.126532793045044,46.82 MMac
